,youtube_id,comment,like_num
0,QueenieBobon,"She has a clear skin and accidentally applies a full coverage foundation into even a flawless skin. 

Can’t relate",21개
1,Nuttha,She's even prettier when her eyes are swollen and a bit red probably from tiredness. Life is unfair.,12개
2,Ali,"Pony: ""I'm going to use this to cover up my problem areas.""

Also Pony: *is flawless*",374개
3,CarolLi,seeing pony struggle with false eyelashes makes me feel a lot better about taking a solid hour to put them on,783개
4,TAEtopsKOOK,Her skin...God I've seen what u did for others,378개
5,MayyyaK,"If I had good skin like her,everything will become easier.",769개
6,AudrieGabales,This is the 193728201 time I’ve watched pony and still can’t curl my bottom lashes,528개
7,SagingSaging,Idk bout u guys but I love that moment when Pony was struggling putting on her lashes by her hands,234개
8,아임벤틀리,"진짜 화장 하나로 분위기가 확 바뀜,,,",350개
9,TiffanyLeung,There's like no difference when she has foundation on one side of her face and no makeup on the other!,84개
10,TamaraPrameswari,It's my first time after a years see Pony struggling with her stuffs,146개
11,bellek,Koreans: find a foundation that actually matches their skintone and is full coverage gasp! 어떻게 :O,52개
12,강다연,누가 이럴 줄 알았나 ... 진짜 포니 언니 성공 하셔서 이런 모습 보여주시는거 너무 감사해요 사랑합니다,155개
13,Nuttha,"Opening GRWM with sleepy face, messy hair, wearing singlet and bedroom background...
It's official now, I'm gay for Pony.",94개
14,KittyHe,last time i was this early i couldn't draw winged eyeliner haha,134개
15,김가네김밥,"와 언니...진짜 멋지다...언니가 내 롤모델이야..!
화장은 물론 이고,, 무엇보다 자신의 분야에서 성공한 사람 같아서 멋있어...!!!💗💗👍",102개
16,AmeliaRose,her skin literally looks pink like a magical being TvT,17개
17,둘째의일상Doolzzae,진짜 화장 중에서도 눈화장이 제일 중요하다는 걸 포니님 영상보면 항상 느껴요 이거슨 예술 art!!!👁👁👍🏻👍🏻👍🏻👍🏻,143개
18,MikaSetoh,Me turning up the volume as if I understand Korean 😂😂😂,38개
19,원재현,개멋있어 속눈썹붙일때 아주잠깐 인간미ㅋㅋㅋㅋㄲㅋ,49개
20,MichaelKao,I've missed your globetrotter series! Love from LA x,63개
21,민민민,세상에서 제일 이뻐요... 요즘 짧게 올려주신 메이크업 영상 계속 엄청 반복해서 보고 있어요. 너무 이뻐서..!,52개
22,오나경,잠만 처음에 생얼 나올때 너무 이뻐여 ㅠㅠㅠ완전 청초그자체,46개
23,서홀리,포니님 얼굴을 보면 왠지 저의 수명이 늘어나는거 같은 느낌이에요ㅋㅋ,42개
24,딸기딸기,"Even if I did my makeup just like yours, I will not look as beautiful as you, I mean you look flawless already without makeup, I'm just here admiring your beauty ♡",32개
25,하이콜리,언니의 모든 메이크업이 다 궁금한걸요...봐도 봐도 모잘라...ㅠ흑 포니없인 못살아 정말 못살아...ㅠ,54개
26,앙기모띠주는나무,근데 쌩얼도 ㄹㅇ 청순하셔..,34개
27,KevinThai,How is it possible for Pony to look beautiful with and without makeup?! 😍🥰😘,43개
28,,ㅠㅠ언니 영상볼때마다 립라이너 넘 잘써서 만족쓰.. 어쩜 립라이너를 저렇게 자연스럽게 잘쓰냐며..😭😭,31개
29,수현,언니 사랑해요.. 진짜...눈물이 납니다ㅠㅠㅠ,34개
30,WannaOneandWannable,"Unnie can you do an affordable makeup tutorial for summer? I'll wait for it. 

Love from💖🇵🇭",29개
31,juliejung,I can't believe she has that skin when she doesn't get any skincare theraphy!!,10개
32,sound,미쳤다 언니 요즘 왜케 열일해요ㅠㅠ,32개
33,도마뱀뒷다리,"아 진짜 이뻐...
나도 이런 얼굴로 태어나고 싶당...",17개
34,유네타,포니 님 덕분에 저는 가보지 못한 여러 나라의 도시들을 볼 수 있네요 항상 감사하게 보고 있어요💗,13개
35,Brailyme,OMG ALWAYS SO PRETTY AND INSPIRING!!!!,30개
36,Chacha,"SHE'S SO PRETTY EVEN WITHOUT MAKE-UP
~ ♥️U Pony",2개
37,ErisYuiBlair,She's one of the coolest make up vlogger. Congrats to her success and this is the first time I heard or see her talk 🤔😘❤️🤗,25개
38,고돌,요새 왤케 조회수가 안나오는거야 ㅠㅠㅠㅠㅠㅠㅠㅠ 저 미모를 어떻게 안볼 수가 있지 사람들아 ㅠㅠㅠㅠㅠㅠ 많이 보러 와용,15개
39,racheljia,"Ah Ms. Pony, I am trying to sleep.. But I'll watch this first. ❤️",46개
