닉네임,댓글,좋아요수,날짜
XIANC,Imagine being this talented and pretty I--,124개,2020. 5. 24.
MichelleGo,"💜 Pony’s Playlist 💜
Crush - Ibiza
Moon - Day n Nite (ft. Sik K)
Boyz II Men - Relax your mind (ft. Faith Evans)
Moon - Now
Mae Muller - Therapist
Ella Mai - Shot clock
소피야 (Sophiya) - Overlap
진보 - 말하자면 (ft. Crush, Hoody)
CHIMMI (취미) - Secret
에이프릴 (APRIL) - LALALILALA
우주소녀 - 비밀이야 (Secret)
우주소녀 - 부탁해
이달의 소녀 오드아이써클 - Sweet Crazy Love
DeBarge - I Like it
Golden - Tequila (ft. Hoody)
Mya - My Love is Like... Wo
Nathania - loveyoubuthateyou
DPR LIVE - KISS ME
SZA, Justin Timberlake - The Other Side",141개,2020. 5. 24.
LindaThao,Now I have to follow Pony’s Instagram so I don’t miss out on these stories! 💕🥰,14개,2020. 5. 24.
Vanessa,Its nice that she uploads her insta live in yt. Cuz people like me don't have insta.,86개,2020. 5. 24.
엘리자베스아덴,그냥 흥얼거리는 목소리도 예술이네요..실력이 대단하신듯...대체 포니님 재능은 어디까지인가요~~,82개,2020. 5. 24.
EmilyZhou,"I’m so shook... you sound just like a professional singer??!! Everything flows so smoothly, how!!",5개,2020. 5. 24.
IsabellaKayful,"I LOVE WJSN sooo much, our queen has taste 💕",12개,2020. 5. 24.
xiomarapaitan,"omg!! no puedo creer que soy el comentario 40 xddddddddddd nunca paso!!
ah. me encanta esta chica.",7개,2020. 5. 24.
IsabellaKayful,"Aw such a talented beauty, so many skills in the arts!",53개,2020. 5. 24.
나빗보벳땨으,"언니 진짜 매번 영상 볼 때마다 느끼는 건데,,이목구비 진짜 자기주장 확실하다,,난 이목구비가 둥글둥글해서 흐리멍텅한데 언니 최고야,,",64개,2020. 5. 24.
MochiYoongs,"Pretty? Check
Good at doing makeup? Check
Can draw? Check
Can sing? BIG FAT CHECK
Can rap? FHFJEJDND CHECK

CANT RELATE",5개,2020. 5. 24.
재영,와 진짜 연예인보다 예쁜데..,19개,2020. 5. 24.
Marine,Thanks for all the songs recommandations ✨♥️♥️♥️ I was surprised because I had never heard of some of those songs (except the AMAAAZING sweet crazy love song from Loona👍). Where do you find new music to listen to ?!,5개,2020. 5. 24.
