닉네임,댓글,좋아요수,날짜
LimJ,디아즈와의 경기는 종합 역사에 길이남을 경기 ㅋㅋ 진짜 수준과 다이나믹 측면에서 최고경기였음 ㅋㅋ,10개,2020. 5. 23.
장홍크민,2달에 한 번 전 경기 모두 화끈한 타격 진짜 대단한 선수다 ㄷㄷ,4개,2020. 5. 23.
Yoi,10:33 모야 저 심판 머리를 땋아서 앞으로 보이게 했네? 라고 생각했다가 자세히 보니 턱수염 ㄷㄷ;; 위에서 자라야될게 밑에서 자라네 나만 신기한가,3개,2020. 5. 23.
오빠,코스첵 암습을 막았어 감지하고 있었다는게 웃기다,3개,2020. 5. 23.
포항남,화끈한 경기력 ㅈㄴ 좋아했던 선수인데,3개,2020. 5. 23.
물개지욱TV,5:47 레프리의 강려크함,3개,2020. 5. 23.
전동우,차도르 재밌습니다~,2개,2020. 5. 23.
마이큰잭슨,6분에 영구퇴출당한이유 경기가끝났는데 상대방선수에게 레프트훅을날려서 생리대회장에게  짤림^^,1개,2020. 5. 23.
폴베이스,"역시...기다림은 참 지루하네요^^
재밋게 잘 보았습니다☆",1개,2020. 5. 23.
해오리,더글라스 리마도 한번 해주십셔!!!,1개,2020. 5. 23.
엠프티요어마인드,닉디아즈에게 털림ㅋㅋ 닉디아즈가 더 대단함ㅋㅋ,0개,2020. 5. 23.
DrawingCat그림스톱모션,잘하긴하지만 경기끝나고 무방비 상대한케 주먹휘두르는 인성은  저건 절대 안고쳐질텐데 별로다 😱,1개,2020. 5. 23.
김재우,마 남자는 주먹이쥐~ ㅋ 상남자~ 뭐 이런 느낌,0개,2020. 5. 23.
밤식이,3빠... ㅠㅠ,0개,2020. 5. 23.
repbutler1,깜빡하고 시위 안하고잇었다.. 데미안.. 마이아!!!(4일차,0개,2020. 5. 23.
이창현,아.....2빠,1개,2020. 5. 23.
핫산운동알려주는남자,장점하나만 파는 진짜 무식하면서 장인정신이 있는 선수네요,0개,2020. 5. 23.
xanadurain,A급 선수한테는 안되는 b급 선수.,0개,2020. 5. 23.
김철진,게가드 무사시도 해주세요,0개,2020. 5. 23.
강정훈,끝음 처리는 왜에?,0개,2020. 5. 23.
twkim,너도 20년뒤에는 제대로 뛰기도 힘들거다. 겸손해라,0개,2020. 5. 23.
DonghoRyu,멜빈맨호프도 방송 부탁드려요,0개,2020. 5. 23.
박현준,"진정한 닥공파이터는 브라이언스탠인디 ㅋ
반더레이실바경기 진짜 명경기지
무조건전진기어",0개,2020. 5. 23.
데이빗핫셀호프,"더글라스 리마 선수 라면 말이 끝났죠,마이클페이지 까불다 리마 한테 실신 케이오 당했는데",0개,2020. 5. 23.
조원휘,최두호해주세요,2개,2020. 5. 23.
약통령,"닉 디아즈랑 경기랑 경기 찾아봤는데
닉 디아즈가 개고전했네
진작에 다운됐어야되는데 버텨서 결국 이김",0개,2020. 5. 23.
julusruger,격투기선수와 깡패의 차이,0개,2020. 5. 23.
eezn,사람패는거 좋아해도 저렇게까지는 못함,0개,2020. 5. 23.
GimaMu,"맞는거 말고 때리기만 
한다면 격투기 할만하지",0개,2020. 5. 23.
레이드,"존 메카시도  벨라토르갔구나
어쩐지 안 보이더라
잘생기고 멋져서 좋아했는데",0개,2020. 5. 23.
뮤직스타일,"차도르님 궁금해서 그러는데요..  이 컨텐츠로 수익 올려지나여?
왜냐면 화면이 거의 저작권 걸려있는거라서 수익 못올리실것 같은데.....",0개,2020. 5. 23.
꿀개,400번째 조회수... 44번째 좋아요... 댓글은 4개가 있고... 뭔가 불길하다...,8개,2020. 5. 23.
김메다,자기 관리가 안됀놈,0개,2020. 5. 23.
담당일진,"조쉬 코스첵은 이경기에선 진짜 쳐맞아도 쌌음. 실제로 눈찔리지도 않았는데 계속 찔렸다고 심판에게 어필하면서 경기 질질끔ㅋ 이외에도 코스첵 4점니킥 스치지도 않았는데 맞았다고 어필하기등, 개더러운 파이터임",0개,2020. 5. 23.
호야튜브Hoyatube,차도르 모든영상에 광고가 안붙네요 무슨문제생긴건가요?,0개,2020. 5. 23.
blackmaster,싸움꾼도 최고의 무대에서는 이기기만 할수는 없다 닉 디아즈가 참 대단하네,0개,2020. 5. 23.
조원휘,한국선수들좀 해주세요 제발,3개,2020. 5. 23.
에바참치,부지런하고 자기관리 철저하다곤 보기 어렵지 않나??차도르님말처럼 ..음주운전  성폭행 뺑소니를 하고도 국내무대복귀하는 강정호클라쓰인데?간정호도 자기관리 철저한 인간인가??ㅋㅋ,0개,2020. 5. 23.
그저다이저,이름값있거나 신인티벗고 기량이 올라온 선수들에게는 거의 다졌죠?? 내가 잘못 알고있나? 스탈은 재밌는데 베놈하고 하는거 보고 음.....,0개,2020. 5. 23.
그대진심인가요,"속전속결 돌격형 파이터네요 그런데 경기 매너는 지켜야지 
인성 그른것들은 파이터가 아니다 그냥 살인기계 쓰레기지",2개,2020. 5. 23.
원주율파이,영구퇴출 당할만 하네//  영원히 무대에 못오르게 해야지,0개,2020. 5. 23.
DHK,"정신 못차리는 선수네요.
콘크리트 바닦에 처박혀 봐야 레슬링의 진면목을 알 수 있으려나...
타격으로 져야 졌다는 생각을 하는 것 자체가 넌센스",0개,2020. 5. 23.
repbutler1,"7:12 도르님 이거 약간 자막이..?







데미안... 마이아.... 소..개.....(2일차. 실수로 일주일동안 까먹었당 ㅣ힛)",3개,2020. 5. 13.
검은식빵,머야 대체 영상보고 그냥 술술 말하는 차도르가 더 무섭다...,4개,2020. 5. 13.
정만호,복싱 이노우에 선수에 대한 분석 부탁드립니다,7개,2020. 5. 13.
토마스헌즈447,"드존이 얼마나 대단하냐면은 종격에서 레슬링으로 아무도 못이기니까 실제 레슬링 챔피언(올림픽 금메달)을 불러옴 그래도 이김
2차전은 결국 역전 당했지만 그래도 그선수가 윗체급 올라가서도 챔피언 먹음",2개,2020. 5. 13.
콩이대스타k,격투기 늦게 시작한 세후도 👍🏻👍🏻,4개,2020. 5. 13.
이호준,드존경기끝나고 박수쳐주는거보고 부랄찢었었는데,4개,2020. 5. 13.
임채령,격투기 아예모르는데 설명을 아주 잘하시네요,2개,2020. 5. 13.
최성원,이길 수 밖에 없었다니.. 2차전 자체가 판정논란이 있는 승부인데..,1개,2020. 5. 13.
조원휘,최두호해주세요,4개,2020. 5. 13.
Bigpam,"차도르님은 아직 다행히 스포티비한테 경고안날라오셨나보네요
분석채널 중에 카우보이라는 분은 해외영상을 사용했는데도 저작권 문제때문에 한번에 경고 2번 받아서 채널삭제 당할뻔했답니다
그래서 그동안의 분석영상을 거의 다 내리셨더라구요

제가 제일 즐겨보는 채널인 차도르님도 그런 불상사 일어나지 않길...",7개,2020. 5. 13.
승바스틱,"드존v세후도 2차전은 누가 이겼어도 이상하지 않을 정도의 박빙의 명승부!
 결과에 승복하고 박수처주는 드존 개죤멋 물론 세후도도 개쩔은",1개,2020. 5. 13.
루하,5:18 밥??,0개,2020. 5. 13.
박병수,둘다 진짜 멋있음..,0개,2020. 5. 13.
미스터지져스,조지 포먼 어떤가요,1개,2020. 5. 13.
YKLORD,엘리트 체육인의 전술수행능력이 진짜 빛났던 경기,0개,2020. 5. 13.
이재호,호완하기 힘든 자세를 적용시키는게 참 어렵지만 성공만 한다면 상대방에겐 지옥만이 펼쳐지겠죠,1개,2020. 5. 13.
Roze8026,저건 머리로 이해하고 눈으로 보고 움직이는게 아니라 그저 본능 몸에 뵌 움직임 그만큼 많이 준비하고 많은 움직임에 몸이 반응하게 훈련 했다는 생각밖에 안드네요 저 짧은 시간에 저렇게 움직이는게 대단합니다,1개,2020. 5. 13.
야자수,1ㅃㅏ~!,0개,2020. 5. 13.
이재선,헨리 세후도가 쇼토칸을 수련했었나요?,1개,2020. 5. 13.
PaikNak,대단하다.  두 선수 기량의 수준이 정말.,0개,2020. 5. 13.
몽당연필,대한민국을  대표하는~이  멘트가  잘 어울리고 딱!!맞는  유튜브 차도르,1개,2020. 5. 13.
찡코tv,"이 2차전 경기 논란이 많음.
존슨이 이겼다고 생각하는 사람이 많음에도 판정이 세후도에게 편파적으로 유리했음.",1개,2020. 5. 13.
조재덕,2빠,0개,2020. 5. 13.
짜z,스텐스만 가라데이지 경기 스타일은 완벽한 MMA 아닌가,0개,2020. 5. 13.
RunForDreams,1빠,0개,2020. 5. 13.
이태호,와우 수준높은 분석 감사합니다ㅎㅎ,2개,2020. 5. 13.
김충만,15:22,0개,2020. 5. 13.
