닉네임,댓글,좋아요수,날짜
더로그TheLog,이사하고.. 사람답게(?) 살고 있어요 :),11개,2020. 4. 17.
빅픽처,진짜 괜찮아보인다.....,4개,2020. 4. 17.
알레스카연어,2:14 상자에 눈이간다 ㅋㅋ,3개,2020. 4. 17.
건빵,집 엄청 좋네요....,3개,2020. 4. 17.
SmartMan,이제 새로운 우주는 영원히 사라졌군요 ㅋㅋㅋ,0개,2020. 4. 17.
용갈이,"3:21 왜ㅐ 왜ㅐㅐ! 왜애애애!!!!!!!
흔한 가족",0개,2020. 4. 17.
손발,영상 두개나 올려주시고 감사합니다.,0개,2020. 4. 17.
스구,코드제로 가져오기 귀찮으니까ㅠ 방에 두고 쓰는 용도로 가격이 착한가여?ㅋㅋ 마침 방에 청소기 고장났어여ㅠㅠ,2개,2020. 4. 17.
안녕,근데 s20카메라8k이 인가..,1개,2020. 4. 17.
CyY,4:30 키보드 뭔가요???,0개,2020. 4. 17.
근육장군,샤오미 v10이랑 비교하면 어떤가요??,0개,2020. 4. 17.
안녕,1빠,2개,2020. 4. 17.
JHK,안그래도 요즘 무선청소기 생각중인데 일단 리스트 추가,0개,2020. 4. 17.
김정현,머리카락에 취약하진 않나요??,0개,2020. 4. 17.
이은정,제품 제공받고 쓰신 후기인지 아닌지요? 신제품이라 바이럴이 많아서 구분이 안돼서요. 찐후기 찾고있거든요.,2개,2020. 4. 17.
Mara,dreame 시리즈는 관심없으신가여,0개,2020. 4. 17.
이성준,그래도 정발이 갑..,0개,2020. 4. 17.
김준혁,로보락 네이버 최저가 40만원 초반대인데 다이슨 v6나 v10직구 가격이면 더 싸거나 비슷할텐데 다이슨보다 로보락이 좋을까요?,1개,2020. 4. 17.
이현중,"리튬 폴리머 배터리는 리튬 이온 배터리보다 안전성과 내구성이 떨어지는 배터리입니다.

주기적으로 이상이 없나 꼭 확인하세요.",2개,2020. 4. 17.
