,youtube_id,comment,like_num
0,TyU,"대학 막 입학했을 때 다또아님 보기 시작했었는데 이제는 회사 신입이 되었네요.. 다또아님 영상 보니까 뭔가 향수가 올라오는 것 같아요ㅋㅋ 대학때도 생각나고.. 왜 이러는 거죵,,,",33개
1,ReziSuciana,SOOOOO CUTEEEEEE 💞💟🤗😘,16개
2,박둥둥,"마지막에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무서워하는 표정 졸귘ㅌㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋ

영상 잘봤어여! 옷도 찰떡이시네여 ❤️
혹시 실례가 안된다면 ! 삭센다 주사 후기 들려주실수 있나여~!?",35개
3,Jayla,eng sub has entered the chat,16개
4,홍채현,와 언니 살 진짜 많이 빠지셨어요ㅠㅠ 언니 건강하거 예쁜 모습 자주봤으면 좋겠어요 힘내세요❤️❤️,10개
5,아희,언니ㅠㅠㅠㅠㅠ언니 옛날 느낌나고 점점 살도 빠지시는 것 같아요 요즘 행복하신 것 같아 보여서 정말 다행이에요! 제 학창시절 메이크업을 책임져줬던 또아언니 자주 보고싶어요ㅎㅎ항상 건강 챙기면서 행복하세요 언니ㅠㅠㅠ❤️,6개
6,RAINZombie레인좀비TV,1:01 오 렌즈낀곳과 안낀곳 차이를보니까 신기하네요,21개
7,이지,엄마 라이터 ㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ 비하인드가 너무 재밌어욬ㅋㅋㅋㅋ 신선한데영,4개
8,아랑이,"생얼이 저렇게 예쁘다니,, ㅠㅠ 오늘도 언니 영상에 좋은 기운 많이 받아갑니댱❤️❤️❤️☺️",7개
9,평양이,중딩때 진짜 언니 화장 보면서 배웠는데 ㅠㅠ 벌써 20입니다 ㅠㅠ 언니 평생 함께해요 😍😍,5개
10,김나은,ㅠㅠㅠ보고시포쨔나...,10개
11,장유경,너무 이쁘시고 마지막 장면 너무 귀여워용😆,4개
12,해피니스,ㅋㅋㅋㅋ 마지막 너무 귀여워ㅠㅠㅠㅠ,3개
13,재윤,앜ㅋㅋㅋㅋㅋㅋㅋㅋ언니 마지막뭐에옄ㅋㅋㅋㅋㅋ 뒤에 빤짝이 커튼? 떨어질때 표정 너무 귀엽잖오......ㅠㅠ 또아언니 올해두 역시나 이뻐요♥️,3개
14,으이그으이그,마지막 너무 귀엽다 ㅠㅠ❤️❤️,0개
15,주공,언니 날이 갈수록 살이 빠지는 모습 밝아진 모습 보니 너무 좋아요,7개
16,김소연,설명 정말 쉽고도 자세히 해주셔서 넘 좋네요. 마지막  넘 귀욤 ♡,3개
17,김건빵,이 메이크업 완전 찰떡이에여 ㅠㅠㅠㅠ,1개
