,youtube_id,comment,like_num
0,KarJo,"줌 촬영성능
Folded 렌즈
8k초고화질동영상
싱글테이크
뮤직쉐어",11개
1,rejamie,"근데 어떤식으로 진행 하는 건가요?
어떤 링크에서 하나요? 아니면 실시간으로 채팅에서 하나요?",2개
2,신유상,너무 참여하고싶은데 그시간에 태권도에 있어서 ㅠㅠㅠ,0개
3,류영윤,갤라쇼 1회 하셨던거 봤었는데 고생하셨어요ㅠㅠ,1개
4,COLORBRIGHT,열스님 치트키 감사합니다!!,1개
5,J개구리,s20/s20+/s20U 배터리 테스트 기다리고 있어요~~~~,0개
6,tigerJK,슬슬 탐이 나기 시작합니다~^0^,0개
7,병헌,2회차도 화이팅 입니다!,0개
8,차차웅,가즈아~!!!,0개
9,사장바지,화이팅,0개
10,ZETAGUNDAL제타건달,2회차도 열심히 참여합니다 ㅎㅎ,1개
11,KarJo,"갤라쇼 조아용~
좋은이벤트 감사합니당~",0개
12,스구,감기다 감기!!!! 맹맹맹,0개
13,ONCE,"오 갤럭시 버즈 플러스 파란색 꼭갖고싶어요👍👍👍
이미 구독완료했습니다~",0개
14,박화평,형님 이번에 저도 걸려봤으면...헿,0개
15,cameraboy,2회차때 꼭 받고 싶네요,0개
16,한건희,갤럭시 s20베터리테스트 기대할깨요 ㅎㅎ,0개
17,김민준,혹시 갤라쇼 3회차는 안하시는..... 건가요?,0개
18,뚜벅이장인꼬그tv,로그님 연락처만 남겼었는데 주소도 적었어야 했나용?,0개
19,박주성,"갤럭시 투 고 쓰고있는데...
강건너 아파트의 동 숫자가 잘보여요...",0개
20,LearnRobot,근데 당첨되면 연락은 어떻게 오나요?,0개
21,kingdragon,오,0개
22,곰맥주,저 사는곳은 대여 해주는 곳도 없어서 아쉽네요 ㅎㅎ 써보고싶은재,0개
23,민종석,내 생일날이다,0개
24,더로그TheLog,"갤라쇼 1회차 함께해 주셨던 분들께 다시 한 번 감사 말씀드립니다!
당첨자 분께서 보내주신 메일은 확인 후 연락드릴게요!
당첨 안되셨다고 하셔도 아직 슬프긴 일렀!
2월 21일 금요일 밤 9시 갤라쇼 2회차아아아 노려보시길!",5개
25,이성준,정답 다줬네 아니 그냥 퍼줬네,0개
