,youtube_id,comment,like_num
0,areumsongee아름송이,송이의 한달살이라고 🐟송살이🐟라는 컨텐츠를 열심히 매달 찍어보려구요🤨🤨!!! 사실 1월은 못찍었어요 ㅋㅋㅋㅋㅋ이번달부터 열심히 찍어보겠어요❤️❤️,195개
1,,착한애들은 착한애들끼리다니는구나..,366개
2,성이름,언니는 고딩때부터 얼짱으로 유명하고 인기많으셔서 학교다녓을때도 완전 인싸였을것같은데 일진논란도 없고..   sns에도 중고딩친구들보다는 얼짱분들이랑 친하게지내시는것같아서 뭔가 신기하고 궁금해요.,188개
3,JiJi,얼짱시대부터 쭉 지금까지 저렇게 친한 친구처럼 지내다니 부럽기도하고 대단한거같아요 ㅠ ㅋ 네분 다 편한 친구같아보여서 좋아보여요!ㅎ,81개
4,유지를유지하라,"이 멤버 체고 ,, 이게 진짜 공주모임 아입니까 🤗",29개
5,윤서,얼짱시대 내 초중딩시절의 최고스타들...ㅎㅋㅋㅋ진짜다 예쁘고멋있는 어른들이되셨네 추억돋는다..,40개
6,형스터브이로그,홍영기님 내 나이 세대에서 엄청 유명하신 분 우와 유튜브로 오랜만에 보네요🤓,68개
7,POLTRONESOF,Oué oué oué... from France ^^,6개
8,가니,이 모임이 제일 좋아요 얼짱 공주들 모임 ㅎㅎㅎ💕 이 조합 오래오래 갔음 좋겠다 다 좋은 사람들~! 언제나 선 댓글 후 감상 아니겠습니까... 이번 영상도 잘 볼게요 ㅠㅠㅠ 송살이 컨텐츠 넘 좋아요 2월 송살이 기대할게용🥰❤️,31개
9,허니스킨먹방로그honeyskinMukbanglog,이멤버진짜 계속 나왔으면..💛 진짜 내사람 4대장 언니들ㅠㅠ❤ 근디 르꼬똥은 진짜 똥맛인가,60개
10,ViVA,윤아라랑 야엘이 진짜 이쁘다...워너비,42개
11,지원,언니 영상보는 거 진짜 힐링이에여... 뭐랄까 아주 아주 밝은 느낌도 아니고 축 처지지도 않는.. 그냥 힐링 그 자체ㅠㅠ 기분 안 좋았는데 언니 영상보고 안정된 기분이에욥... 진짜 사랑해여ㅠㅠㅠㅠ,18개
12,햄찌,세상 많이 발전했네요 인싸들이 연말에 노는 모습을 침대에 누워서 보는 날이 왔네 아싸로써 흥미로워요,16개
13,김다슬,"1:47 헐헐!!!!! 저도 대전 사람이여서 저기 2시간인가 기다려서 먹었었는데 오씨 칼국수 파전 맛있어용👍👍❤️
대전 지하상가도 다녀오셨다니ㅠㅠㅠㅠㅠㅠㅠㅠ언젠간 언니 볼수 있는 날이 오기를 ㅜㅜㅜ",4개
14,koteeswari,"아름송이 언니 , 사랑합니다~",14개
15,효미너스,얼짱시대ㅜㅜ아라님 진짜 많이 좋아했는데 지금도 이쁘다ㅜㅜ♥,20개
16,JY,"아 영기님 너무 웃겨욬ㅋㅋㅋ 역시 프로유튜버
송이님 쇼핑하신 옷 다 잘어울려요 ㅠㅠㅠ",16개
17,도이로그Doiilog,"허얼ㅠㅠㅜ넘 오랜만이에요 흔녀 훈녀되다,,,중딩때 잘 챙겨 봤었는데,,,추억돋는다⭐️",23개
18,이현주,얼짱시대 모엿다ㅜㅜㅜㅜ 진짜 정말 좋아햇엇어요 ㅜㅜㅍ,17개
19,DlstodTmek,얼짱시대 모임 진짜 넘 반갑고 ㅜㅜ,20개
20,agehamayurin,"楽しさが伝わり
可愛かったねん😍💕
字幕(ღ*ˇ ˇ*)｡o♡ᔆᵘᵗᵉᵏⁱ♡",16개
21,두리젠,헐 이렇게 모인거 너무 좋다ㅠㅠㅠㅠㅠ 저 사람들이 만나는데 내 추억 새록새록,4개
22,제고추는3cm입니다그리고,헐 대박 언니 저도 31일에 친구들이랑 세인트 존스 호텔 갔었는데 ㅋㅋㅋㅋ 언니 못봐서 너무 아쉬워요ㅠㅠㅠㅠㅠㅠㅠ,3개
23,얌얌,야엘이란 이름을 보고 들어왔습니당..전부터 근황이 궁금했던멤버였는데 ㅎㅎㅎ,9개
24,이수빈,언니 망년회는 일본제국주의의 잔재로 남은 말이에요ㅠㅠ 망년회보다는 송년회를 사용하시는게 좋을 것 같아요 ♥️,2개
25,,今日も可愛い♡😍,9개
26,,언제나 일본에서 응원하고 있습니다 💗 송이 짱도 행복하게 지내세요   💗 사랑 해요!,2개
27,lemon,6:50 오렌지맨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10개
28,오늘의일정,아룸송이 언니 넘나 내스탈 언니능 내뀨 >.<♥️,6개
29,,人生楽しんでるのが伝わる🥰,1개
30,소영,와 얼짱시대 생각난다 😻🔥,6개
31,예워니,좋아하는 얼짱시대 멤버 나오니까 추억돋으면서 잠시 어렸을때로 돌아가는 것 같아서 기분이 좋아요❤️이 조합으로 많이 영상 올려주세용ㅎㅎ,6개
