닉네임,댓글,좋아요수,날짜
탱탱귤,언젠가 부터 썸내일 얼굴이 커지고 있다ㄷㄷㄷ,10개,2020. 5. 18.
희재,이누나 이쁘고 착하기 까지하네  부족한게 뭐야,12개,2020. 5. 18.
박지민,니콘내콘 짱이에요 진짜 선물할때 맨날 카카오페이만 썼었는데 몇백원 아낀거로 아메리카노 먹을 수 있음 깊티 선물 자주 하시는분들께 추천드려요 완전 최고 👍🏻👍🏻👍🏻,10개,2020. 5. 18.
쌀누나팬클럽회장,이렇게 귀여울수가 있나?,9개,2020. 5. 18.
김영심,얼큰이 섬네일 너무 귀엽고 좋음♥,6개,2020. 5. 18.
loyyer,"뭐야 이 날 진짜 예쁘자너,,,",2개,2020. 5. 18.
nowho,04:10 ❤️🧡💛💚💙🤎🤍🖤💜,8개,2020. 5. 18.
최민국,걸데 혜리닮았어요!  귀여워 ㅋㅋ,4개,2020. 5. 18.
코난,"이쬬케 민성 님... 기다렸어요 ㅠㅠ
영상 늘 재밌게 챙겨봅니다!",6개,2020. 5. 18.
쌀누나팬클럽회장,포차와서 밥먹다가도 영상은 꼭 바로 재생합니다!! 이츠오케이 티 주세요ㅠㅠ남는거 없나요,4개,2020. 5. 18.
깅스맨,인스타많이올려주세용♡♡♡,5개,2020. 5. 18.
윤영섭,4:19 지나친 연기에 현타가 온 이쪼케 ㅋㅋㅋㅋ,0개,2020. 5. 18.
김대딩,N팡이 ㄹㅇ 꿀어플임 진짜,1개,2020. 5. 18.
문별이,인트로진짜 가면갈수록 웃기넼ㅋㅋㅋㅋ,0개,2020. 5. 18.
클라우드블루,"4:05 이거 쓰고 있는데 편리하고 좋아요!
제 친구 중에 쪼잔해서 항상 더치페이 피하고 안낼려고 하는데 이 앱 쓰고 정확하게 얼마 낼지 알려주니까
그 친구가 더치페이 잘하더라구요! 저도 이앱 추천합니다^0^!!",1개,2020. 5. 18.
채원,"더치패이앱? 덕분에 친구한테 사이다 날렸다능..ㅋㅋㅋ
언니 고마워욧~!",0개,2020. 5. 18.
yschoi,오늘 내용 참 유용했어요~~ 누구인가?ㅋㅋㅋ,0개,2020. 5. 18.
승희,오 진짜 유용한거 같아요~~!! 잘 보고 갑니당٩( 'ω' )و,0개,2020. 5. 18.
이태훈,ㅋㅋㅋ 더치패이 ㅋㅋㅋ,0개,2020. 5. 18.
백민혁,댓글이없어...?ㅋㅋ,0개,2020. 5. 18.
사과짱,A51리뷰해주세용~~~^^,0개,2020. 5. 18.
