,youtube_id,comment,like_num
0,흑자헬스SurplusHealth,어떤 사람들은 제 여자 같은 손 발목과 종아리를 보고 운동 좀 하라고 지적하지만 어떤 사람들은 그걸 보고 제가 얼마나 체격을 키우기 어려운 뼈대인지 아실 겁니다. 오늘부터 빡운동 들어가겠습니다 ^^,11개
1,JayKim,"""어차피 타고나야 하는 거구나""하는 회의감을 심어드리려는 게 아닙니다.  타고나지 않았기 때문에 더 열심히 하자는 겁니다. 
-흑자헬스",992개
2,알렌,이런 교육적인 영상도 여자 고양이 자세 썸네일 하나의 조회수보다 못하지,241개
3,제갈춘식,2:17 이몸 진짜 이쁜데 아니 머리랑 잘어울림,23개
4,이용,20살 177cm 46kg 시작 타고난게 너무없어서 10년을 헬스해서 겨우 70kg가 되었고 남들이 보기엔 일반인몸과 다를게없지만 나 스스로는 노력의 크기를 알고있다 이제는 운동이 생활이고 밥먹는일과 같으며 인생을 아름답게 채우는 일부가 되었음을 느끼고있다,114개
5,WooUltangE,본인이 타고났는지 아닌지 보려면 본인 피지컬의 일정수준 이상 도달해봐야 되는데 대부분의 사람들은 도달하기도 전에 포기한다는 게 함정. 남과 비교하지 말고 나의 한계에 도전하자.,219개
6,설기관,"마이프로틴 영상 이제 봤습니다!
진심으로 함께하길 바랬습니다. 
그리고 응원해주셔서 감사합니다 😊",241개
7,박지호,2:20 형...이건 몸이 문제가 아닌거같아.....,144개
8,째즈아빠,"나처럼 된다구 한적 없다구욧. 이 운동으로 효과적으로 어제 당신의 골반보다 내일 당신이 골반이 커진듯한 착시효과를 만들어줄 수 있다구욧.   

실드 예상답안.",171개
9,조빡이,"왜 여자 만나고 싶은게 못된생각이에욬ㅋㅋㅋㅋ
그래도 아내분 잘만나셔서 잘지내고 있으시잖아욬ㅋㅋㅋ
영상 잘보고 갑니다👍👍",9개
10,고향방문,"""역시 얼굴은 몸에 붙어있죠""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ",257개
11,SSRRRRSS,2:20 이 사람은 진짜다!....,10개
12,이재현,댓글에 ㅈㅇㅈㅇ래서 마술했던 그분인줄알고 뭔소린가 했는데 한분 더있었군,13개
13,jhc,0:44 에서 현웃 터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무나도 담담한 표정과 말투가 킬포ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,7개
14,철수,0:38 부곽x 부각o,4개
15,문은정,"타고난 언어적감각을 가지셨어요.
몸이상의 가치가 있다고 생각합니다.
근데 몸도 나쁘지않으니 난사람은
분명합니다.솔직함도 매력이십니다",286개
16,토착짱깨개자식들,제이제이?,16개
17,CheonIlPark,2:16 흑자동생 사진 중 가장 멋있음,19개
18,예쁘면언니잘생기면오빠,"형님 와꾸를 까는 사람들은 그렇다 치는데
몸을 까는 사람들도 있군요... 진짜 너무하네요",4개
19,디스씬,"박보검 정우성....   ㅇㅈ...
아마 주위 이성들이 그냥 잘해줬을겁니다...",2개
20,웅비이,노력을 해서 되는사람과 노력을 해도 안되는사람이 어떤 분야든 분명히 존재한다. 노력을 부정하는게 아니라 타고나지 못한자의 노력을 타고난사람이 비웃지 말아달라는것..,459개
