닉네임,댓글,좋아요수,날짜
이스타TV,정정) 14:38 77%가 아니고 63%가 맞습니다.,103개,2020. 6. 3.
이혁수,"7명/11명 = 77%???? 
랩추종윤식 수학의 끝은 어디인가.....",143개,2020. 6. 3.
꼬북단두목꼬부기,"6:28 황근본 曰 ""촉수를 굉장히 좋아하시나봐요?""
번개曰 ""그렇죠 여러명과 할 수 있으니까요"" ㅋㅋㅋㅋㅋㅋㄱㅋㄱㄱㄱㄱㄱㅋㄱㄱㄱㄲㅋ황덕연 잠시 멈칫",200개,2020. 6. 3.
겉절이짱,6:35 이 형은 진짜다.....,62개,2020. 6. 3.
김무연,월클은 진짜 기준에 따라 너무 극과 극이라 퍼거슨은 자기 제자중에서 호날두 긱스 스콜스 칸토나 이 넷만 월드 클라스라고 말 함 역대 이피엘 베스트에 꼽히는 슈마이켈 로이킨 같은 선수도 퍼거슨의 월클 기준에 적합하지 않았던 거임,27개,2020. 6. 3.
cczz,ㅋㅋㅋㅋㅋㅋㅋ1시간만에 댓글 천개 바로 넘기네 손흥민+월클? 바로 댓글 콜로세움 개방이지ㅋㅋㅋㅋ,258개,2020. 6. 3.
김준영,조코비 비지엠 개쩐다 ㅋㅋㅋㅋㅋ 진짜 찰떡같앜ㅋㅋㅋㅋ,52개,2020. 6. 3.
벵거어금니,"손흥민, 월클 . . .  키워드 ㅋㅋ 조회수 폭발 예정이네",143개,2020. 6. 3.
AKAK,조회수 치트키 결국 쓰네 ㄷㄷ,105개,2020. 6. 3.
이제,종윤이형...자기 기준대로 하면 손흥민은 월클이 아니니까 월클이 아니라고 말해야하는데 욕먹는거 피할려고 계속 아슬아슬하다고 말하네...,174개,2020. 6. 3.
김형섭,6:33 종윤이형 나 쌀거같아...,18개,2020. 6. 3.
티모님,근데 축구를 다 모르는 사람들만 인터뷰를 했음 ㅡㅡ,8개,2020. 6. 3.
Fox레스터,"월베 후보였고 발롱도르 8위에 리그 최우수선수도 타봤고, 최근 3년 연속 리그 득점 4위 안에 들었으며 현 프리미어리그 득점 1위 제이미 바디 선수는 월클인지 다뤄주셨으면 좋겠습니다.",116개,2020. 6. 3.
김성윤,12:15 그의 등장,31개,2020. 6. 3.
룡이,"자국 선수 평가하면 예민한 증거 
☆ 피르미누 월클인 이유 우스개 소리로 세레모니 갑이라고면  ㅇㅈ 하면서 장난침
근데 손흥민 분위기 메이커 군사훈련 이야기하면    어거지로 국뽕 조질려고한다 라는  반응",29개,2020. 6. 3.
jays,챔스 준우승 우승 멤버인 피르미누는 월클 아니라면서 손흥민은 팀이 챔스 준우승했다고 월클이래ㅋㅋㅋㅋㅋㅋ,50개,2020. 6. 3.
