,youtube_id,comment,like_num
0,SNN,근육은 진짜 탄탄한데 라인이 너무 우아하고 예뻐요. 흔들림없는 동작들 진짜 신기해요!!! 저도 더 자극받아서 운동 열심히할래요~ 이번 여름에는 꼭 비키니를 입겠어요😊,9개
1,라떼는말이야,하나쌤 몸매처럼 꼭 될꺼예요 운동하는 여자가 될꺼예요 ٩(๑❛ᴗ❛๑)۶,6개
2,rubykim0804,"확실히 무용을 하셨어서 그런지 몸 라인이.. 정말 멋져요 선생님ㅜㅜㅜㅜ 저도 곧은 몸, 건강한 몸 본받고 싶어요😭",10개
3,박정민,선생님~~매일 하체랑전신 따라하고 있습니다.그만한영상이 없어요~사랑합니다아~감사합니다~~,5개
4,sunnysunkwak,"정말 멋있는 여성입니다~~^^

매일 오전 집에서 따라하고 출근해서 일해요.
상급자코스 하나하나 따라하다보면 
체중감량되겠죠~~^^",5개
5,김진,"😭 진심 나도 저렇게 되고싶다는....
나는 뭐가 문제인가? ㅋㅋ
선생님 멋져요 😁",6개
6,ZOO,전 인스타에서 잠깐 봤지롱요 ㅎㅎ 울쌤 증맬 너무 멋있규 킹왕짱이에요 근육모양이 어찌저리 매끈하신지 출산하고 육아하시면서 정말 힘들고 정신없으셨을텐데 꾸준한 운동으로 건강한 몸 다시 되찾으시고 이렇게 유튜브도 활동도 해주시고 넘 대단한 쌤 👍 항상 응원합니당 ❤,6개
7,yujungseo,와...어쩜 저렇게 균형이 딱딱 맞는거죠??!! ㅠㅠ 부럽다.. 측만증환자 웁니다...ㅋㅋㅋ,3개
8,안소희,선생님 너무 멋있어요 영상 항상 잘 보고 있어요 매일 안 하면 몸이 뻐근해요 ㅎㅎ 폼롤러 기대하고 있습니다 얼른 내주세요😍😍,3개
9,Ashley의쉽게빼는다이어트,강하나 선생님이 올려주시는 스트레칭 할 때마다 몸이 리프레시 되는 기분이에요! 매일 열심히 따라해서 저도 언젠간 선생님처럼 건강하고 탄탄한 몸 겟챠할 거예요!♥,2개
10,말챠테린느,"선생님 혹시
부유방빼기 운동을 가슴이 작아지나요 ..??
다이어트중이라서 가슴 크기가 너무 신경쓰이네요 ㅠㅠ",2개
11,bokrakang,"대박. 하나쌤 사람이 아니신 것 같아요. 우아,",3개
12,AnnieLee,새삼스럽지만 선생님 정말 멋있어요 ㅠㅠㅠ 하루라도 선생님 스트레칭 안하면 몸이 찌뿌둥해요.. 😍😍,3개
13,이밍TVimingTV,우와 우와를 연발하고 갑니댜..👍❤,4개
14,더나은,우와 뒷부분 근육 잡힐 때 너무 멋있어요🤭,3개
15,알통달통TV운동하는여자들,다리 넘 기시다❤❤❤❤❤❤,4개
16,SKim,잔근육 너무 아름다워요 몸선 .... 정말 아름답다는 말 밖에 안 나오네요.... 실제로도 뵀지만 정말 비율도 아름다우시고....~보는 내내 소오름~~~~,2개
17,NonameKim,자극 뿜뿜... 연느님 이후로 진짜 워너비 몸이에요.. 잔근육 ㅠㅠ 샘영상 열심히 보고 따라해서 언젠가는 샘 바디를 갖고말래요 ㅠㅠ,3개
18,김미미,"너무 멎져요♡
앞으로 좋은 영상 부탁할께요!!!
강하나 강사님 화이팅❤",3개
19,melodyy,코어가 얼마나 좋으신건가요 선생님... 저도 운동 자극 받아서 열심히 해야겠어용!!,2개
20,CharlotteJ,다 놀랐지만 다른거보다.. 사이드플랭크 뒷모습 보는데 종아리 근육이 너무... 짱이에요ㅠㅠㅠ 세상에 힘 빡 들어갔는데도 저렇게 훌륭햔 근육처음봐요...........................,1개
21,개간지샷,쌤 너무 멋지십니다💖,3개
22,JihyeYoon,와 몸매 워너비...잔근육에 탄탄하고 탄력넘치고 마디마디 쫙쫙 당겨진 느낌 진짜 멋있어요👍 저도 하나쌤 자극 받아 프로필 사진 언젠가 촬영해보고 싶지만 다다음 생을 기약해야겠죠....쿨럭,1개
23,단발병,쌤 최고❤,3개
24,깨발랄찌우팸,정말 정말 우주 최고 멋지세요 😍😍,2개
25,미잇츠,너무 아름다우세요-!!!!,3개
26,BoKim,나를 오늘 한번 더 사랑하자. 운동 하면서 살보다는 스트레스를 빼자.,1개
27,멍초mungcho,멋있어요 정말 ....,3개
28,,헉...넘사벽,3개
29,프리티스노우,진짜 너무 멋지세요~~!!!ㅠㅠㅠ😍❤️,2개
30,,매트 너덜거려서 사야했는데 너무 기대돼요💕,1개
31,leidianepimentel,❤,3개
32,뉴뉴천사,매트랑 폼롤러 기대되용!!!,2개
33,송유진,요가매트 정말 갖고 싶네요^^,0개
34,SuyeonJeong,넘멋지세요!!!!,1개
