,youtube_id,comment,like_num
0,험멜축구아카데미축구하는김선생,"이강인 안쓸꺼면 보내주는게 맞다!발렌시아 넘들아!!!
시간만 지나간다...저렇게 좋은 선수를..
믿는 도끼에 발등찍혔다..ㅜㅜㅜㅜㅜ",24개
1,이민재,임대 가는게 맞다고 본다 리그1이 라리가 보다 떨어지는거 맞아도 유렵 5대 리그 중 하나임 경기 뛰는게 제일 중요하지,48개
2,조르바,감독의 성향이 답인 것 같음.,34개
3,펭귄고기마시쩡,어딜가도 괜찮으니 주전만..,25개
4,수키츄,"개인적으로 형컴님과 선택이 동일한 
독일 분데스리가 한국인이 많이 거쳐간 아욱국이나 마인츠 정도 ㅎㅎ 가면 구자봉님이 많은 도움을 줄 것 같음ㅋㅋ",34개
5,HokyuLee,"사실 어느리그 어느팀으로 가는거 보다
감독성향이 제일 중요하지.
감독이 의지를 가지고 영입을 하려고 드는건지
아님 구단이 아시아 시장을 노리고 영입하려는지 그 차이가 중요하지.
사실 리그나 팀은 그리 중요한게 아닌걸로 생각한다.
그말은 이강인을 경기에 활용방안이 있는 감독 밑에 가야
이강인이 경기에 출장하고 출장하면서 형컴님 말씀대로 경기운영이나 상황인지 이런게 늘어가는거지.
사실 이강인이 10대라 해도 라리가에서 경기 뛸정도면 이미 기술적으로나 경기적으로나
다른리그에 가도 충분히 경쟁력 있는 얘기지.
기본기로는 타리그에 전혀 꿀릴게 없으니
경험에서 얻을수 있는 것을 갖기 위해 어느팀 어느리그던 뛸수 있는 곳으로 가는게 제일 좋겠다.",24개
6,gubang,네임드 클럽에 목매는거보다 최대한 많이 뛰는곳이 좋다 실력을 쌓으면 좋은 클럽은 알아서 가게 되어있으니,11개
7,CloudO,마르세유 감독이 아시아 시장에 관심이 많아서 마르세유가 유력해보임. 리그 순위도 2위 나쁘지 않고,48개
8,김형래,스피드는 향상 못시켜도 피지컬은 강화시킬수 있다,14개
9,스마트초이스,스페인 내에서 임대가 가장 좋은 시나리오. 언어 문화 적응 절대 무시할수 없음,13개
10,LeeDonghun,명문구단이 무슨 의미가 있겠습니까 많이 뛸수있는 팀으로 가야지요 명문구단은 손흥민 정도 아니면 의미가 없다고 봅니다,15개
11,KevinDeBruyne,중하위권으로 가는게 좋을듯 10번을 쓰는 팀이 별로 없음.,2개
12,깊은삽입이죄라면반으로줄일게,칸진리는 스페인이 잘맞는거 같은데,11개
13,반성현,nice 리스 아니고 프랑스 니스,3개
14,LKM,프랑스리그의 피지컬과 거친플레이가 무서워서 안간다면 이강인은 그정도 선수밖에 안되는거임. 가서 부딛치고 이겨내야지 월클선수지,19개
15,응응,다이아몬드 원석인걸 알면서도 발굴하지 않는 느낌,2개
16,요히리미,그냥 자기가 하고싶은데로 하면 됨 누가 돌을 던지겠냐,3개
17,하이블루HIGHBLUE,일단 어디든 많이 뛸 수 있는데 갔으면 좋겠다ㅠㅠㅠ  강인선수 파이팅!!!,5개
18,조성만,그동안 스페인 라리가에서 기회를 잡지못했던 백승호 선수가 독일 분데스리가로 가서 잘풀렸던 것처럼 이강인 선수도 좋은 팀으로 가서 잘 풀렸으면 좋겠다,16개
19,토착짱깨개자식들,"20세이하 월드컵 직후까지만 해도 쿠보<<<<이강인이었는데




냉정하게 직전시즌 쿠보 >> 이강인이었음

얼른 이적하자. 01년생 아시아 축구선수 라이벌리에서 꼭 승리하길 바람",17개
20,레이디가가,아직이적은  시기상조 ㅠㅠ,2개
21,황성연,이강인 이렇게 못뛰면 카타르월트컵 손흥민 이랑 같이 못뛴다,5개
22,이동현,개인적으로 프랑스는 피했으면 좋겠어요. 리그가 거친건지 잘 모르겠는데 다른 리그보다 선수들 부상이 엄청 잦은것같은데,2개
23,VAMOS희망,이강인선수~현명한 결정 하리라 믿어요. 열심히 응원합니다. 이강인 화이팅~^^,1개
24,곰돌이,일단은 발렌시아의 있다가는 그냥도 실력하락 되겄어 어딜가든 주전으로 뛰는데로 가야해,1개
25,손흥민홧팅,"지금 발렌시아 선수들의 최적의 전술이 442인데 전감독이 만든 선수들이고 지금 감독도 전감독의 선수들로 경기를 하고 있는데,  사실 다른선수들을 대거 바꾸지 않는한 442전술에서 벗어나기 어려울것같다.",3개
26,이기현,1:39 쿠보 오타요,0개
27,상김,쿠봉ㅋㅋ,0개
28,빅보스,어린애들 잘 키워주는 아약스가 좋지않을까 본다,2개
29,김민정,"독일가서 항상 뛰었으면 좋겠네요~
이강인 홧팅~^^",0개
30,이네이트,근데 두분 말씀을 왜케  잘하시지 나도 모르게 시간 가는줄도 모르고 푹 빠져서 봤네,1개
31,JunsComedyfactory,다 까놓고말해서 이강인 피지컬은 라리가 수준에서는  현저히 떨어진다라고 ...,2개
32,톨토스TV,4-4-2는 토탈싸커 힘을 바탕으로한 전술이라 이강인하고는 안어울림....4-3-3 /4-2-3-1 이런포메이션에 어울림,4개
33,김대군,어딜가던 스피드는 올려야 할듯....,0개
34,레이디가가,"마르세유 팀을  거쳐간  수많은 잠재력있는 선수들 이강인하고 너무나 극과극 차이가 분명히   나중에  비교 대상일것이라 추측☆☆☆☆☆ 
☆☆꼭  반드시 비교 분석 해야될부분~~☆☆",1개
35,빅보스,"독일,네덜란드 가 가장 적절 할듯",1개
36,사람,442로하되 다이아몬드형태로하면 그래도할만할텐데..,0개
37,호태대왕,이강인좀 보내줘라.,4개
38,빅보스,"프랑스갈거면... 음... 황의조있는 
보르도도 적응하기는 편할거같긴한뎅..
좀 그렇구",1개
39,신성호,아약스,0개
40,SGJ,난 어떤리그든지 상관없다 생각함 강인이가 필요한건 많이 뛰면서 경험을 쌓아가는거 라고봄 찬밥 뜨신밥 가리지 말고 진정으로 자기를 필요로 하는팀에 가서 뛰었으면 좋겠다,1개
41,parkmotors77,같은 동네 레반떼에 임대라도 갔으면 좋겠어유~~,0개
42,루티니스트,보르도가서 의조랑 쿵짝했으면 좋겠는데 감독이 343덕후라 강인이 공미 안줄 가능성 농후 ㅜ,7개
43,냠냠,강인이 중미 스타일이라서 흠.... 미드자원많아서 잘해야하하는데,0개
44,SJY남성편력자,맨유 가자,0개
45,OhSeokKwon,독일을 거치는게 이강인한테는 진짜 큰 발판이 될텐데....,0개
46,신성호,군대가자...상무,0개
47,새벽녁,쿠봉은 뭡니까??,1개
48,,압박이 엄는 리그앙이 낫지 분데스나 pl은 아얘 불가능하고 리그앙은 피지컬적인 부분이 의미가엄슴 압박이거친것이엄슴,2개
49,jerryLee,이강인 대박,0개
50,Koreanstreetfood,프랑스 두구단은 이강인이 월드클래스로 성장할거라고 100프로 확신하고 있다네요. 구단 스카우터 인터뷰에 따르면 흠,1개
51,트로피없는토중딱,지금 이강인은 일단 리그 앙 가서 실력 키우고 다시 와야됨,0개
52,이짱,많이 뛸수있는 팀으로가 풀타임 뛰는 이강인 보고싶다,0개
53,나8,아스날로 와라 강인아...,0개
54,정우진,마르세유...갔으면 좋겠다,0개
55,집돌이,축구경기도 안열리는데....,0개
56,NanaAllow,K리그 임대와야 할 시국,0개
57,임수린,이강인 그래도 아직 키가 더 크지 않나?? 성장판이 100% 다친건 아닌거 아닌가요??,1개
58,ATTHISTImELETsparty,스페인 하위팀이 낫지 않나,0개
59,KaraJin,강인이 이번에 옴겨야지 파브레가스 정도는 된다.,0개
60,박재혁,"가서 음바페,네이마르 상대하는거보고싶다.",0개
61,김경환,"피지컬은 극복 가능함ㅇㅇ
베라티 보셈",3개
62,마마도,"임대 이후 이적은 별로 달갑지 않은 전개 같다.
뉴캐슬 로 가면 좋은데 자리잡고 빅클럽 가야지",0개
63,콘델,이강인..경기도못뛰고 점점 빛이 바래간다 망할듯,0개
64,은인SK,이강인 관상 보면 24살까지 키 큰다고 본다 고로 스피드 향상도 본인 노력 여하 그리고 리그 수준 및 리그 평균 스피드에 따라 이루어 질 수 있다고 봄.,1개
65,bumyonglee,발렌시아에서 빌빌거리는데 마르세유? 웃고간다 비아냥거리는게 아니라 많이뛸수있는 하위권가서 경기수 쌓아야 된다 잘됬으면 하는 미음,1개
66,ST나얏나,이야!! 형컴님에말이 진짜 딱들어맞는  말입니다..역시  현역에서도 잘하시던분이던대 은퇴하시고도 너무잘 알아봐주시는듯 멎지내여,0개
