,youtube_id,comment,like_num
0,태율l시각장애인,"진짜 만능!!!!ㅋㅋㅋㅋㅋ 만능인격ㅠㅠㅠ
타켓팅은 딱 회사사람!을 위한 것이네용!
근데 정확한 인신률에 놀라고 갑니다 :]",3개
1,괴짜TV,"소심대리ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이뻐요ㅋㅋㅋㅋㅋㅋ 
근데 진짜 인식률 좋네요 ㄷㄷ
제 사투리는 좀 힘들겠죠..?",2개
2,윤지훈,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ형 빨리 떡상하자고 ㅋㅋ재밌다,4개
3,김동민,"형 개인기 저거 말고 그 예전에 라이브때 
했던 노래가 더ㅋㅋㅋㅋㅋ




근데 제목이 뭐였지?",6개
4,한국스나,만능혁키님 오프닝 재미있게 보고있어요 ㅋ  항상 좋은 소식과정보 감사합니다 ㅋㅋ,5개
5,yeoeun,"아닠ㅋㅋㅋㅋㅋㅋ 회의 뭔데요ㅋㅋㅋㅋㅋㅋ
정확도가 약간 아쉽긴 하지만 완전 좋네요👍🏻",3개
6,테크룸,신입사원 ㅋㅋㅋㅋㅋㅋㅋ 주라주라~ 입닫고 지갑 한번 열어주라~,7개
7,아기맹수,형 진짜 얼른 떡상했으면 좋겠다 ✨,5개
8,황승연,혁키님 너무 열심히하시는거 아닙니까 ㅠㅜㅜㅜ 감사합니다 😘,3개
9,MinJaeKang,요즘 영상이 많아서 행복하네요 ㅜㅜ 이번에도 잘보겠습니다!,5개
10,jenniYoon,"꼰대부장 너무 웃겨요 ㅋㅋㅋㅋㅋ
3:40 그래서 여행영상2는 언제올라오나욤 
기다리다 지쳐 🤣🤣",2개
11,다올,"신입사원 만능혁키 ㅋㅋ
랩도 잘하시넹ㅋㅋ
인트로보는재미 넘조으다

오호 마음 회의록 신기하네요 ㆍㆍ
좋은정보 김사해요♡",2개
12,원정대장TV,"형! 1일1영상 어때??
매일 보고싶어요!!ㅋㅋㅋㅋ",4개
13,SteveJ,진짜 만능이넼ㅋㅋㅋㅋ 랩을 왜케 잘하는겨? 하나하나 만능으로 다 잘하는데 대충잘하는게아니고 다 수준급임 ㅋㅋㅋㅋㅋ 미치게따,2개
14,todayshumo,랩하는 신입혁키 클라스 ㅎㄷㄷ 쇼미더머니9 한다던데 출연기대합니다!,2개
15,HotPlace,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오프닝ㅋㅋㅋㅋㅋㅋ,2개
16,yeon,학부시절에 있었음 개꿀...이라고 생각했는데 괜히 회의록이 아니었네욬ㅋㅋㅋㅋㅋㅋㅋㅋ가격ㄷㄷㄷ,2개
17,이무쌍,저 회사 사람들은 다 잘생겼네. 존재하는구나. 그런회사가,3개
18,앨리스,혁키님 ㅎㅎ 유익한영상 늘 감사합니당,2개
19,이기태,"혁키님 오늘도 왔어욤!!
역시 혁키님 영상은 꿀잼!! 
오늘 인공지능 너무 웃겨욬ㅋㅋㅋ",1개
20,배고파,꼰대 ㅋㅋ,2개
21,원정상,좋은 시스템 소개 감사합니다.,1개
22,잰언니,와 엑셀까지 좋네요,2개
23,사계,오 좋은 서비스 같아요. 이런거 필요할때 있었는데,2개
24,빈들tv,❤️👍,3개
25,홍성엄,갑자기뜬금없는데 비올때 에어팟2끼고 달라면 방수되나요?,2개
26,세탁설LaundrySSul,기가 맥히네,2개
27,뚱그라미,오 신기하네요,2개
