,youtube_id,comment,like_num
0,lamuqe,새벽에 일어나자마자 영상 보는데 충격과 공포+항마력 테스트.....☺️💗 (지금 다시 잠들면 악몽꿨다고 착각할 ㄷ...),805개
1,아랑,진짜 옛날에는 여자 생얼은 부끄러운것 감춰야 하는거고 그걸  웃음거리로 만드는게 당연한 때였는데 바뀐 지금이 훨씬 낫네요 화장 해도 안해도 그냥 나인 시대가 온게 다행이에요,12개
2,yexn,새삼 옛날 방송이 참.... 빻았다는게 느껴지는 부분이 많네여...ㅋㅋㅋㅋ,872개
3,연하,씬님 화성인 바이러스에도 나왔잖아욬ㅋㅋㅋㅋㅋㅋ 그 하루에 얼굴 여러 번 바뀌는여자? 이런걸로 그 때 박pd님도 출연했곸ㅋㅋㅋㅋㅋㅋㅋ완전 추억 그것도 해주시죠 언니의 흑역사가 좋네용,13개
4,,mc? 진행자들 쓰러지는거.. 일본 예능 같다... 씬님 흑역사기도 한데 한국 예능 흑역사 인듯,109개
5,이유하,아니 근데 씬님이랑 뮤끄님이랑 찐친인거 확실한게 보통 다른 유튜버랑 콜라보하면 그 유튜버 유튜브 링크 i카드에 넣어주거나 화면에 띄워주거나 하는데 라뮤끄님 영상 보고싶으면 라뮤끄님 검색하래ㅋㅋㅋㅋㅋㅋㅋ,768개
6,HEJung,아니 진짴ㅋㅋㅋㅋㅋㅋㅋ 스타킹 연출팀이 잘못햇넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하... 보는사람도 창피한데 당사자들은 얼마나....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 라뮤끄님 씬님 화이팅...!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 광대가 올라감과 동시에 발을 피지 못하는중 ㅋㅋㅋㅋㅋ,441개
7,jennifersung6,역시 남의 흑역사가 젤 재밌어 ㅋㅊㅋㅊㅋㅋㅋㅋㅋㅋㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋ 미쳐 진짜 ㅋㅋㅊㅋㅊㅋㅋㅋㅋ 🥳,525개
8,민디,"씬뮤끄 님들도 그 시절 자비없는 자막의 피해자셨군요 ㅋㅋㅋㅋㅋㅋㅋ 
저땐 저런 자막이 유행이었죠 ㅋㅋㅋㅋ😁
다시 보니 추억돋는 그시절 스타킹",619개
9,S편집자,"저 저때 중학생일때 스타킹에서 생방으로 봣엇음... 그당시엔 너무 충격이라 씬님이랑 라뮤끄님 처음 유튜브 시작하셨을때 '헐 이사람 스타킹...!!' 하면서 보기시작했는뎈ㅋㅋㅋㅋ 추억이네요 ㅎㅎ
(지금은 25살^*^)",679개
10,말랑구름이,아ㅋㅋㅋㅋ시작하자마자 박규진님 사진ㅋㅋㅋㅋㅋ,333개
11,쩡예JJeongYae,"와 진짜 10년 전 유행한 화장이다 진짜 근데 이제 10년 전이라 해도 2010년이야 10년대야,,, 아이고 두야",302개
12,이이졍,"화성인x파일때부턴가요,,, 제가 씬님한테 입덕한게,,,
근데 언니,, 미안해요 스타킹 영상 못보겠어요ㅜㅜㅋㅋㅋㅋㅋㅋ",286개
13,김가현,저 저거 엄청 봣는데 ㅋㄹㅋㄹㅋㄹㅋㄹㄹ 벌써 씬님이 이렇케 성장하셨다니...,293개
14,원다슬,최근에 라뮤끄님 볼때마다 닮은배우가있던거같은데 누구지누구지했는데 드라마 슬기로운의사생활에 송화쌤 닮으셨어요!!!,467개
15,횬,그날 방송 씬님이 살렸었음ㅋㅋㅋㅋㅋㅋ조혜련님이랑 두분이서 개웃겼는데...ㅋㅋㅋㅋㅋ나만 박장대소 했냐구....,100개
16,잘생긴게최고야늘짜릿해,10년동안 쌓아온 스킬이있어서그런지 리메이크업을 해도 막 이상하지않고 생각보다 훨씬 괜찮은데욤...?,139개
17,디아제이,3:06 어 음 자취방에 3년정도 썩어있다 나온사람같아... 언니... 지금이 더 젊어보여8^8,128개
18,서지윤,아니 왜 내가 보는 유튜버들 다 스타킹 나왔냐ㅋㅋㅋㅋ소근커플도 그렇고 윤쨔미님도 그렇고ㅋㅋㅋㅋ스타킹 다음에 유튜브 루트ㅋㅋㅋ국룰인가 뭔가 나도 이 언니들이랑 같이 나이 먹은듯ㅠ,73개
19,데이지,나 진짜  씬님 gee출때 진짜롷ㅎㅎㅎㅎㅎㅎ너무 오그라들어섷ㅎㅎ박수치다가ㅎㅎㅎㅎㅎ양손으로 양볼때렸엏ㅎㅎㅎㅎㅎㅎㅎ개아펗ㅎㅎㅎㅎㅎㅎㅎㅎ,37개
20,좋은열매,"아니 근데 이영상 보니까
내가 화장을 저렇게 하구 있네..
난 여전히 10년전 메이크업을..

윤짜미님도 똑같이
저렇게 스타킹에 나오셨는데
다들 잘 되셨네요
같은 길을 10년 걸으니
어느덧 top자리에..",57개
21,jennifersung6,언니 담엔 화성인 나왔던거 커버해주세용 ㅋㅋㅊㅋㅊㅋㄹㅋㅋㅋㅋㅋ 🤣❤️❤️,62개
22,DoYou,이와중에ㅋㅋㅋㅋㅋㅋㅋ 짤로 보면 도저히 무슨 계절에 찍은 영상인지 알 수 없는ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,47개
