,youtube_id,comment,like_num
0,CherryGiu,"So pretty!! 
I think you looks like SooJin of (G)I-DLE and Doyeon of Weki-Meki !",134개
1,도디,써니님 젖살도 다 빠지고 옛날보다 확실히 으른같아진느낌 너무이뻐효효훃,663개
2,돈벌어서아무럿개나살래요,디즈니는 뭐하는거야... 우리 써니님 데려가지 않고 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,294개
3,김연아,신기하게 수진 커버 메이크업보다 이런 그냥 데일리???메이크업 했을때 더 수진 닮아보임... 애초에 워낙 수진 닮으셔서,222개
4,끼룩,"써니님 이번 메이크업도 넘 예쁘다,,, 써니님의 너드 메이크업도 보고시퍼요,,, 제 소망 🥺 막 책벌레 같은 주근깨...",240개
5,메무니MEMOONIE,김도연+ 수진 닮았어요...세젤아름다워요...❤️,159개
6,정은아,언니 청하 snapping 커버 메이크업 해주세요~~><❤❤,216개
7,,살 왜케 빠진거같지 ㅠㅠㅠㅠㅠㅠㅠ 개이뻐요 💜,155개
8,alainaaustria,is it just me or does she sorta look like felix from straykids HAHAHHAHA you're stunning btw <3,32개
9,주라,"아이돌 해주세요,,,,,",82개
10,권다영,ㅠㅠㅠㅜ젖살인지는 모르겠는데 살 엄청 빠지신 것 같네요 아 몰라 예뻐요 사랑해,51개
11,Grace,OHMYGOD FINALLY ITS BEEN A LONG TIME😭😭😭🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡,44개
12,베네딕트자대배치,써니님은 새삼 화장 잘하심 웬만한 뷰티유투버 다보는데 써니님은 진짜 쵝오..😍,12개
13,YenaLee,하으아 써니님...오엠쥐 미모 최고다 진짜ㅠㅠ,47개
14,SummerJeong,쉐이딩 할 때 전투적으로 하는 거 너무 귀욥ㅋㅋㅋㅋㅋㅋㅋ 메이크업 머리랑 찰떡이에요 ㅠㅠ 💓,31개
15,mejazz,맥 상줘야할듯 ;; 다 사고싶네용,26개
16,이거먹고꺼져라좀,깐써니파 나와주세요... 앞머리 까니까 진심 이목구비 확 살아나는 느낌...,8개
17,은쫑,써니님 교정하시느라 힘드시죠ㅠㅠ 저도 5년 했는데 얼마나 힘든지 압니다 흑흑 근데 정말 신기한게 써니님은 교정기가 있어도 발음이 뭉개지지않는게 정말 대단한거같아요!!!!,34개
18,EunS,광고지만 꿀팁이 넘 많아서 유용하게 잘 봤어요~~~~💛,26개
19,지민,여자아이들 수진 메이크업 해주세요 너무 닮으셔서 대박날고같애용..,31개
