닉네임,댓글,좋아요수,날짜
hyem,꿀키님 영상 제일 멋있는 점이 인절미 꽈배기 발음 그대로 영어로 쓰고 괄호에 설명을 넣어주는거에용♡♡ 한국식발음 그대로 세상에 알리는게 넘넘 멋있습니당♡,191개,2020. 4. 4.
삶은계란,여러분 콩가루는 꼭 볶은 걸로 쓰셔야해요!! 왜그런지는 저도 알고싶지 않았어요...,285개,2020. 4. 4.
Cleanyochickenbones,"Sadly, we can't find any hotteok mix in my country lmao",115개,2020. 4. 4.
꿀키honeykki,"표고버섯만 먹다가... 너무 심심해서 만들어 본 인절미 꽈배기예요
(집에만 있다보니.. 심심해서.. 이것저것 만드는 중...)
버섯영상은 다음주에 업로드 될 예정입니다..

처음엔 호떡믹스에 <발효가 필요없는> 이라는 멘트가 써있길래 발효안하고 만들었다가 망했어요..
반죽을 만들고, 소분한 후, 그리고 성형을 완성한 뒤.. 에 반죽이 쉴 수 있도록 발효를 하면 좀 더 맛있는 꽈배기가 나올거예요.
-----------------
오늘은 호떡믹스를 이용해 한국의 길거리 음식인 꽈배기를 만들어 봤어요.
보통 꽈배기는 튀긴 후에 설탕을 묻혀 완성하는데, 저는 콩고물을 묻혀 더욱 고소하게 만들어 봤습니다.
그냥 설탕 묻힌 꽈배기도 맛있지만, 콩고물을 묻히니 더 맛있더라고요!

호떡믹스는 어떤걸 사용하셔도 상관없어요.
다만, 제품에서 추천하는 물 양보다 조금 적게 넣는걸 추천합니다.

Today I'm using Hotteok mix to make Kkwabaegi, twisted donuts that are a popular Korean street snack.
Usually Kkwabaegi are tossed in sugar, but I added extra nuttiness by tossing them in bean flour.

I used toasted bean flour, not raw.
I don't know if you can get this outside of Korea, but Koreans love this on injeolmi, a popular type of tteok.
These days we even use it for all kinds of different desserts like macarons and bread!
You can use any kind of hotteok mix. Just remember to use less water than in the directions.",160개,2020. 4. 4.
남주나,이쯤되면 호떡믹스는 만능믹스,99개,2020. 4. 4.
WanLynn,"Me: wow I'm gonna make this!
On 0:17:  1 bag hotteok mix
me: oh....I cant huhu",22개,2020. 4. 4.
삶은계란,와 꽈배기엔 당연히 설탕이라고 생각했었는데 콩고물도 맛있을 것 같아요,38개,2020. 4. 4.
우르르롹끼,0:19 첨부텈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,26개,2020. 4. 4.
wanna별,what other flour can be used to substitute the hotteok mix cause it’s hard to find here in my country 😭,7개,2020. 4. 4.
수퍼우Superwoo,오 저는 인절미도 좋아하고 꽈배기도 엄청 좋아하는데 이거 참 창의적인 아이디어네요!(쫀득한거 덕후에요^^) 역시 아이디어도 좋은 꿀키님!^^ㅋㅋ,32개,2020. 4. 4.
