닉네임,댓글,좋아요수,날짜
yeondukong연두콩,"연우입니다 흐흐
작명소 물어보시는 분들 커뮤니티탭 봐주세유‼️😊",423개,2020. 4. 21.
어깨도라방스김동영,"연우?!!!!!!!!!!!!⍥⃝ 
who is 연우!?!!!!!!!!!⍥⃝


𝒎𝒚 𝒈𝒊𝒓𝒍 .....",583개,2020. 4. 21.
Jella젤라,쌍커피 귀여워 ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ,278개,2020. 4. 21.
푸르른하늘빛꽃,인생이 안풀린다 싶으면 이름 바꾸는 것도 한 방법이라 생각해요🙂 '연꽃 연'자는 어디서 보기를 이름에 쓰면 안되는 한자라고 본거 같던데 바꾸길 잘한것 같다는 생각이 들어요! 이름 바꾸면 자주 불러주면 좋다고 하던데 그런 의미에서  당분간은 댓글 남길때 연우님이라고 남길게요😁,821개,2020. 4. 21.
Chunnia,"저도 아빠 죽고 실직 당했을 때 고시원 혼자 살면서 십만원 주고 바꾼 이름 받아가려고 나서며 걷던 그 겨울날이 생각나네요. 어릴 때부터 정말 왜 나만? 왜 이렇게까지? 라는 생각 참 많이 했던 시기였던것 같아요.
 고통스러운 의문에 사주를 봤었는데 이름에 쓰인 자가 사주랑 안 맞대서 새 이름 받으러 간 거였다가 결국엔 개명 안 하기로 결정했었지만 이렇게 연두콩님의 개명 소식을 들으니 연두콩님 이름 바꾸신 게 저에게도 어떤 전환점의 한가지 일이 될 것 같아 용기가나는 기분이에요. 저랑 똑같이 30년 옛 이름으로 사셨고 이젠 연우님이 되셨으니 다 화락할 일만 남았을거에요",447개,2020. 4. 21.
연우연우,댓글창이 내 이름으로 가득차있엌ㅋㅋㅋㅋㅋㅋ,120개,2020. 4. 21.
유이연,10:29 농협은행에서 터졌어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 이걸 아무도 언급 안 하신다구?ㅋㅋㅋㅋㅋㅋㅋㅋ,128개,2020. 4. 21.
승삔,이젠 “조연우”로 살면서 행복한 일만 가득가득하기를 바랄게요!!!! 하루하루가 지날수록 행복이 배가 되는 삶을 살았으면 좋겠어요! 무슨 일이 있었던 건지 모든 것을 알진 못하지만 불행한 일은 이제 “연주”라는 이름과 함께 멀리 갔을거에요. 항상 뒤에서 응원하고 있을게요! 행복하셨으면 좋겠어요!💕💕💕,160개,2020. 4. 21.
소다,"5:25 5:25
5:25 5:25 이름 바꾸시게 된 계기
저도 한자 개명하려고 준비하고있어요ㅎㅎ 원래 있던 한자뜻이 좋은 편이 아닌것도 있고 여러가지 이유로 새롭게 바꿔보고싶어요 연두콩님도 개명함만큼 생활이 풍족해지셨음 좋겠어요!🤗🥰
렌즈 너무 잘 어울려요 렌즈이름 메모하고갑니다🤭",196개,2020. 4. 21.
찡니,어떻게 저 얼굴이 30대냐구... 언니는 나에게 영원히 20대야...,9개,2020. 4. 21.
