닉네임,댓글,좋아요수,날짜
Gag펠존gaming,뭔가 동준님이 바뀐거 같은 앞으로도 이렇게 영상 올려주세요 감사합니다,2개,2020. 5. 5.
옴테크Ohmtech,카메라도 카메라지만 접힌다는 장점을 잘 활용할 수 있는 방안이 나왔으면 좋겠네요 ㅋㅋ,1개,2020. 5. 5.
월리,딴건 모르겠고 외부액정좀 레이저만큼 키워줬으면.....,1개,2020. 5. 5.
물똥,근데 접히면 너무 두꺼워보임,2개,2020. 5. 5.
남건우,지발 카메라좀 어캐하면 안되나 ㅠㅠ,1개,2020. 5. 5.
jang2014,1빠,1개,2020. 5. 5.
꿀벌,"ㅋㅋ 플립 쓰실분들 무조건 무광액정필름 쓰세요 
유광쓸때 찍힌자국 신경쓰여 주금",0개,2020. 5. 5.
이미나,세로 디저인이나을것같아요,0개,2020. 5. 5.
장예찬,그냥 레이저랑 비슷하게 해주면 안되나....,1개,2020. 5. 5.
시리,민서야 내 아이폰 수리비 갚아라 산지 얼마 안 된 1개월 된 새삥 이였다 인간아 니가 수학여행때 깔아뭉개서 휘어버린 내 아이폰수리비 39만원 갚아라 좀 맨날 말좀 그만 돌리고 ㄹㅇ 나 너네집 안다 너희 어머니께 말씀 안 드린거 안다 너네집 가서 말하기 전에 사과하고 갚아라 구리고 얼마나 뚱뚱하면 폰이 휘어지냐 중고로 라도 물어내든가 빨리 갚지 않으면 처들어간다 그리고 도*아 돈 좀 들고와 제발 맨날 얻어먹으려고 하지 말고 이 그지근성 쩌는 아가야그리고 한*야 제발 책상에서 비듬 털지마 빗질을 하던가 맨날 학교 책상에 터는거 봤다 여름에 눈 내리는 줄 최소한 매너로 니 🐶 더러운 비듬 쓸어서 버리든지 물티슈로 닦던지 하고고 쓸기 닦이들 죽어나간다 현빈아 🐶 같은 망상 하지말고 5000원 갚아라 선생님한테 구라까지 깠더라 갚았다고 받은적이 없는데 제발 갚아라 ㅈㄴ 잠수 그만 타고,0개,2020. 5. 5.
