,youtube_id,comment,like_num
0,YeRim,구체관절인형이 저렇게 많으셔...? ㄷㄷ 아니..큰 사이즈는 최소 50만원인데...헐레렝 개부러워..아니 근데 저런 원목 가구는  겁나 비싼데...와우 아니그리고 브라이스도 만만치 안은 가격인데 뭐야 저걸 저렇게 모을수있는거야????,434개
1,지호님,오빵빵님이 언니 엄청 사랑하고 아끼시는 건 알았지만 이 영상 보면서 더 느낀 거 같애요 ㅋㅋㅋㅋㅋㅋ 언니 진짜 남편 잘 골랐다 최고...,316개
2,이수민,진짜 사람들은 끼리끼리 만난다고 하더니 둘다 너무 사랑스러우신거 같아요! 윤짜미님 제가봐도 이렇게 귀엽고 사랑스러운데 오빵빵님은 얼마나 예뻐보일까요!,522개
3,경연,고양이양말 제가 의자한테..신겼는데 ㅋㅋㅋㅋ,126개
4,벼리,와...결혼 진짜 일찍 하셨당...그래도 좋은 분들끼리 만난거 같아요. 서로 잘 만난............부럽다......ㅇ<-<,82개
5,곰돌이,"약 5년전쯤만 하더라도 나만 알고싶은, 그리 흔하지 않은 취미였는데 ㅋㅋㅋ 이제 많이 알려져버렸더라고요.. 껄껄 그래도 부럽슴다 같은 인형러로서 대단하심당",56개
6,YUNI,내가 유일하게 응원하는 커플이당... 너무 너무 서로를 사랑하고 있다는게 느껴져 ㅠㅠ 이 커플 찬성입니다!!,21개
7,채뚜,아 혀니혀니에서 나온 구관 하나만 있는게 아니구나..ㅋㅋㅋㅋㅋ 구관 옷 보구싶어용!,67개
8,도라에몽,14:11몸친구 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ언니 바디프렌드 말하시는거죠?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,47개
9,현희,언니 도대체 원룸 살땐 어떻게 살았었어요..? 상상이 안가여 ㅋㅋㅋㅋㅋㅋ,9개
10,서연,구체관절인형 많은거 진짜 부럽다..ㅠㅡㅠ 쨔미님이 인형놀이하는것도 따로 보고싶어요!,42개
11,심심해여,저번에는 욕조가 그러더니... 지금은 빌리,35개
12,임가희,와 언니 결혼 엄청 일찍 하셨군여......연애썰이나 결혼 하기로 결심한 썰도 궁금해용 !!!,16개
13,민경펀치,어머 입장료를 모든 영상에 눌러버렸네...괜찮아 모든영상이 고컬리티니까...하핫♥♥,55개
14,지민,뭔가 저 인형들 쨔미님 없을 때 토이스토리처럼 움직이고 말할 것 같애....,72개
15,떄지,구관들 진짜 부럽다....,16개
16,빠마머리앤,나도 구체관절인형 한 두개쯤 예쁜 거 갖고 싶은데... 와우... 가격이... ㄷㄷ,30개
17,김사랑,"집이 아니라 전시관이아.....ㄷㄷ
언니 부럽다",24개
18,jiwon,"언니,,아실 것 같긴 하지만 크로비돌,,,크로비돌,,한번만 봐주세오..되게 좋아하실 것 같아오,,ㅎㅎ",22개
19,양갱,9:31 ㅋㅋㅋㅋㅋ가지런한것 파괴본능🤣 쨔미님 넘 귀여우셬ㅋㅋㅋㅋ,33개
20,감귤이지롱,진짜 집놀러가서 사진찍고싶어지는..ㅠㅠㅋㅋㅋ,13개
21,김예경,인형들 너무 귀여운데 밤에보면 좀 많이 무서울꺼같아요ㅋㅋㅋㅋ,29개
