,youtube_id,comment,like_num
0,이나영,아니 미우미우 분명 작아보였늠데 실제로 차는 부분은 왤캐컼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 깜짝놀랐넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 거의 저정도면 10배는 커보이는뎈ㅋㅋㅋㅋㅋㅋ,479개
1,박씨,진짜 계속봐도   씬님이 머리가긴건 적응이안되,486개
2,리아,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ날으는 풍뎅이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ탐나는데요?,328개
3,름푸,우리 언니 고데기 누가 했어 찐 자갈치네 ㅋㅋㅋㅋㅋㅋㅋ,627개
4,HNS,앜ㅋㅋㅋㅋ 미우미우 제품컷은 작아보이는데 착용컷은 손전등만하넼ㅋㅋㅋㅋ 빛반사 오질듯ㅋㅋㅋㅋㅋㅋ,313개
5,뿝빱3,아니 미우미우 귀찌 멀리 잡았을 때는 몰랐는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 크기 무엇이죠?̊̈ㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋ,255개
6,박요염의모이스춰팩,ㅋㅋㅋ 이언니 나랑 똑같구만 목걸이 반지 못하고 귀걸이만 왕창 ㅌㅋㅋㅋㅋㅋ,291개
7,뭉,5:38 미우미우 아담해보였는데 이게뭐얔ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,74개
8,엠제E,루이비똥 귀걸이 진짜 존예...이쁘고 캐쥬얼한듯하면서 고져스하고 유니크한게 다 가졋네 다 가졋어..ㅠㅠ,53개
9,이으,"5:00
아니 왜 샒님이 있는거죠?ㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋ",71개
10,눈누난나,사실 명품 살 돈따위 없지만 언니니까 보는거예요..💛💛,58개
11,coeyunhyi0815,5:44 이부분 귀엽다 ㅋㅋㅋㅋㅋㅋ 햄스터가 화내는거 같기도 하고 되게 놀리고 싶게 생겼어요,46개
12,kimGeneral,언니 솔직히 말해요 머리 안감고 똥틀고 있었죠??ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,41개
13,SoSo,오늘 기분안좋은일ㅇㅣ 있어서 하루종일 웃을일이 없었는데 씬님영상 마지막에 풍뎅이 파워!! 에서 헛웃음이ㅋㅋ 너무 귀여우세요,31개
14,AuraiGuim,15:35 킬링포인트 ㅋㅋㅋㅋㅋㅋㅋ 날개 딸깍딸깍 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,16개
15,조혜수,"12:15 짜랑하거싶어서요
너무 귀엽다",37개
16,모나모나레모,"3:05 넘나 이뻐여......ㅠㅠ
9:05 이것두....ㅠㅠ
15:30 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보이세여/////",29개
17,jennifersung6,헐 언니 이머리 완전 잘어울린다 육성으로 오랜만에 헉해ㅛ다 하악,31개
18,레몽TV,"쇠랑쇠 부딪히는거 공감이요....

진짜 소름 끼쳐서 돌아가셔요 ㄷ ㄷ 
반지는
씬님 정도는 아닌데 

부엌에서 음식할라고 칼 꺼냈는데 
칼끼리 긁히는 소리나서 귀막다가 
발가락이랑 안녕 할뻔 했어요 ㅇㅁㅇ;;;;",4개
19,SteffiePark,씬님은 항상 유쾌해요 다른말보다 유쾌 라는단어가  딱인거같아요 오늘도잘봤어요 🎉,13개
20,coeyunhyi0815,솔직히 썸넬보면 들어올수 밖에 없따... 머리 더 어두워졌네요 더 이뻐요ㅠㅠ 언니는 뭐든 이쁘다니까 ..😫❤,19개
21,이태경,미우미우 귀걸이 그립톡같아옄ㅋㅋㅋㅋㅋㅋㅋ빤짝빤짝하니 이뻐여😍,16개
22,,마쟈여 언니... 내취향과는 별개지만 재밌었어옄ㅋㅋㅋㅋㅋㅋ 풍뎅이기러ㅠㅠㅠㅜ헝헝,3개
23,현아,"금속 알러지가 있어서 14k 금귀걸이도, 은 귀걸이도 못하는 사람은 혼자 웁니다....ㅜ",18개
24,믕이,아닠ㅋㅋ 풍뎅이목걸이 너무 기여워잉ㅠㅠ 처음엔 저 목걸이 누가사나싶었는데 언니 설명듣다보니까 유레카!!!!!! 아닛!!!!저런기능이 너무 귀엽쟈나~~😍😍 언니랑 잘어울려요 수혜언니를 지키는 날으는 풍뎅이💜💜,18개
25,URmyPrincess,걸어다니면서 연주 가능ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ방심하다가 터졌다.....하...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3개
26,뽀짝뾰짝,아 진짜 나는 이언니 패션영상 찍을때 젤조앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 보는내내 웃으면서봤네ㅠㅠㅠㅠㅠ,6개
27,DaPa,아ㅋㅋㅋㅋㅋ풍뎅이 탐나요 진짜ㅏㅋㅋㅋ풍뎅이파워!!,4개
28,kamseung,ㅋㅋㄹㅋㄹㄹㅋㄹㅋ풍뎅이가 날아요날앜ㅋㄹㅋㄹㅋㄹㅋㄹㅋㄹ,8개
29,잔먕,"15:25 아 이 감성뭔지알아요ㅠㅋㅋㅋㅋㄱㅋ
특이한감성가진1인 ♡졸귀탱 목걸이 풍뎅이 날개 폈다 접었다만 계속해도 좋을듯",2개
30,베네딕트자대배치,아니 누가 귀걸이를 귀에 멘다고 하는데욬ㅋㅋㅋㅋㅋ무슨 가방이냐구ㅋㅋㅋㅋ큐ㅜㅜㅜㅜ,3개
31,제시하다Jessiehada,토테미즘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ토템 까지 나왔다,8개
32,andyyvaphil,디올 귀걸이 이뿌당,8개
33,주현선,썸네일 진짜 너무 이뻐영 ㅜㅜㅜㅜㅜㅜ,4개
34,jennifersung6,11:29 헉 하 언니 이 귀걸이 끼고 봄에 노랑 극복 해줘요 진짜 데이지로 장착한 언니 보고싶다 언니는 인간 루이비똥이네 후하후아 🌼😭❤️,8개
35,예지,사랑해수혜언니이이이ㅠㅠㅠ❤️,2개
