,youtube_id,comment,like_num
0,다또아Daddoa,"스아실 겟레디윗미 찍을때 너무 길어서
편집한 내용이 있는디...댓글로 써보겠습니당

그것은 바로 5월에 복귀하고 지금까지 내가 활동을 너무 안했다는걸 8월이 되어서야 깨달았다는것 !

그냥 어느날 pc버전으로 내 동영상 목록들 보는데
업로드 주기가 이게 뭐여..?
이럼서 정신이 들더라구요 ㅋㅋㅋㅋㅋㅋ
2019년 전체 목표, 유튜버로써의 목표가 있는데 
나 지금 뭐하고 있는거지? 싶더라고요.

물론 1년만에 집밖을 나와 못만났던 사람도 만나고
문명의 맛(?)을 다시 맛보고하니..
완전 밖순이로 3개월동안 살았던거죠.
그동안 제가 너무나 행복했으니 큰 후회는 없어요!

하지만 저는 유튜브를 하려고 복귀한 유튜버이고,
복귀하기 전부터 구상했던 컨텐츠도 아직 산더미이기 때문에!!!
내가 잠시 이성이 마비가 되었었구나 하며 정신을 차렸습니다 ㅋㅋㅋㅋㅋ

그래서 건강을 회복한 후부터는 좀 더 촬영과 편집에 집중하는 루틴으로 살고 있어요!
세이브도 있고, 영상 완성할때마다 짜릿하고!!! 

깨달은 순간 (8월) 부터 활동을 열심히 했으면 좋았을텐데
왜 몸이 따라주지 않는걸까 - 하면서
아팠을때 제 자신을 광장히 자책하면서 예민한 상태로 지냈는데요
그래봤자 제 손해더라고요!

어찌되었든 시간은 흐르고, 
제 건강도 회복되었고
저는 또 이렇게 편집해서 영상 잘 들고왔으니! 

이젠 문명의 맛에 취해 마비 된 이성도
제자리로 돌아왔으니 본격 유튜버 모드(?) 로 살아보겠습니다!
응원해주세여,,,ㅎㅎㅎ",158개
1,시아요정,영상은 올리고 싶을때만 올리시는건가요 .. 아님 정해져잇나여 ..? ㅠㅠ 악플이 아니라 잘 모르겠어서요ㅜㅜ,190개
2,maxeucinno,AWWWIE U SO CUTEEEEE ❤,13개
3,민민,"또아언니가 보여줬으면 하는것💜

1 컨셉메이크업
2 화장 asmr
3 뷰티데이 브이로그
4 요즘 내가 먹는음식들
5 하루 생활 루틴 브이로그

언니보고싶은게 너무너무 많아요
자주자주 볼수있게 해줘여💜",57개
4,리짱,눈썹이 조금 아쉬워요옹 온니🥺,19개
5,츄겨밍,당신보고싶었어... 하지만 한두달쉰게 아니니 천천히 무리가지않게 복귀해줘💕,24개
6,민희,존버는 성공한다... 또아 님 사랑해요 ㅠ ㅠ ❤,15개
7,왈왈,언니 제발 영상 많이 올려주세요ㅠㅠㅠ언니꺼 맨날 보고싶어서 예전꺼 다시보는데 언니가 최고에요❤️ 살도 더 빠지시고 더 이뻐지신거같아요 ㅠㅠㅠㅠㅠ,25개
8,WanMaisarah,It been a long timeeee omgg finallyyy! We all miss you🙌😄,6개
9,Harryadore,조명때문에 어두워서 메이크업이 잘 안보여요ㅠㅠ 다음 겟레디위드미는 잘 보이게 보여쥬세요❣️,6개
