닉네임,댓글,좋아요수,날짜
강혜영,"쿠팡 배송 포장이 대부분 일일알바를 고용해서 정말 단시간에 이렇게 하세요!로 교육이 끝나고, 배송 물건을 피킹할때 무겁게 담으면 안된다고 나눠 담으라고해서 저렇게 배송이 올꺼에욥... 아마...?? 개선 될수 있으면 좋겠지만 있을지 알바 갔다왔던 입장으로는 잘 모르게써요...ㅠㅠ 이렇게 보니까 박스 진짜 아깝댜...ㅠㅠ",49개,2020. 4. 11.
김핑꾸,우와.... 유나언니옆에잇는 남친분이 부럽다..,63개,2020. 4. 11.
JenniferY,So nice! Stay safe and healthy you both:):),5개,2020. 4. 11.
이우연,"제가 봤던 그 어느 커플보다도 평생의 동반자같은 따뜻한 느낌ㅇ이에요:) 다들 너무 힘들겠지만,,,좀만 더 버텨내요오💕",29개,2020. 4. 11.
suhyeonjang,"유나언니처럼 나이들어가고싶어요오,,, 그냥 다 머싯쒀 ㅠㅠ",27개,2020. 4. 11.
최은영,선호님이 유나님 토닥토닥해주는 모습이 햇살만큼 따뜻해보이네요:),22개,2020. 4. 11.
박셀린,"2:49~
하나하나 다 디테일하게 대답해주는 선호님 최고..👍🏻
저러면 패션쇼 할 맛 나지💕",27개,2020. 4. 11.
Jluv,서노군 넘 재밋으셔요 두분 같이 재밋게 유쾌하게 사시는거같아서 보기좋아요 ㅎㅎ 로켓프레시 과대포장이네요 ㅠㅠ 근데 저 테잎 칼로잘랏는데 이제 그러지말아야겟군요 ㅠㅠ,19개,2020. 4. 11.
싱정경,"이런 영상감사하네요. 저는 철저하게 사회적거리두기하는 사람인데,  주변엔 술집도 그냥가고, 헬스장도 다니고...하네요. 그걸보고 나만 이렇게 지키나,하며 괜시리 박탈감이들거나 허무해졌는데.. 영상보고 힘생기네요! 감사해요! 같이하고있다!",10개,2020. 4. 11.
강희경,14:42 슬쩍 일어나셔서 따라하시는 선호님 졸귀 ㅎㅎ,17개,2020. 4. 11.
세나,"두분이 잘맞으시니 집에서도 잘 노시고 너무 보기좋고 부러워요
전 아이들 끼니챙기느라 시간다 보낸답니다 
ㅜㅜ
혼자있고싶어라~~~ㅜㅜ",34개,2020. 4. 11.
e차안,저도 요즘 눈 좀 감고 생각을 자주합니다만ㅋㅋㅋㅋㅋㅋㅋㅋㅋ화이팅입니다 알콩달콩 보기 좋아요💕😊,6개,2020. 4. 11.
기겨WEI,0:56ㅋㅋㅋㅋㅋㅋ생각→급졸림 넘 현실적ㅋㅋㅋ,11개,2020. 4. 11.
seonayang,둘이 뒷모습 ㅋㅋㅋㅋㅋㅋ 너무 귀여워 ㅋㅋㅋㅋㅋㅋㅋㅋ,6개,2020. 4. 11.
꿈치,두분다 너무 귀엽게 존버하셔요ㅋㅋ,5개,2020. 4. 11.
이스트웨스트,언니 진짜 너무 좋아욬ㅋㅋㅋ 영상보면서 힐링이 되다니.. 아 물론 언니께서는 좀 답답하셨겠지만🙄... 그래도 덕분에 제 기분 너무너무너무 좋아졌어요ㅋㅋ 언니최고👍,3개,2020. 4. 11.
YelinJeong,인트로 두분 진짜 오래된 부부같아욬ㅋㅋㅋㅋㅋㅋㅋㅋ서노님 목소리 너모 귀여운데용 잠자는거 아니고 생각할시간ㅋㅋㅋㅋㅋ또 아무렇지 않게 너 생각할때 코골더라 하는 유나님ㅋㅋㅋㅋㅋ 헤이구글!,3개,2020. 4. 11.
HouseRabbit,아 두분 너무 긔여우ㅝ욬ㅋㅋㅋㅋ,6개,2020. 4. 11.
bbbrilliantbird,ㅋㅋㅋㅋㅋㅋ 생각할때 꼭 코골더라?? ❤️❤️😊😊❤️,6개,2020. 4. 11.
망구와나,저 운동영상 뭔지 알고싶네여 ㅠㅋㅋㅋㅋ,12개,2020. 4. 11.
냥냥,유나님 집이면 전 방콕할수있어용ㅠㅠ♡,7개,2020. 4. 11.
limxiaotian,"Hi Una, thank you so much for this video. We're all stuck at home and this was so light hearted and entertaining to take our mind off what's going on now. Thank you! <3",7개,2020. 4. 11.
YeonWooJung,"아 ㅋㅋㅋㅋㅋㅋ 오늘 중간중간 빵 터짐 요소가 너무 많네요 ㅋㅋㅋㅋㅋ
2:43 ㅋㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋ",8개,2020. 4. 11.
malory,I want the same relationship so bad 😭 you and your husband are so SO cute !!,7개,2020. 4. 11.
밍밍,오앙!!!! 언니 소소한 일상 보니 공감도 가고 좋아여 ㅎㅎ 두분 햇빛쬐는 거 핵귘ㅋㅋㅋ,5개,2020. 4. 11.
강채린,아 두분 왜 이렇게 귀엽냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠ,0개,2020. 4. 11.
Alyssa보경,언니 패션쇼 너무 잘봤어요ㅠㅠ 옷 정보들좀 올려주시면 안될까용ㅜㅜ,8개,2020. 4. 11.
특별한지혬,서노님 그래도 유연하셔요!!😁😁 두분 진짜 너무 재밋게 사셔어 보기 좋아용 동갑이랑 결혼해도 괜찮을것같다는 생각은 두분 볼때마다 드네요ㅋㅋ😉,7개,2020. 4. 11.
soojeongKimm,ㅋㅋㅋㅋ까마귀에서 뿜었ㅋㅋㅋㅋㅋㅋ,0개,2020. 4. 11.
고예림,생각할때 코곤대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 4. 11.
ClaireHamilton,아 서노님🤣🤣🤣 저희 남편같은 맨트를....ㅋㅋㅋㅋ,0개,2020. 4. 11.
이혁,부러워요 안싸우는거 보니깐  신기해요 ㅎㅎ 선우님도 웃겨요 ㅋㅋㅋ 재미잇네요,3개,2020. 4. 11.
원준률,유나님💕 혹시 마스크로 인한 트러블 관리 영상 부탁드려도 될까요? 마스크 때문에 볼쪽에 두드러기처럼 많이 나서 너무 슬퍼요ㅜㅜ 어떻게 관리 해야 할까요??,1개,2020. 4. 11.
Alyssa보경,샤워가운이랑 루돌프 슬리퍼 정보도 주실 수 있을까요ㅠㅠ 너무 제스타일이에요오🤍🤍,2개,2020. 4. 11.
이슬,2:45 일광욕하시는건가요 ㅋㅋㅋㅋ 너무 커엽ㅋㅋㅋ,0개,2020. 4. 11.
donggana,"난 항상 타이머 하면 구글이 깨울때 이러는데 
“씨끄러워!!!”  🤣 그리고 잠 🤣",7개,2020. 4. 11.
judyjeon,너무귀여운 커플이에요ㅠㅠ 완전 워너비 ㅠㅠ❤,0개,2020. 4. 11.
에이라코,영상보니 계속 웃게 되네요ㅋㅋㅋ 두분 귀여우세요.. 그리고 마지막에 서노님.... 운동 ㅋㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 4. 11.
연탄재,"선호오빠 풍선인형 같아도 넘나 멋지세요~
흥부자!!",4개,2020. 4. 11.
손지애,와웅 집이 아늑하니 좋네유~~😍,2개,2020. 4. 11.
쿄쿄쿄쿄,서노님 첨에 쓰신 안대 어디거에여?ㅠㅠ,0개,2020. 4. 11.
HyunjooNemeth,너무나 재밌어요 ㅋㅋㅋ 특별하지 않은 일상영상도 재미나요!!!,2개,2020. 4. 11.
mjp,"생각할때  코곤다..    ㅋㅋㅋㅋㅋㅋ   신기하죠잉..    아니  우리남편도 그렇거든요. 
재밌어요~  두분!!",0개,2020. 4. 11.
hazel,케미터지는 이런영상 너무 보기좋아용~~ 💓💓,0개,2020. 4. 11.
UmmeSalma,Can you please recommend the best sunscreen for this summer...please recommend that product which is available in online shopping apps..,2개,2020. 4. 11.
OnemoretimeLee,4:43이 자켓 어디껀가용?,2개,2020. 4. 11.
PeaceFidele,Thanks for the good content! Stay safe Una Couple ♡,1개,2020. 4. 11.
Phoebe,참 연인이 좋아요. 이렇게 힘든시기에 곁에서 함께 버틸수있고.. 두분 너무 보기좋네용~^^,1개,2020. 4. 11.
reinaj,유나님 메컵 영상 왜 많이 없어졌죠? 유나님 메이크업 영상 좋아하는데~ 좋아하는 영상들이 사라져서 아쉬워요 ㅜ,0개,2020. 4. 11.
조은영,파란색 트렌치 자켓 ?! 어디껀가요 ㅎㅎㅎ 언니 스타일 너무 멋져요🤩,0개,2020. 4. 11.
YelinJeong,힘든 시기지만 두분 소소한 일상 공유받을 수 있어서 힐링이에요(´▽`ʃƪ)♡ 서노님 너모 귀여우신거 왜 이제야 보여주시는거져?!ㅎㅎㅎ,0개,2020. 4. 11.
joonyj,유나님 나이트케어 루틴 너무 좋아서 돌려봤는데 ㅎㅎ 이런 브이로그도 좋아요,0개,2020. 4. 11.
작영이,"두분 너무 잘 어울리세요ㅎㅎ
남편분은 너무 귀여우세요ㅎㅎㅎ",1개,2020. 4. 11.
위트니,두 분 너무 재미있어요ㅋㅋㅋ👍👍,0개,2020. 4. 11.
AfterMoon숩,너무 포근한 영상이에요 저도 같이 누워서 보고잇어요 :) ❤️,0개,2020. 4. 11.
조조수연,극장세팅 개부럽 ㅋㅋㅋ,0개,2020. 4. 11.
sheenrose,It was so wonderful just to see your everyday activities and your partner is funny!!!!! More videos like this please😁😁😁😁😁😁😁,11개,2020. 4. 11.
쬬코송이,쿠팡 공감해요 ㅠㅠ 저희 신혼부부는 매일새벽 이해가 안되는 포장방법으로 ㅠㅠ 재활용품만 쌓이네요 ㅠㅠ 아까워요 뭔가 ㅠㅠ,0개,2020. 4. 11.
녤요,종이인형 ㅋㅋㅋㅋ,0개,2020. 4. 11.
김용구,유나님도 주말잘보내세요,2개,2020. 4. 11.
채희진,"저도 커피 넘 좋아하능데~
커피머신은  어떤제품 일까요~?",0개,2020. 4. 11.
불빛등대,"옷걸이가 좋으셔서 다 잘 어울리네요 
머리 올리신게 참 예쁘세요
요새  저도 집 정리 하느라 바쁘네요
Cast away 저도 재미있게 봤는데..
피자 맛있어 보이는데요
두분 귀여우세요
잘 보고 가요🌸",0개,2020. 4. 11.
HyerimJang,운동 영상 너무 재밌어요 영상 이름 알려주시면 안될까요 ?,0개,2020. 4. 11.
eusam,두분 다 재밌게 사는거 같아 보기 너무 좋아요 ☺️☺️,3개,2020. 4. 11.
ChAnne,오렌지 자켓 넘 예뻐요~ 혹시 어디제품인가요 ? 이런거 첨 물어볼정도로 맘에 드네요.,0개,2020. 4. 11.
치즈떠뽀끼,뭔가 연인인걸 떠나서 소꿉친구같은 느낌이들어서 너무 보기 좋다ㅎㅎ,0개,2020. 4. 11.
BBeumASMR쁨,휴ㅠ ㅠㅠ 같이 힘내서 이겨보아요😍,2개,2020. 4. 11.
블리,"분위기가 너무 예뻐서 기분좋아졌어요
 잠이 잘오는 나른한 영상??... 히히 행복해보여서 좋으네용",0개,2020. 4. 11.
최자연,유동부 치아바타 빵이 무설탕 무우유 무버터 무달걀 무방부제더라구요 배달되니까 한번 드셔보세요~,0개,2020. 4. 11.
Bedashree,"You both make such a lovely couple. Una, your videos cheer me up in these times.",0개,2020. 4. 11.
AnnaBui,You guys make me wanna get married so bad!! 😍😭,0개,2020. 4. 11.
JaymieKim,유나님😍 서재에 아이맥이랑 두신 스탠드? 조명? 혹시 어디껀가요??? 너무 이뻐요 ~,0개,2020. 4. 11.
NaNa,ㅎㅎㅎㅎㅎㅎ췍오,0개,2020. 4. 11.
마키아또,영상이참예뿌네요~유나님이 추천해주셨던 오일도 쓰고있답니다ㅎㅎ저두 커피를 좋아해서 그러는데~커피우유거품기는 어디껀지 알려주실수있을까요?^^,1개,2020. 4. 11.
EUNN,두 분 너무 보기좋아요 건강유의하세요 ❣,2개,2020. 4. 11.
정서현,의자 넘 궁금해요 ㅎㅎ 영화보실때,0개,2020. 4. 11.
stst,수면안대 제품 궁금합니다!,0개,2020. 4. 11.
리무,쿠팡이 저렇게 온게 아마도 보내는데가 각각 달라서 그럴거예요 쿠팡 시스템이 주문자 이름으로 분류가 되는게 아니라 재고가 어디에 있느냐에 따라 달라지는 걸로 알고있어요~,0개,2020. 4. 11.
황수진,라떼 먹을때 우유 거품낸 거 정보 알 수 있을까요  ｡•́︿•̀｡???,0개,2020. 4. 11.
김지우,영화보실때 사용한 의자정보 궁금해요 ❤😊,0개,2020. 4. 11.
SimonaNikolova,Hello Una. I absolutely adore your videos!!!!!!❤❤,1개,2020. 4. 11.
JinahKang,언니~~우유데우는거 뭐예요? 전 집에서 라테 만들때 냄비에하는데 언니보니 신문물같아서 탐나요~~~^^* 정보부탁드례요.,0개,2020. 4. 11.
MinjungKim,유나님 너무 재미있어보여요..근데 왜전 남친이랑 주말에 집에서 같이보내니 힘들까요..취향이 달라서 그런가..ㅠ ㅠ,0개,2020. 4. 11.
로즈데벙,이런 일상영상 너무좋아요 자연스러운일상♡,0개,2020. 4. 11.
도블리쿡DovelyCook,로켓프레시 심하네.....,0개,2020. 4. 11.
힛유투브는즐거움,밑에집 피해될까봐 집에서 뛰지를못하..,0개,2020. 4. 11.
비단잉어의유영,사무실 의자 제품 너무 궁금해요! 정보 좀 알려주세요~,0개,2020. 4. 11.
보라머리AnnE,언니 베이지 트렌치코트는 어디꺼에요?넘예쁨🌸,0개,2020. 4. 11.
ManitaPurty,Cute and funny couple. I love to watch further videos of two together.😘😘,0개,2020. 4. 11.
