닉네임,댓글,좋아요수,날짜
동동현,"소프형 형30만대부터 보고있어 옛날처럼 자취방에서 오호홍!! 하면서 강아지랑 한잔먹어줘 
지금도좋은데 형에 매력은 그 옆집아져씨같은 그런 친숙함이야",28개,2020. 5. 20.
애비진수,새로운 영상 방식이네요!! 자막이 없어서 영상미 보기가 너무 좋습니다 ㅎㅎ 그리고 읽을 글씨가 없어서 오히려 소프님 나레이션에 더 집중이 되네요,27개,2020. 5. 20.
비밀의집,"스프님본게 2014년부터 대학교 2학년때부터 봤는데 벌써 몇년이 지났는지.
그때는 아프리카방송을 편집해서 올렸는데 지금은 유튜브로 완전히 왔는데 유튜브영상은 솔직히 아프리카느낌이 많이 들었는데 오늘 영상은 요즘 유튜브느낌인 영상미가 중심이라 다른사람 같아요.
어떤 소프님이건 좋았고 새로운 시도를 하는 소프님도 좋고 언제나 즐겨보는 요리유튜버입니다.
두서가 길었네요 언제나 응원한다고 말하고 싶었습니다",65개,2020. 5. 20.
봉쥬르키티,영상도 너무 이쁘지만 소프님 손이 너무 아름답네예 손 모델같아요,18개,2020. 5. 20.
제니,"자막이 없어도 ,, 효과음이 없어도 영상미 하나로 다 커버해주네요~ 특히 호박으로 꽃게 때렸을때 다 손질되는 장면이랑 살아있는 꽃게 인서트가 인상적이었어요!",48개,2020. 5. 20.
OhTAKU,역시 형은 갑각류야 ㅋㅋㅋㅋㅋ,14개,2020. 5. 20.
가나슈초콜릿,1:56 뭐야 형 잡내 잡느라 꽃게탕에 소주 넣는줄 알았는데 형이 마시네.........,16개,2020. 5. 20.
eunhwapark,"소프님, 영상 퀄리티가 더더 좋아지고 발전하고 있어서 너무 좋아요^^ 그런데 약간(?) kbs 한국인의 밥상(??)같아요;;; 그냥 개인적인 생각이에요^^ 영상 잘 봤어요.",5개,2020. 5. 20.
김데이지,꽃게 다듬는 과정이 없어서 아쉽네요...,5개,2020. 5. 20.
KEVINSONGORIGINAL,"15년도부터 쭉봐왔는데 그때는 훈남이였던 소프형이 이제는 아제가 됀거같아 슬프지만 다시금 요리유튜버 먹방유튜버 1타로 올라가길 기대할게여
항상응원합니다 소프형",4개,2020. 5. 20.
angielee,"새로운 방식 도전하는 소프님 응원합니다👏👏
하고싶은 거 맘껏 펼치셨으면 하고 팬 입장에서 언제나 응원합니다!
(조심스럽게 말씀드리자면 발음만 좀더 신경쓰시면 더 좋을 것 같아요! 
후반 갈수록 안정적으로 바뀌셔서 듣기 좋았습니다 ㅎㅎ)",5개,2020. 5. 20.
