닉네임,댓글,좋아요수,날짜
YoungeunJeon,"드디어 지난번 레전드 유산소 이후 빡센 운동 하나 더 나왔군요!!!!
기다렸습니다...
이것도 마스터 하고 쉬워지는 날이오길..!!!!
지방 탈탈 털게요!!!",19개,2020. 4. 9.
이예진,언니 최고! 땀 엄청나요.유산소 동작 플랭크 같이 하니 완전 효율적.이영상 운동 최고에요.힘들어도 하고 나니깐 뿌듯해요. 오늘부터 계속 할께요.시간도 적당하고 하고나니 땀이 대박 이운동 너무 좋아요^^언니 하체스트레칭 영상 6개월째 하고 있어요.언니 사랑하고 고마워요^^~😘😍진짜 언니랑 같이 운동하는 기분 들어서 넘넘 좋아요^^,14개,2020. 4. 9.
내가뉴구SEXY한줴릐,오늘부터 진짜 한다...안하면 나는 진짜 개다...,226개,2020. 4. 9.
츄츄당군,13분 짜리라서 4세트 해서 한시간 채워야지 했는데..... 4세트는 무슨 1세트도 겨우 따라 함^^ 나 자신에 대한 과대평가 오졌다,36개,2020. 4. 9.
구름을,선생님 저는 다음주부터 할게요,191개,2020. 4. 9.
EunhyeKim,앗 진짴ㅋㅋㅋ 런지자세 후덜거려서 힘든데 강백호 허벅지 탐나셨단 말 넘 웃겨서 잘 버텼어욬ㅋㅋㅋㅋㅋ,16개,2020. 4. 9.
이화영,선생님 유산소랑 기본 플랭크 같이 하는 홈트 영상 많이 만들어 주세요 효과 진짜 좋고 플랭크랑 같이 하니까 운동하는 느낌이 들어서 좋아요 타바타 운동 느낌 들어요:),7개,2020. 4. 9.
MSong,1분이 이렇게나 길었구나....코어힘이 약한지 허리가 아파요,16개,2020. 4. 9.
코코코,플랭크하다 마지막에 보너스라고 하실때 깊은 빡침이 ㅋㅋㅋㅋ,56개,2020. 4. 9.
박영은,우와🤣 13분은 금방 지나가지만 1초가 안지나가요ㅜㅋ 이번주는 이거+팔뚝살+하체스트레칭 루틴으로 7일 채워볼께요!!,6개,2020. 4. 9.
진달래꽃,"언늬 .. 요즘 운동안한지 꽤되어서는 ...〰️〰️ 
생리전증후군으로 힘들어서 구냥 쉬고있는데 생리끝나면 꼭 하러옵니다....사랑해여 ㅠㅠㅠ 언니 이제 숫자도 정확하게 하시려고....자막에숫자까지...참...멋지신분...사랑해요...1초도안버리는...지독하고 마약같은분",62개,2020. 4. 9.
,이 언니는 ㄹ ㅇ 잔근육이..ㄷㄷㄷ 멋져,63개,2020. 4. 9.
냥냥냥후뚜뚜빠뚜뚜뿌루룽,"난 이언니가 좋다가도 밉고 밉다가도 좋아...
나 이상해",22개,2020. 4. 9.
Jinny,"와,,, 진짜 안 지루하고 정말 좋았어요,,,❤️ (머리에서 눈물이 주르륵;;;;)",7개,2020. 4. 9.
ShinJulia,"생생한 밝은 에너지, 힘을 불어 넣어주셔서~~ 성취도와 만족감이 너무 좋아요~~

감사합니다😍😍😍😍😍😍😍",2개,2020. 4. 9.
스태미나,이거 매일 하면 ㅠㅠ 정말 삼키로 빠지나욤...ㅋㅋㅋ코로나때메 살쪘어요 ㅠㅠ,23개,2020. 4. 9.
박소현,"쌤...이 운동 하시면서 어떻게 설명도 같이 하실 수 있는거예요?...ㅠㅠ존경합니다ㅠㅜㅠ
방에선 혼자지만 마치 옆에 쌤이랑 같이 운동하는 거 같은 느낌이네용!",18개,2020. 4. 9.
소정,쌤~~스트레칭이 메인이긴 하지만 근력도 잊지 않고 챙겨주셔서 정말 정말 감사합니다 저는 발레리나 무용수같은 근육을 가지고 싶었는데 늘려주면서 근육을 쓰는 동작을 가르쳐주셔서 길게 뻗은 근육이 생기는 것 같아요!!  감사해요~~~,30개,2020. 4. 9.
ssoY,오 저장!!!! 운동폴더에 쌓여가는게 운동 영상인데 왜 지방도 같이 쌓이는거지...,5개,2020. 4. 9.
진진진,이거 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ 최고에요 ㅋㅋㅋ 땀쫙나고 개운해요ㅜㅜ 그리고 런지자극 미쳤어요ㅋㅋㅋㅋㅋㅋㅋ 무릎을 둘째발가락 방향으로 하는 거 였군요 ㅠㅜ  하나쌤 설명자세하게 해주시는 거 진짜 좋아요♡  근육호흡자세 계속 알려주셔서 고마워요🖒,2개,2020. 4. 9.
Lunadiel,플랭크 1분 철썩같이 믿었는데... 진짜 철썩같이 믿었는데...어떻게 마지막에 20초를  하실 수가 있나요 ㅠㅠㅠ 그래도 하고 나니까 몸이 너무 시원하고 가벼워요!!! :))))),20개,2020. 4. 9.
차르르,공부하느라 시간없다구 운동못하고 있었는데 시간부담없고  운동된다니 오늘부터 바로 동참입니다! 저녁에 꼭하려고 미리 남기는 댓글과 좋아요,2개,2020. 4. 9.
2020,팔뚝살빼기 편집본에 이어서 힘들지만  헉헉대면서 해냈습니다!!! 다른분들도 화이팅 하세요👍🏻👍🏻👍🏻,2개,2020. 4. 9.
성시언,헉 체지방 태우기!!! 오늘부터 시작합니다 좋은 영상 감사해요ㅎㅎㅎ!!!,4개,2020. 4. 9.
체리,10:38  최강하나쌤도 부러워하는 강백호 그는 대체....,5개,2020. 4. 9.
유미,"꼭 하러갈게용 방금까지 폭식하다왔는데 제격이래서 하러갑니당,,ㅠㅠㅠ",2개,2020. 4. 9.
youjoypark,정말 확 당기는 제목이에요. 이렇게만 된다면야...열 일을 제치고 도저언~~~!,2개,2020. 4. 9.
조민주,플랭크할때 두번째 이후부터 계속 10초 더 하실때마다 언니를 미친듯이 외치며 눈물로 버티고있어요ㅜㅜ엉엉 제몸은 왜 이리 무겁고 힘드나요,1개,2020. 4. 9.
dalzzingdal,[4.10] 평소에 플랭크만 하다가 이렇게 유산소가 접목되어 하니 너무 좋네요! 정말 지방타는 느낌!!! 말씀대로 스트레칭으로 마무리하겠습니다. 늘 감사해요^^,1개,2020. 4. 9.
Jihyesim,"선생님 진짜 체력 짱이십니다
어찌 토크와 함께 운동을👏🏼👏🏼
런지에서 몇 번이나 주저 앉고 부들거렸는데... ㅎㅎ
열심히 해볼게요!!! 
하나샘 최고♥︎💃",16개,2020. 4. 9.
지은,저는 한달에 3kg빼는것도 힘드네용ㅋㅋㅋ,5개,2020. 4. 9.
귤나나,하나선생님.. 저 생리 끝나면 무조건 하려고 영상 쭉 봤습니다... 이정도면 매일 할수있을거같아요!!!! 사랑합니다... 선생님... ❤️,1개,2020. 4. 9.
신아영,3월 한달간 초급자스트레칭하고 생리통이 완화됐어요!!!!4월달도 믿고 따라갈껍니다!!!! 선생님 감사합니다💜💜,2개,2020. 4. 9.
한예슬,선생님...십분 했는데 땀이 줄줄나요.....선생님 짱.....! 칩거생활하면서 선생님덕에 건강해지는 것 같아용♥️👍👍👍👍👍,2개,2020. 4. 9.
김하나,두 아들이요...? 어쩜 변함없으신거에요???? 열심히 따라합니다..,2개,2020. 4. 9.
최다혜,선생님 친절한 숫자까지ㅜㅜ 저 오늘 이거 할게요~~!!,4개,2020. 4. 9.
배영숙,7일 도전합니다! 항상 좋은 영상 감사합니다!,2개,2020. 4. 9.
은디,복부힘이 부족해서 플랭크만 나오면 괴롭네요 ㅠㅠㅠㅠ,2개,2020. 4. 9.
