,youtube_id,comment,like_num
0,ShieunPark,"가격정보 남기고 갑니다!! 
1:02
샤넬 CHANEL
뼁소 아이섀도우 블렌딩 브러시
Les Pinceaux Eyeshadow Blending Brush
₩61,000

2:17
메이크업포에버 MAKE UP FOR EVER
144번 프리시젼 하이라이터 브러시
No.144 Precision Highlighter Brush
$37(₩45,000~₩51,000)

+ 추가 추천 3:20
메이크업포에버 MAKE UP FOR EVER
142번 플랫 하이라이터 브러시
No.142 Flat Highlighter Brush
$37 (₩51,000 얘는 사이트에 원으로도 기재됨)

3:57
메이크업포에버 MAKE UP FOR EVER
204번 듀얼 립톡 브러쉬
No.204 Double-ended Shader & Smudger Brush 
$25 (₩30,000~₩34,000)

4:51
정샘물 JUNGSAEMMOOL
아티스트 브러쉬 아이섀도우 포인트
Artist Brush Eye Shadow Point
₩14,000

6:06
화홍M Hwahong M
255번 아이라이너 브러시
No.255 Eyeliner Brush
₩8,000

6:14 
화홍 No. 258
₩9,000

+$로 가격 표시한 제품들은 온라인으로 검색해 봤을 때 세포라에서 판매하지 않는 제품이라 (제 추측상) 해외직구사이트 같은 곳에서만 구매하실 수 있는 것 같아서 미국 메이크업 포에버 사이트 기준으로 기재했습니다. 원으로도 표시했으니 화내지 마세용..😭",674개
1,내사전에탈덕은없다,"0:27 오해의 소지가 있는 단어는 바꿔서 자막다시는 갓편집자님

물론 우리 사배님이 최고지만 ㅠㅠ 갓사배 연기도 잘한다구요",302개
2,BeautyOneTV,어떻게 브러시 설명을 이렇게까지 잘하실 수 있죠? 사배님은 정말 메이크업계의 설민석.. 아니 설민석이 교육계의 이사배인건가?! 오늘도 좋은 정보 감사합니당!,324개
3,배단비,언니 이번에 사랑의불시착 '서단'님 화장법 영상올려주세요ㅠㅠㅠㅠ 따라하고싶은데 영상같은게 없네요ㅠㅠㅠㅠㅠ 부탁드려오오,72개
4,정서현,역시 뷰티계의 EBS인 ESB~~~,80개
5,빠다코코넛,3:59 사진 잘못 들어간거 같애욤 ㅠㅠ 브러쉬 추천 감사합니다 ❤️,52개
6,hI,"언니.. 꾸셀브러쉬 샀는데 꾸셀은 떠나간건가욤,,😢",92개
7,팥호박,"가격도 같이 올려주시면 좋을거같아요 
영상항상 너무 잘 보고 있숩니당🥰😍",42개
8,유영주,언니 이번메이크업 넘 이뻐요~ 가능하면 튜토리얼로 보고싶어요~,49개
9,여자오,언니 오늘 화장 박제다,21개
10,satur,오늘 메이크업 왜 이렇게 예뻐요ㅠㅠ💕,9개
11,유애,"아 웃을 때 세상 호탕ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그럼 전 브러쉬 사러 ,,,,",7개
12,bori,"눈두덩이에 바르신 글리터 뭘까요,,?!
오늘 메이크업 너무 이뻐욧🌷",23개
13,zb,메이크업 너무 예뻐용 ㅠㅠㅠ 튜토리얼 플릐즈으으으,16개
