,youtube_id,comment,like_num
0,힙으뜸,"영상 속 제 복근 보고 저듀 놀랬...😯 ㅋㅋㅋ ㅋㅋ ㅋㅋ ㅋㅋㅋㅋ ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ 이번 영상은 근력운동, 자세교정, 스트레칭 다 충족시켜줄 영상이니까 천천히 제 큐잉 따라와쥬세요옹!!!! 후기도 마니마니 기다릴고예여😊 버금이들 라뷰🧡",68개
1,lovelynabee,최근에 프로필 사진 찍으셔서 그런지 복근이 더욱 성이 나 있네요ㄷㄷㄷ 멋지세요!!,70개
2,groot,누나 왜 배가 화나 있어여 제 배는 삐져서 부풀어 있는데,18개
3,김민주,언니 복근봐....!!,20개
4,RicardoSegura,"Goodmorning, those exercises you make it easier and simple with good explanations, thank you keep going.",2개
5,신현수,헐... 복근이.... 진짜 대단하십니다...,4개
6,잔월,"헉 뒷구리운동 찾고 있었는데 어떻게 또 이렇게 딱 맞춰서 올라왔을까용 🥺
으뜸 언니 체고 ♡",15개
7,고고,우와~ 기존 옆구리 운동 따라하면서 뭔가 아쉬웠는데 스트레칭이 들어가니까 몸이 너무 개운하고 시원해요! 꼭 필요한 영상 감사합니다♡,7개
8,엘라이프Ella,"8월에 인생 첫 바디프로필 찍는데 아직 상체비만,,,특히 옆구리살 부자 ㅠㅠ이 운동은 꾸준히 해볼게요!!! 06/04 목요일 (O)",1개
9,졔린이,복근 루틴에 추가하겠습니당 으뜸쌤❣,2개
10,신깡다그,완죤 시원해용~~~쌤 영상 타파타 진행하고 요거하니 완죤 좋은데요~~쵝오입니당~~~항상 감사합니당~~^^♡,2개
11,니나노,와 스트레칭이 이렇게 시원할 일인가요♡ 좋은 영상 넘 감사해용🥰,2개
12,MeganPark,복근 보러 다시 옴 (운동은... 밤에 .... ㅋㅋㅋ),2개
13,권보니BonnieK,스트레칭 진짜 시원해요🥰 감사합니다💃,3개
14,삐요,"한 번 해보겠습니당
2020.05.29 🧡 --짱 시원해요ㅠㅜㅜ",1개
15,jenniek,12:22 스트레칭 동작 정말 시원해요😢😢  으뜸님 최고최고,1개
16,natui여름아이,온니... 복근진짜 너무 멋져요...😍,11개
17,YongsoonLee,엊그제 스퀏트 타바타 따라하고 이틀째 운동 쉬고있어요. 점핑스쿼트 힘드롸요..,2개
18,wj,"동덕여자 대학교 심으뜸 선수!!





앞머리 귀엽습니다",13개
19,유무,4년전 심으뜸 영상 좋아요 눌렀습니닼ㅋㅋㅋㅋㅋ,3개
20,YogaSongHayeon,짜릿하고 시원한 옆구리 운동 감사합니다!,1개
21,MeganPark,와. 퇴근하고 소파에 널부러진 순간! 으뜸님이 똭! ㅎㅎㅎ 왜케 멋진지 😍😍 내 사랑 (운동 면에서 ㅎㅎㅎ),1개
22,moon모닝조이,복근 멋짐 폭발!,2개
23,chacha,"튜브살 제거 따라하기 하다가 옮겼습니당
05/28 목 ⭕
05/29 금 ⭕
05/30 토 ⭕
06/01 월 ⭕
06/02 화 ⭕
06/03 수 ⭕
06/04 목 ⭕",8개
24,진아톰,와 복근 진짜 멋있네요! 세탁기 필요없겠다 와,1개
25,정은,"진짜 볼때마다 너무 멋지신거같아요🙋🏻‍♀️ 
오늘도 공복에 따라하며 하루를 시작했어요
감사합니다!",1개
26,문지혜,"오늘도 미모가 열일중인 으뜸 !👍👍쓰앵님~😍😍
저는 누우면 호흡이 불균형 해서 배가 나오므로 이걸 열심히 해야 겠어요!!!!!
오늘도 감사해용!!🙏🙏🙏🙏",1개
27,이문덕,복근이 진짜 ㄷㄷ 힙으뜸뿐만아니라 복으뜸까정 정말 몸매가 너무 이쁘신데 운동 열심히 하시나봐요,1개
28,jk,드디어 기다리던 실전편이네요!! 피드백 반영해주셔서 고마오요♡ 근력운동 후 15분 유산소운동 할때 옆구리실전편으로 동작해도될까요?,2개
29,sunlight,으뜸언니 짱짱!! 혹시 옆구리 뒷구리도 10분 운동 루틴 만들어 주실 수 있을까용?,1개
30,냄비넘치다,으뜸 복근 부럽습니다,2개
31,김윤하,"엇! 저 중둔근 영상 진행하려다가 새로운 영상올라와서
 지금 하러갑니다!!!",1개
32,김미미,"오늘도 운동할때  스쿼트300개 마치구 이 영상보며 옆.뒷구리운동
따라해야겠어요^^❤",1개
33,이름없음,으뜸님! 기다렸어요♥️ 오늘은 이 영상으로 복근운동 보충해야겠어요🤩,1개
34,,복근 개죠아❤❤,2개
