,youtube_id,comment,like_num
0,Only빈,"오늘 뭔가ㅠ필터 때문에, 너무 투명한 나머지..본색이 무슨색인지 가늠이 안되용ㅠㅠㅠㅠ화질도 조금 선명하지 않고ㅠㅜㅜ....소개팅 나가고은 싶은데 나가지도 못하고ㅎ..",134개
1,momomi,썸네일 배경 색 별론거같아요ㅜㅜ 화장이 다 묻혀서 입술 안바르신 줄 알았어여ㅜㅜ,130개
2,쿠쿠우,"너무 예쁜데
화면이 뽀예서(?) 정확한 발색과 피부표현을 모르겠어요 ㅠㅠㅠ왜 그럴까요??화질도 제일 좋은 걸로 하고 밝기도 올렸는데 선명하지 않은 느낌이예요",505개
3,AAZZANG아짱,"봄을 의인화하면 라뮤끄라면서요?
코로나때문에 봄 온지 몰랐는데 뮤끄언니 덕분에 알아버렸따",148개
4,키엘코리아,"‼️더보기 확인‼️
키엘이가 준비해보았어요🎁
특별 할인 비밀 링크니까 소문 내시면…….감사합니다ㅋㅋㅋㅋㅋㅋㅋㅋ
 
기미, 잡티 고민러들!
3월에만 하는 행사니까 15% 특별 할인에 푸짐한 기프트까지 이번에 꼭 받아가세요~",223개
5,주접킹,왜 이렇게 흐릿해보이죵 ㅠㅠㅠㅠㅠㅠㅠ 화질제일 좋은걸루 했는데 ㅠㅠㅠㅠ,112개
6,보라해,"준비물 : 깨끗한 피부, 뚜렷한 이목구비, 예쁜 얼굴형과 크기....을 준비못한 저는 웁니다,,,,,,ㅠㅠㅠ아 서글프냐 왜일케",116개
7,라미,디올 블려서 똑같은거 있는데 절대 저색 아니에요... 훨씬 쨍하고 그냥 색감 자체가 달라보이는데 필터 너무 심하게 씌운듯ㅜㅜㅜ 영상이 뭔가 옛날 유튭st 라서 아쉬워요,17개
8,ssus,오늘 역시 화면이 너무 뿌얘서 암것두 안보여요.....보고있으면 눈이 아파서 포기 ㅠㅠㅠㅠㅠㅠ,25개
9,KyurimKim,코로나 메이크업없나요 😂😂 눈만 화장해주는..,54개
10,jmsubean,오늘 진짜 완벽하고 예쁘고 봄이 오긴 왔구나를 느낄 수 있는 메이크업이었어요! 사랑스러운 분위기 쵝오!,35개
11,HennaKim,너무 조명이 쎄서 색조가 잘안보여요ㅠ블러셔 발색 궁금한데ㅠㅠ,8개
12,박하은,와... 언니... 미모 ㅇ미쳐써...막 청순예쁨큐티 엉니가 다한다 ㅠㅠㅠㅠㅠ,44개
13,WonBumJeong,다시만나요!!!!! 다시 만나자고!!!!!,35개
14,heayoungjeon,더워보이는데..필터땜에 그런가 ㅠㅠ 뭔가 답답해보여요,5개
15,,렌즈 정보 알 수있을까요ㅠㅠ 이번 메이크업 진짜 고급지고 예쁜 것같애요...,8개
16,하은,렌즈 정보 좀 주세용 ❤️,26개
17,후유,언니 제발 렌즈ㅜㅜㅜ뭐예요ㅜㅜㅜ,6개
18,공한빈,저렇게 예쁘게 화장하고 나가고 싶다ㅠㅠ,8개
19,서영,와 눈화장 진짜 예뻐여,9개
20,chykim,뭐야 언니 이런 메이크업 저런 메이크업 다 잘 어울려ㅠㅠ 이렇게 예뿌면 어떡해요 대학은 내가 가는데 언니가 새내기 같잖아요....,15개
21,JiyeonLee,"오 올린지 5분 이내에 보다니!!! 너무 이뻐요 
소개팅은 이제 할 일이 없지만...그래도 보고갑니다 ㅎㅎㅎㅎ",10개
22,SeoyeonKim,나무꾼언니 예쀼다....보고 있는데 동생이 어차피 저렇게 화장 모다면서 외 보냐고 잠이나 자래요 힝,12개
23,이종혁,라뮤끄님한테 이메이크업 받고싶어요 ㅠㅠㅠㅠ 너무나도 금손,3개
24,캐럿럿,그 소개팅 어디로 가면되나요..언니 넘 사랑스러운것,5개
