,youtube_id,comment,like_num
0,wonbinKim,스마트폰계의 황소개구리...,67개
1,ChrisChoi,안경쓰고 안약 넣는 당신은 도덕책,35개
2,손대문,"이 형 간만에 봤는데 왜 이리 늙었어...
아 반갑습니다 여러분 형은 그대로인데...
둘이 동갑이잖어....",30개
3,DANNYKAY,중고 시장 벌써 부터 술렁이고 있어요. 큰 이슈만 없다면 흥할듯~,38개
4,흐음,로그님 영상 되게 오랜만에 보는데.. 왤케 늙어지셨어요 ㅜㅜㅜㅜㅜㅜㅜㅜ,14개
5,박종훈,"형 10만에서 정체기라 힘들어??
왜케 늙었어..힘내..",11개
6,김민수,"아, 술취해서 썸네일 보고....영ㅌ...형인줄...ㅈㅅ...ㅋㅋㅋㅋ",0개
7,초코하임,이번에 폰가격  좀 떨어졌으면 좋겠다 요즘 폰가격 너무 비싸,2개
8,Ikk1234,생태계 교란폰 등장  ㅋ ㅋ,2개
9,HellYeah,스타일이 완전 바뀌셨네여 ㅎㅋㅎㅋ,11개
10,쿠쿠,엘지 ㅋㅋ 또망하겠네 ....,6개
11,조현철,으흥흥흥흥~~,1개
12,파이,"그러게요.
왜 이리 늙어 보이시지..
옷차림이.. 90년대 아버지 처럼입으셨..ㅠㅠ",2개
13,전자레인지에튀겨버린음악,"그럼 3세대는 아이폰 10 노치처럼 나올까요?
영상 공유해주셔서 감사합니다:)",1개
14,jeici,"안경 잘어울려요!
이번 아이퐁SE 아주 잘 팔릴것 같습니다! 저도 세컨폰을 쓰게 된다면 구입하고 싶을 정도에요!",0개
15,프로키온,검빨 진리!,2개
16,워냐Wonnya,아 12 나오기 전에 한번 발 담그고 가야겠어요 ㅎㅎㅎㅎ 저의 첫 아이폰인 se였으니 기념으로 ㅎㅎㅎ겸사겸사 홈버튼도 있고 ㅎㅎㅎ,0개
17,앨리스,실물 궁금합니다 ㅎㅎ 홈버튼 돌아오니 좋네용,0개
18,모하냐구,배터리 어떨지 궁금하네요 ㄹㅇㄹㅇ,0개
19,짜이찬찬,4인치는 너무 작아요 ㅠㅠ 4.7이 딱 적당한듯 더 작으면 치기가힘들어욬ㅋㅋ,2개
20,깝죽이,형 왜이렇게 늙어보여 ㅠ,3개
21,스구,안경...?,1개
22,문종훈,저 처음 댓글다는데요.... 형.....뽀로로 같아요,2개
23,닭껍질구이,저도 이번엔 레드로 가볼까 합니다,1개
24,귤님,형 배터리 테스트 부탁해요,0개
25,bellkim,형 오랜만에 봤는데 머리가 귀여워졌어. ㅎ,0개
26,Ryanseo,지금도 아8 쓰고있는데요. 아무 불편없이 게임. 영상 잘 쓰고 있는데 se출시 엄청기대됩니다. 나오면 화이트 고고고고고~~~영상 잘봤습니다,5개
27,건빵,하루에 영상 2개 올리기,1개
28,악갸,"배터리가 좀만 더 용량이 컸으면 좋았을텐데,,. ㅠㅠㅠ 이게 너무 아쉽다 ㅠㅠ",2개
29,김현성,카메라 Xr 꺼 썻다는 얘기 있는데 진짜에요?,2개
30,킨케GAME,팀쿡형이 왠일로?,2개
31,Portal,"아이폰se나 아이폰12 5.4인치 가야지.
작고 좋는 폰이 최고임.
거대폰 핵불편.",1개
32,양국진,오예 1빠! 그나저나 머리내리고 안경쓰시니 분위기가 확 달라지셨네요,0개
33,알레스카연어,벨벳폰 눙물이....,0개
34,DonghwanKim,난 주문 했지롱~ ㅋ,1개
35,선풍기,이걸 이제 내냐고 ㅜㅜ 1년 전에 냈으면 돈을 아껴도 엄청 아끼는건데 ㅜㅜ,0개
36,릭라쿤,아 q9구닥다리 약정 아직 9개월남았는데 갈아타야하나 위약금주고도..,1개
37,IT자동차관련광팬구독자,90년대 전교1등이 쓸것만같은 안경    잘봤습니다~,2개
38,스냅피온,저도 이제 ios 스마트폰을 사보고 싶게 되었습니다,2개
39,민종석,???:안경도리 열쓰님,1개
