닉네임,댓글,좋아요수,날짜
신박한놈,"내가 제일 좋아하는 마스비달~
마초라는 말이 제일 잘어울리지 ㅎ",6개,2020. 5. 21.
장홍크민,"옛날에 벤 아스크렌 머리 한 학생? 이 마스비달한테 우리 아빠한테 왜 그랬어요? 소리해서 마스비달 겁나 당황한거 재미있었는데


bmf
best 
어머니
fuxxer",4개,2020. 5. 21.
바보치와와,04:55 누워서 포즠ㅋㅋㅋㅋㅋ,9개,2020. 5. 21.
창조주,5초 ko 기록 쩐다,6개,2020. 5. 21.
성현sunghyun,0:24 Baddest Mother f*** ㅋㅎㅋㅎㅋ,2개,2020. 5. 21.
김민석,"아~ 저 파인애플머리.. 
예전에 킴보영상 한참 많이 볼때 파인애플머리 상당히 인상적이였는데 마스비달이였다니..",2개,2020. 5. 21.
정근수,드디어..... 내 소원이 이루어졌다 감사합니다 ㅠㅠ,9개,2020. 5. 21.
제이케이,마스비달 졸라 잘싸움 ㄹㅇ로 ㅋㅋㅋㅋㅋ 실전 무도가 ㄹㅇ,2개,2020. 5. 21.
물개지욱TV,0:25 분명 ***처리하고 에퍼라고 읽는데 왜 더 진짜 같죠 ㅋㅋㅋㅋ,1개,2020. 5. 21.
최창민,3:35 맨두 귀 오우 쒯,2개,2020. 5. 21.
유뉴,아 네이트디아즈 띠껍다면서 갑자기 튀어나올때 뿜었네ㅋㅋㅋㅋ,1개,2020. 5. 21.
금성제,"마스비달 경기 진짜 화끈하고 재밌음ㅋㅋ
우스만한텐 질거같지만 꼭 타이틀전 한번했음 좋겠음",11개,2020. 5. 21.
호르헤마스비달,앙 기모띠~~~,2개,2020. 5. 21.
물개지욱TV,10:52 상남자라면 상처를 무시하고 싸우다 실명되나요?,2개,2020. 5. 21.
순진한상남자,"마스비달을 키우기 위해 
홀어머니가 밤늦게 까지 
일했다는 이야길 들으며...
역시 어머니는 위대하다
느껴짐...",20개,2020. 5. 21.
키키제이,"2분3초부터 나오는 영화제목
아시는분 알려주시면 감사요!!!..^^",2개,2020. 5. 21.
최혁준,진짜 상남자네~~ㅋㅋㅋ,0개,2020. 5. 21.
김찬우,내 최애 격투기 선수ㅠㅠ 진짜 남자 중에 상남자...,6개,2020. 5. 21.
최규식,"한국나이로 37세
적은나이가 아닌데도
지구력 파워 등 동일급에서 작은
체구에비해  엄청난 기술이
강한상대를 전부이기는 비달
대단하네요!",1개,2020. 5. 21.
북북공장장,0:23 오늘의 액기스,0개,2020. 5. 21.
씨카,인터뷰 도중 귓방맹이 때리는게 왜 이렇게 웃기냐 ㅋㅋㅋㅋ,0개,2020. 5. 21.
blackmaster,마스비달 리포터 앵커 예쁘다 7:11 우스만 더티한 놈일세 앤실처럼 대충받고 경기 해야지 이제 챔프 된 놈이 뭔 돈을 밝히냐,1개,2020. 5. 21.
폐차맨TV,잼있게 잘보았습니다,1개,2020. 5. 21.
강인묵,마스비달 너무 좋아 크흐흐,1개,2020. 5. 21.
BrianLee,에드워드 선수를 때린거는 데런 틸 경기 후에 벌어진걸로 알고 있습니다. ㅋㅋㅋㅋ,9개,2020. 5. 21.
양진호,???: 좋아요 500개 찍으면 디아즈 조지고 온다ㅋㅋ,0개,2020. 5. 21.
정다용,차도르님 요즘 악동특집인가요??ㅋㅋㅋㅋㅋㅋㅋ 니아즈형제 부터 마스비달까지,5개,2020. 5. 21.
모스딘,에드워즈 때린건 대런틸전임,1개,2020. 5. 21.
쥑이네쥑이네,김동현 어때,1개,2020. 5. 21.
제리,ㅇㅇ 파이터는 어느정도 타고나야 되지 ㅋ,1개,2020. 5. 21.
ChiHeonIm,스카페이스 생각나네 ㅋㅋㅋㅋㅋ,0개,2020. 5. 21.
김경재,내 친구중 싸움에 ㅁㅊ  중2병이 있슴다,2개,2020. 5. 21.
튼실한방울뱀,감사합니다유ㅠ,0개,2020. 5. 21.
ScHong,나도 마스비달 열혈팬인데 영상 너무 잘 만드셨습니다. 짝짝짝짝!!!,0개,2020. 5. 21.
라뷰훈스,약간 미오칙관상의 인자강~,0개,2020. 5. 21.
John,오늘 해설 좋았으!,0개,2020. 5. 21.
남자하경준,"정상인에게는  머라안함  매너도 있는거같고
챔피언 또는  같은 또라이 또는  싸가지한텐 악마가 됨
무튼 마스비달  돈도  ㅈㄹ  이든
상대도 ㅈㄹ 이든
그냥  타인이  그걸 유도하게  해주는 자연적인  갱스터선수임",6개,2020. 5. 21.
초딩입맛자덕,"와. 진짜 재밌게 봤어요.
나래이션 최고 입니다",0개,2020. 5. 21.
이민제,멋졍..,0개,2020. 5. 21.
송파TWINS,와~~~~충격~!예전 킴보 길거리싸움 영상볼때 봤었던 저 긴머리 싸움꾼이 마스비달 이였었나요~!?충격적이면서 반갑고~이건 무슨 감정이지?^^:ㅋㅋ,0개,2020. 5. 21.
ScarsgardD,엥 BMS는 badass mother fucxxx 아니었나,1개,2020. 5. 21.
비글떼로,잘봤습니다.^^ 혹시 주짓수 선수 리뷰도 가능한가요?? 고 유키노리 사사에 대해 더 알고 싶습니다.,0개,2020. 5. 21.
이동성,마스비달 길거리 격투영상 보면 팬이 안될 수없죠 ㅋ,0개,2020. 5. 21.
힐러TV,호르헤1 호르헤2,0개,2020. 5. 21.
KK,미국에서 저렇게 싸우고 다녔는데 총 맞지 않은게 다행이네요~,0개,2020. 5. 21.
은휼,"형님 재밌게 잘 봤습니다
역시 차도르만한 채널은 없습니다",0개,2020. 5. 21.
에스카노르,0:45 저거더락임? 홀리쒯,0개,2020. 5. 21.
김재우,한국도 세계1위선수 세계 상남자 선수 나올라나..?,0개,2020. 5. 21.
데이빗핫셀호프,솔직히 맥그리거 랑 붙으면 마스비달 의 기세 에 눌릴거 같다,0개,2020. 5. 21.
콩성홍,스티븐톰슨 이야기도 알고 싶습니다,0개,2020. 5. 21.
ChanukKim,은근 정이가는 스타일이네요 ㅎㅎ,0개,2020. 5. 21.
티마르포포카,"인터뷰 도중에 '한번 날잡아서 붙자'고 하는것고 아니고 '닥치라고' 말한거부터 짜증나게 하는거지. 내용대로라면, 맞을만했네.",0개,2020. 5. 21.
유준희,이렇게 까부는 놈 치고 끝이 좋은 놈 못 봤다,0개,2020. 5. 21.
kRyder,왠지 저 녀석하고 붙어보고 싶은데,0개,2020. 5. 21.
김지원,M자네,0개,2020. 5. 21.
SURA,마스비달 챔프 될수있지,0개,2020. 5. 21.
윤범수,이번엔 저스틴게이치 해주세요 제발ㅠ,0개,2020. 5. 21.
ClarkKim,같은 스딸이라 그런지 관심이 많이 가는 후배인데..컨디션 잘 조절해서 꼭 챔피언 먹어라~,1개,2020. 5. 21.
와스끼,우하다 추스만!!,0개,2020. 5. 21.
씹다만돈까스,진짜상남자는 디에고산체스지,0개,2020. 5. 21.
woo,54분 데이나 왜두명?,0개,2020. 5. 21.
Martialartist,마스비달✊,0개,2020. 5. 21.
HD,4:38 로잔이 아니라 조 로건입니다..,0개,2020. 5. 21.
JaehunJung,진정한 스트리트 파이터네. 입으로만 터는 스트리트 파이터 창렬이랑 달리,0개,2020. 5. 21.
NAMECASTLE,"1:47잘못봤나? 밤늦게= 새벽 1~2시(물론 내기준),일어나는시간=새벽3시?",0개,2020. 5. 21.
이지훈,"Best
My
Friend",0개,2020. 5. 21.
킹메이커,서로 존중할줄모르는경기는 그건 그냥 싸움일뿐,0개,2020. 5. 21.
성이름,영화 사용된거 제목이 뭔가요?,2개,2020. 5. 21.
이예일,호르헤 가브리엘 마스비달,0개,2020. 5. 21.
이준우,최비달 최민수 느낌 있네요,0개,2020. 5. 21.
TheFlow,닥치라고 했다고 바로 가서 아가리에 3연타 꽂아버리네 ㅋㅋㅋㅋㅋ,0개,2020. 5. 21.
zzikia,길거리 파이터 그 자체,0개,2020. 5. 21.
김민,기대하고 기대했습니다,0개,2020. 5. 21.
bradbae,"차도르님 항상 영상 잘 보고 있습니다. 
이번 영상에 잘못된 정보가 있어서 오류 수정 바랍니다.

에드워드선수랑 백스테이지 싸움은 데런 틸 이기고 영국에서 인터뷰 중에 싸움이 났었죠.
말싸움 당시 에드워드 선수는 영국 출신으로 주변에 에드워드의 친구가 아주 많이 있었다고 합니다.
하지만 영국에서 데런틸 선수를 ko로 이기고 에드워드 선수는 판정으로 승리하여, 
자기가 스포트라이트를 받을 자리에 훌리건 처럼 인터뷰에 끼어든 선수는 참교육(?)해야 겠다고 느꼈다고 했습니다.

조 로건 인터뷰에서도 하는말이 영국에서 그런 몸싸움이 나면 다굴(?)당할수도, 입국금지 조치가 치해질지도 몰라서 쫄았었다고 이야기 했구요.

항상 격투기 영상 잘 보고 있습니다. 감사합니다. ^^",0개,2020. 5. 21.
leejinwoo,차도르씨 감기 걸리셨나봐요. 평소 목소리와 다르네요. 건강 잘 챙기세요,0개,2020. 5. 21.
이종현이종현,상남자네  ㅋㅋㅋ,0개,2020. 5. 21.
PeterPan,Ryan hall 은 언제 소개해줄 거에요?,0개,2020. 5. 21.
,오 멋찌당,0개,2020. 5. 21.
BROWNWOOD,우스만은 마스비달이 나이가 적지 않으니깐 더 나이 먹어서 폼 떨어질때까지 간보는거죠. 메이웨더가 파퀴아오와의 경기를 몆년을 끌어대고 하빕이 퍼거슨과의 경기를 잔머리 굴려서 내뺀식으로 말이죠,0개,2020. 5. 21.
핫산운동알려주는남자,"남자라면 한번쯤 이형님처럼 살아보고싶죠
가난을 이겨내고 자수성가
거칠거없는 성격
그럼에도 따뜻함이 있는 진짜상남자",0개,2020. 5. 21.
청심환골드,스트리트 파이터인데 양아치는 아니네요 ㅎㅎㅎ,6개,2020. 5. 21.
박정민,내가 누군지 아니?는 장첸꺼데..ㅋㅋ,0개,2020. 5. 21.
이의,아스크렌 조질 때 왜 저렇게 까지 하나 싶었는데 인종차별 당해서 그런거였네,0개,2020. 5. 21.
언제나즐겁게,겸손함이란 없는놈,0개,2020. 5. 21.
MOONMOON,마스비달은 딱 5위 문지기아닌가 ㅋㅋ,2개,2020. 5. 21.
이동막걸리,월터급이면 우리 권아솔이랑 붙어봐야하는거아닌가?,0개,2020. 5. 21.
이키,상남자이자 썅남자,0개,2020. 5. 21.
박준필,저 에드워드전 맞짱은 세로니전 이후가 아니라 대런틸전으로 아는데요.,0개,2020. 5. 21.
MistressofBigBalls,💥 👨 😸,0개,2020. 5. 21.
봉봉코코,근데 왜 자꾸 대한민국 대표한다고 그럼?,0개,2020. 5. 21.
성이름,갱스터 = 상남자??  NONO~ 진짜 상남자는 절제와 미덕을 갖춘 평범한 남자들,0개,2020. 5. 21.
윤지탱구,재능있는 사람이  노력을  열심히 하다보면  좋은 결과가  따른다는것을 알게된  마스비달  ~~선수 ~~  최고~자리로 올라가라,0개,2020. 5. 21.
관조,맥그리거와 한판 대결 볼만하겠는데요,1개,2020. 5. 21.
김독사,참피온은 택도없고  체중맞춰서 맥그리거랑해봐라,0개,2020. 5. 21.
아싸,"노빠꾸미달ㅋㅋ
인터뷰중 죽탱이...",0개,2020. 5. 21.
지옥끝까지,매너도은근좋음ㅋㅋ,0개,2020. 5. 21.
musicYT,잘하지만 건방지다 니도 쓰러질때 됐다,0개,2020. 5. 21.
mysausalito,미국원어민보다 발음을 더굴리시는듯,1개,2020. 5. 21.
미래미래,"해설가 양반   최고의 상남자가 아니라 
최고의 양아치에게 주는 벨트지",0개,2020. 5. 21.
HenlyPiazon,형 광고 넘길 수 잇는 5초짜리로 부탁해여 ㅠ,1개,2020. 5. 21.
UglyGayJewsAnglicanCatholicSatan,BMF? 주로 심신에서 역겨운 냄새가 나는 백인종과 흑인종이 마더뻑을 해대는 종자들임! 얼마나 마더뻑을 많이 해대길레 마더뻑 벨트를 다 수여하고...,5개,2020. 5. 21.
