,youtube_id,comment,like_num
0,UNA유나,"서노랑 장보러는 다음날 갔어요😊 
(추가)
많이들 궁금해 하셔서 댓글 남겨요~ 정제된 백설탕을 기준으로 끊는게 기준이고용!
뷰스터에 들어간 올리고당은- 1. 뷰스터에 구성된 올리고당은 일반 올리고당과 ‘원료’와 ‘정제과정’에서 차이가 있어요! (예전에 인스타에서만 알려드렸었네요ㅎ) 2. 뷰스터는 요거트와 합해져 유산균의 먹이가 되는 역할이며 그에 맞춰 양을 맞춰놓았어요^^
걱정없이 드셔도 되고요!
참고로 3월에 출시되는 뷰스터 업그레이드ver. 은 올리고당도 치커리 추출 올리고당으로 준비중이랍니다! ㅎㅎ",131개
1,성이름,그래도 서노님이 공격적이지 않고 침착하게 들어보고 불만이 있어도 의견을 수렴해주시네요.. 저희집이였으면 가정분위기 박살났을듯 순식간에 병적인 돌아이취급은 덤..,124개
2,iuinshine,"I have to be honest.... I tried many times on giving up on sugar and many times I failed, because of my surrounding. Respect for those who are strong willed!!! I already don't eat as much sugar as I use to ... but realistically it's not easy",108개
3,anniejang,캔디 종류 초코렛 탄산음료 이런것들 안 먹으면 충분하다고 봄.  카페에서 파는 디저트 그리고 대부분의 달달한 드링크까지.  물론 이런것들 끊는것도 쉽지 않겠지만.  고등학교 이후로 난 저런것들을 다 끊었다 건강에 안 좋은거 같아서.  이십년 넘게 안 먹었는데 특별히 피부에 도움이 되는건 솔직히 잘 모르겠다 원래 피부가 그리 좋은 편이 아니어서.  근데 몸매를 유지하는데는 분명 도움이 된다.  저런 식단을 주위사람들에게 소개하고 그리고 좋은점을 얘기하면서 권할수는 있지만 강요는 할수 없다.  그러다 인간관계 끊긴다 ㅋㅋ,73개
4,박선영,근데....서노님 맥주 마시고 운전.......?,87개
5,SelectSpoon,"안녕하세요, No 설탕, No밀가루 제품만 판매하는 클린푸드 플랫폼 셀렉스푼입니다 :) 
셀렉스푼 또한 대표님이 직접 설탕과 밀가루 등을 끊으면서 경험한 고민들을 토대로 만들어졌기 때문에 유나님의 설탕끊기 도전 영상에 많은 공감이 되어 이렇게 댓글을 남기게 되었어요~! 
셀렉스푼에 오시면 설탕이 들어가지 않은 건강한 간식들이 많아요 😊 한번 구경 오세요 💖",19개
6,YeonjooLee,“나 지금 조금 어지럽거든”에 완전 공감 ㅋㅋㅋㅋㅋㅋ 너무 재미있으세요 서노님!,53개
7,hecate,the part when she announces to seono is peak comedy,29개
8,ZeeWen,ㅋㅋㅋ 공감못하고 안하고 끊지않으려는 친구 남친 남편 가존들을 억지로 설득하느니 몇주후 변화된 내모습을직접 보여주면.ㅈ.. 알아서 자발적으로 끊으려하겠죠ㅋㅋㅋ,31개
9,RachaelHwang,남편분이 진짜 대단하세요 갑작스런 극단적인 제안에도 저런 반응과 태도가 나오는게 기본 인성이 참 순한거 같아요 설탕 줄이면 건강에 좋을거같아요 ㅎ 모든 음식을 끊기는 현실상 어려울거같고요,37개
