,youtube_id,comment,like_num
0,오라잇스튜디오AllRightStudio,"요즘 넷플릭스 보느라 시간 순삭😆 여러분의 넷플릭스 추천 작품 댓글로 남겨주세요~! 그리고 신박하고 유용한 앱 있으면 추천 많이 해주세요~🥰",12개
1,여냉,"1. 키노라이츠
영화 앱
2. 라스트오더
마감 세일 앱
3. 1 Second Everyday
하루중 인상 깊었던 일을 
영상으로 글과 함께 기록 할 수 있는 앱
4. 마인드가든 (아이폰만 가능)
옛날 감성 다이어리 앱
5. 굿닥
건강 앱",22개
2,,이 영상이 왜 이제서야 나온 거죠. ㅠㅠㅠㅠㅠㅠ 2월달에 나왔으먼 얼마나 좋아 ㅠㅠㅠㅠ....,4개
3,윰윰,마인드가든 안드로이드 앱도 있어용!!                   좋은 앱 정보 감사합니당💚,3개
4,영화보GO놀아보GO,키노라이츠 모르던 앱이었는데 진짜 편리하네요,1개
5,타잔,"아...저도 키노라이츠 자주 이용해요.
넷플릭스 검색도 짱이지만 영화 장르별 리뷰들도 꽤 볼만하더라구요.
네*버의 알바 같은 글도 없고, 나름 꽤 정확한 평가들로 느껴져요.
요즘은 어떤 영화를 볼까..어떤 영화가 어떤 평가일까 할때는 이 앱을 이용해요^^",1개
6,펭수코인,라스트오더는 좀 유용하겠네요ㅋㅋ깔아봐야지,0개
7,탱탱보리,요즘 블랙리스트보는데 진짜 시간순삭이예요,0개
8,최무석,오호 꿀팁감사합니다 구독 좋아요 누르고 갑니다 믿고 앞으로 볼게요,0개
9,이창원,완전꿀팁  ㅎ ㅎ ㅎ ㅎ,0개
10,김경운,키노라이츠 돈내야 되요?,0개
11,좀비고짬타이거,⌯' ▾ '⌯,0개
12,keith,사랑하는 서이님💙 왤케 오래간만에 오셨어여  날 가져요 엉엉ㅜㅜ,0개
13,무무,밑에광고라고뜨는거보고 클릭했는데여 ㅋㅋㅋㅋㅋㅋ,0개
