,youtube_id,comment,like_num
0,mikey700,써니님 교정해서 그런가...교정+젖살빠짐 때문에 얼굴이 완전 반쪽이됐어요ㅠㅠㅠㅠㅠㅠㅠㅠ 얼굴볼살 다빠지고 엄청 갸름해졌네용ㅠㅠㅠ 다이쁘지만 잘먹고 건강챙겨용!,272개
1,vtyj,i havent been updated on your channel for a while now and you seemed to have lost a looooootttt of weight. Your cheeks are gone! Hope you are doing fine hunny. The make up is beautiful as usual :),56개
2,dayun,언니 젠다이야메이크업도 해주세요!!♡,151개
3,NicoleAshlee,Omg I really want to see you do a Felix cover makeup now 🤣,167개
4,니나영,난 이언니 너무좋다 진짜 가식같은것도 없고  시원시원하게 말도 잘하고 겸손 .. 철도 빨리든것같아서 말이나 행동이정말 어른스러운 사람 ... 사랑해요  당신은 천재,133개
5,한여름,진짜 수진 최애 아이돌인데 이걸 이렇게 커버하다니 ... 수진 + 써니 = 처돌이는 죽어요 ... 써니가 여기서 제일 힙하다! 써니 다 가져요 ...,100개
6,Mikaela,Now I can't stop imagining how you'd look as felix- jsgfasldk you're gonna nail it!,69개
7,sallibyul,i feel like you've lost so much weight since couple months ago! i hope you are well :),38개
8,dearhyunj,써니 커버메이크업은 볼 때마다 짜릿해!!😍 얼굴천재 화장천재👍🏻 수진 진짜 좋아하는데 너무 비슷해요🥰 근데 분홍이랑 초록이 장기적으로 섭취하면 건강에 무리가 간다고하니까 많이 먹지마요오ㅜㅜ,134개
9,김밍,위키미키 김도연 살짝 닮으셨는데! 김도연 메이크업 한번 보고싶어요ㅎㅎ,66개
10,Destiny,I thought she looks a lot like Doyeon of Weki Meki for their MV of Tiki-Taka,16개
11,SeorimYoon,Please do a cosplay of Felix! But I couldn’t help it but notice how thinner you look. Please take care of your health! 💗,13개
12,M,와 언니 김도연이랑 서수진 섞인 얼굴이에요ㅠㅠㅠ 어떡해 최애들 다 모였다 진짜 신의 얼굴,80개
13,AliahHariz,She look like doyeon from ioi and weki meki . Even more with the bangs tbh 😬😬😬,12개
14,RebeccaJang,머리 어떻게 하신건지 튜토리얼 올려주시면 안되나요???,86개
15,jamielhayne,sunny! for kcon la you should do an iz*one chaewon cover makeup bc she looks like felix too,8개
16,angel,You would have slayed the felix’s cover like you slayed this sujin’s cover. I love your channel and I love you 💓,40개
17,공깅,언니 살 왜이렇게 많이 빠졌어요!!,80개
18,,써니님 영상올리는 텀이 너무 길어요 ㅠㅠ 흑 자주 보고싶은데 바쁘신가바여 몸 엄청 마르고 이뿐데 나중에 몸매관리비법 영상 올려주세용,65개
19,멜팅,교정하면서 살 빠지는 건 좋은데 기존에 볼살이 적당한편도 아니였지만.. 저 같은 경우엔 살 빠지면서 없던 팔자주름이 생기더라구요😭,52개
20,김희정,"얼굴 진짜 반쪽 됐네ㅠㅠㅠㅠㅠㅠ
너무 예쁜데ㅠㅠㅠㅠㅠ 맘아파ㅠㅠㅠㅠ 교정때문인건가ㅠㅠㅠ
맛있는거 많이 잘 챙겨먹고 있죠??! 제발 잘챙겨먹어요! 아프지말구 ㅠㅠㅠㅠ",11개
21,CessyDyoy,I LOVE G(IDLE) SO MUCH! THANK YOU FOR THIS. IM SOOJIN BIASED HIHI LOVE FROM THE PHILIPPINES,5개
22,기리닌,써니님 브이로그와 함께 돌아오겠다니ㅜㅜㅜ기대됩니다,17개
23,Potato,GURL CAN U DO A DOYEON ONE U LITERALLY LOOK 80% LIKE HER IM-,6개
24,Jsyeon,언니..볼살 어디갔어여ㅠㅠㅠㅠ실종됨😭,7개
25,지인,와ㅠㅠㅠㅠㅠ존예,10개
26,캡짱,그냥 민낯부터 아이들 수진인데...????,12개
27,nanakyu96,"but you look even more like Doyeon with the braches, cutiiie",3개
28,LACHIMOLALA,I need to see the Felix transformation badlyyyy 🤩🤩🤩🤩🤩🤩💕💕💕💕💕,7개
29,이서진,2:38 써니님 앞머리 까니깐 에이핑크 남주 닮았어요!!,2개
30,bhbylel,sunny~~~~ you're getting prettier and prettier with every video,3개
31,niamhgabito,i havent watched her videos in so long and i just realized today that her cheeks have gone skinnier omg,6개
