,youtube_id,comment,like_num
0,환,50대신 거 오늘 처음 안 사람 없나요 충격 .....,438개
1,장윤정,헐 대박 슈스스님 50대에요???????전혀 그렇게 안보이는데??? 헉 동안이시다🤭👍,173개
2,뇸뇸,언니 저 언니 나이 방금 처음 알았어요... 진짜 옷에 나이가 있는게 아니라 어울리고 안어울리고만있다는걸 깨달았어요... 언니 저 155인데욘...... 혹시 키별 스타일링하실생각있으면... 언니가 남극에있다해듀 달려가게씀니다... 싸랑해여❤,202개
3,가현,누가 언니 못생겼다그랬어... 그런말 한 시키들 다 뚜까 맞아야돼...,479개
4,리라라,"항상 생각하지만 선플은 쑥쓰러워서 못다는 사람이 90퍼 ㅠ 악플은 생각없이 다는, 집에서 할짓그것밖에없는 사람 90퍼 같아요 ㅠ 언니 너무 팬이라서 몇번 쑥쓰럽게 댓글달았었는데 또 달아봅니다.. 예전에 대구에서 한번 우연히보고 너무좋아서 미쳐날뛰어서 주변사람 지치게도 만든적있답니다.. 너무황송하게 같이 사진도 찍었어요 ㅠ ㅠ 왜 이유없이 언니가 이렇게좋을까요 너무너무팬이에욥. 이 댓글 다는와중에도 계속 쑥스 ㅠ ㅠ❣️",184개
5,YKim,언니에게는 오랜 시간 하나의 일을 정진해온 사람들이 가지는 그 단단한 아름다움과 아우라가 있어요. 거품이니 뭐니하는 사람들은 한번이라도 그렇게 열정적인 적이 없기에 다른 이의 노력의 시간들을 감히 평가하는 거겠죠. 그마저도 특유의 해피니스한 에너지로 받아치는 언니는 진짜 반칙이에요 ㅠㅜ 정말 단단하고 아름다운 사람😊,123개
6,무엘밤비노,여자가 남자매장서 구매하면 좋은 거 추천추천해주세요!,182개
7,오라이오,남자꺼 대찬성이요 제발요,240개
8,이수영,"언니 진심으로 매력넘치고 아름다우셔요 이번편 머리스타일 찰떡입니다 자기가 생각하는 미의 기준에 안맞는다고 무조건 못생겼다고 까는사람들은 정말 문제 있는거죠 제 눈에는 정말 아름다우십니다 그러니까 그런 사람들 말 가볍게 무시하세요 ㅎㅎ

+ 고1학생인데 패션쪽에서 일하고싶어서 궁금한게 많아요 ! 커밍순편 기대할게요 !!",139개
9,sehor,"근데 왜 나이가들면 나이처럼보이게입어야한다는 강박이있지 ㅠㅠ
우리엄마는 50대인데도 소위20대들이 입는거 잘 입고다니는데",39개
10,우우,"늘 재밌게 보고있어요!!
중간중간 나오는 패션용어들을 이해하지 못할때가 너무 많아서 자주 사용되는? 패션용어정리해주셨으면 좋겠어요!!패알못인 저는 ㅠㅠ 모르는 용어가 너무 많네요ㅠ",148개
11,덕후HOON,일단 안봐도 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 일단 웃을게요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,61개
