닉네임,댓글,좋아요수,날짜
이진곤,브런치 = 늦잠자고먹는거 ㅋㅋㅋ,625개,2020. 4. 30.
바사삭포카칩,백종원 대표님!! 혹시 나중에 마라탕 만들기도 시도해 주시면 안될까요?  대표님이 만드시는 마라탕도 궁금합니다!,153개,2020. 4. 30.
AnnabellaKong,"세상에나 이게 뭐라고 라이크가ㅋㅋㅋㅋ구독박고갑니다요 백종원슨생님 👍👍

선생님 신랑이 미국인인데 오늘 아침에
이걸 먹더니 살면서 먹었던 홈메이드 해쉬브라운중에 제일 맛잇다면서 마싯다 마싯다를 한국말로 열번정도 외치고는 춤추고 난리가 났었습니다 존경합니다 선생늼",256개,2020. 4. 30.
이주원,9:01 후춧가루 모자이크 실화 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,25개,2020. 4. 30.
클라쓰어나더,"Gd morning 
Gd afternoon 
Gd night",3개,2020. 4. 30.
콜링유,진짜 편집하시는분.....대박입니다,170개,2020. 4. 30.
나무,나는 몰랐네... 백종원이 귀엽다고 생각되는 날이 올 줄이야....,235개,2020. 4. 30.
아모,ㅋㅋㅋㅋㅋ 내 마음을 다 읽는 거 같네. 물에 담궈서 전분기를 빼야돼유~ (귀찮은데) 근데 귀찮잖아유. 그냥 할게유.,41개,2020. 4. 30.
서윤환,0:30 시작부터 팩폭이라뇨....엉엉,228개,2020. 4. 30.
숟가락언니,"새둥지전  이름이 기가 막혀요
바삭거리고 맛있을거 같아요",157개,2020. 4. 30.
나는엄마보통의행복,"계속 돌려보면서 요리했더니 아이가 놀이로 요리하면서 ""안녕하세요 백종원입니다"" 하는거 있죠ㅋㅋㅋㅠㅠ 맛난요리 쉽게하는방법 알려주셔서 감사해요! 맛있게 잘 해먹고 있어요♡",29개,2020. 4. 30.
가니,와~~오늘은 파~~국 끓이려고 파를 사놨었는데..내일은 새둥지전으로 연휴 고고싱~!,164개,2020. 4. 30.
SeanHan,10:00 굿모닝 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진지하게 보다가 터졌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,107개,2020. 4. 30.
오예방구뤼,8:58 오늘 영상 하이라이트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,59개,2020. 4. 30.
오늘도밥TodaysMeal,"매일 와이프 언급하시는 선생님.. ㅎㅎ
진정한 사랑꾼이십니다 👍👍",83개,2020. 4. 30.
EjWondx,저 내일부터 다이어트인데 왜 하필...,9개,2020. 4. 30.
Go양이,ㅋㅋㅋㅋㅋ 후추 모자이크 완전 현웃 터졌넹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케,27개,2020. 4. 30.
땡이,백종원 대표님 감사합니다❤,111개,2020. 4. 30.
팟전해물,8:57  ㅋㅋㅋㅋㅋㅋ 편집자님 넘나 웃김 ㅋㅋㅋㅋㅋㅋㅋ 작은 백요정이 실수? ㅋㅋㅋㅋ 9:43 능구렁이 아재 ㅋㅋㅋ,121개,2020. 4. 30.
NAMU,"아침엔 토스트1장에 칠리케첩이나 칠리소스랑 같이 먹어도 맛있겠고, 
저녁엔 맥주랑 먹어도 맛있겠다..
채썰 때, 감자랑 양파, 당근 같이 넣어도 맛있을듯 ㅠㅠ",23개,2020. 4. 30.
김민아,"피자소스 사놓고 유통기한 다되어가는데 ㅎ
 포테이토피자 좋아하는 우리애들 피자소스와 치즈 올리고 저렇게 먹으면 좋아하겠네요. 
감솨요 백쌤~",75개,2020. 4. 30.
timeNOW2watchtv,Thank you for subtitles!,4개,2020. 4. 30.
지니,9:02 모자이크 무엇ㅋㅋㅋㅋㅋㅋㅋ 편집자님 센스가...,42개,2020. 4. 30.
이혜원Youtube,역쉬 백종원은 말투가 웃곀ㅋㅋㅋ,29개,2020. 4. 30.
민트밥,이 영상 볼때마다 생각나는데 내가 칼질 못하는 이유는 칼이 좋지 못해서야....,16개,2020. 4. 30.
아소일,11:40 크 ㅋㅋㅋ 인사말까지 쏘스윗,9개,2020. 4. 30.
고오자,8:52 바술리 까루를 이럴때 한번 부려주는거쥐,4개,2020. 4. 30.
랑레니랑,감자채볶음 먹다 남은 거에 소시지넣구 계란넣구 전처럼 부쳐서 케찹에 먹으면 별미에요,11개,2020. 4. 30.
노트note휴양지괌에사는것,헉 진짜 감자랑 계란밖에 없는데 ㅋㅋㅋ 새둥지전 대박 ....🥔🤎,40개,2020. 4. 30.
From도쿄to파리,9:38 와 진짜 한판에 어떻게 달걀 익힘을 나누지 했는데 빵터짐ㅋㅋㅋㅋㅋㅋㅋㅋ,6개,2020. 4. 30.
SomLee,8:14 감자랑 햄이랑 계란 허리케인타네......아....놀러 가고싶어.....,3개,2020. 4. 30.
FORCECAPTURE,녹인 모짜렐라 치즈 올려서 먹어도 맛있겠다..,10개,2020. 4. 30.
임영훈,요리가 어렵지 않다! ㅋㅋㅋ,11개,2020. 4. 30.
hsangy133hh,03:56 항상 겸손한 백쥬뷰님  04:10 본심,35개,2020. 4. 30.
kjkj45,"마리텔때는 유명한지 모르고 안봤는데 왜 백종원님이 마리텔 우승을 밥먹듯이 한지 알겠네요ㅎㅎ
항상 좋은 요리 감사합니다
구독 좋아요 누르고 가요",7개,2020. 4. 30.
백팀원TeamBaek,"백종원 선생님 덕에 레시피 따라하면서 요리가 많이 늘었어요
새둥지전... 뒤집기는 실패했지만 맛있네요ㅋㅋㅋㅋㅋ
https://youtu.be/kigZcaJ7dR4",2개,2020. 4. 30.
펙펙,10:54 후추가루 많이뿌려서 망한부분 자연스럽게 떠넘겨보리깅!!,12개,2020. 4. 30.
저머니,ㅋㅋㅋㅋ후춧가루 쏟은거 모자이크 뭐냐곸ㅋㅋㅋ편집자 센스가 대박이셔요!,3개,2020. 4. 30.
KikiTube,10:55 반전,6개,2020. 4. 30.
쪼탱,"와 메뉴명 새둥지전.. 대박사꽁ㅋㅋ
역시 백쌤🙆‍♀️ 엫?",3개,2020. 4. 30.
somm,아니... 이거 중학생때 맨날 먹던건데 이걸 아시다니... 전 여기에 베이컨 치즈도 넣어먹어요,22개,2020. 4. 30.
최기화,"ㅋㅋ....진짜로 술안주""~~나,혼자 숨어서 먹어야 할 맛이겠네요~맥주,소주,막걸리~~모두 어울린다는게 단점? 좋은 영상 감사드려요~~^^",2개,2020. 4. 30.
6시내고환,8:55초 졸귀다 진짜..,6개,2020. 4. 30.
vino,이건 귀찮은 사람도 따라하고 싶은 레시피네요!! 맛있겠다,16개,2020. 4. 30.
mariesmile,"요즘 나오는 수면영양제. 진짜.효과 없습니디ㅡ
과장광고에 속지맙시다.",4개,2020. 4. 30.
AlexisCarter,"7:03 어쩐지... 나 어렸을 때, 야채타임 이라는 과자에 괜히 도마도 케챱이 있던게 아니었군요! 선생님!!!",13개,2020. 4. 30.
듀랑,네이밍 센스가 참 맘에드는 요리네요 허헣 새둥지,40개,2020. 4. 30.
ArmyYou,우와 자막버젼이다. 이제 글로벌로 진출하는겨?,28개,2020. 4. 30.
이댕댕,"너무 웃었네요 고마바유~^^
거기다가 땡초 살짝 같이 볶고 치즈에 같이 먹어도 맛나겠어유~ 귿 모닝~~",25개,2020. 4. 30.
TaeSeonSim,2:20 써는거부터 웃기면 어떻합니까 ㅋㅋㅋㅋㅋㅋㅋ,1개,2020. 4. 30.
으네네GracesHome,우와 딱 어제 해먹은 요리인데!!! 역시 통해욧ㅋㅋㅋ 감사합니당~~,4개,2020. 4. 30.
HungryChoiLunchTime헝그리쵸이,우리집 냉장고 보셨나? 안그래도 감자가 남았는데 감사합니다 ㅋㅋㅋ,3개,2020. 4. 30.
잼잼잼,계란 시간차이두고  투하시키면 완숙 반숙 될듯합니다요,11개,2020. 4. 30.
쵸쵸의하루,"편집자분 편집 진짜 재밌게 잘하시네요 ㅋㅋㅋ
그리고 백종원 선생님도 엄청 재밌으시고 ㅋㅋ제맘에 들어온것같은 말을 다해주시닠ㅋㅋㅋㅋㅋㅋㅋ
꼭 해먹어볼게요 ♡",2개,2020. 4. 30.
JoanneKim,뭐든지 쉽쥬 백샘은 ㅋㅋㅋㅋ,2개,2020. 4. 30.
쿠키버스COOKIVERSE,5:12 도시락을 점심으로 먹으면... 런치.... 헷,1개,2020. 4. 30.
야호,0:32 뼈때리기 있습니깤ㅋㅋㅋㅋ🤣🤣🤣,14개,2020. 4. 30.
ORDA오르다,브런친데 맥주 땡기쥬?ㅎㅎㅎ,10개,2020. 4. 30.
VIPINSEO,"PLEASE MAKE JAJANGMYEON....
I love jajangmyeon, i’m jajangmyeon maniac, but because of corona my favorite korean restaurant is closing now, i tried to make it but i can’t get the right taste. In my town, fresh jajangmyeon noodles is not available, so my jajangmyeon is not as chewy as it should be, can you please make a tutorial video how to make korean jajangmyeon noodles from starch and aunthentic jajangmyeon sauce?",4개,2020. 4. 30.
HannahJ,"01:41 ㅋㅋㅋㅋㅋㅋ 백쌤게그도100
01:45 편집도100, 완벽한콤비였다ㅋㅋㅋ",1개,2020. 4. 30.
CkO,"대만/싱가폴에서 딘타이펑 갔을때 먹은 오이탕탕이 너무 맛있었는데 만드는 방법 좀 알려주세요~~~ 
집에서 해먹고 싶은데 그 맛이 안나요 ㅜ",7개,2020. 4. 30.
깃털좀날려줘,아무리 봐도 술안주인 것 같습니다ㅋㅋㅋㅋ 얼른 맥주를!!,4개,2020. 4. 30.
밤하늘,와 따라해봤는데 진짜 맛있어요ㅋㅋㅋㅋㅋ햄 없어서 감자에 소금 조금 더 간해서 계란만 넣고 먹었는데 존맛탱;;;케찹 뿌리니까 무한흡입 가능...다이어트는 역시 내일부터...ㅎㅎ..,3개,2020. 4. 30.
Moon라임트리,"백종원님 언제봐도 귀욤지심ㅋㅋㅋ
항상간단하고 맛있는 요리 레시피 감사합니다^^",0개,2020. 4. 30.
난소랭,9:01  모자이크ㅋㅋㅋㅋ,0개,2020. 4. 30.
PlayFlashOfficial,아무래도 자기가 만든걸 자기가 먹고 평가하는것은 평가가 공정하지 않다고 생각해요 어쩔수 없이 제가 직접 가서 먹어 버려야 겠군요,8개,2020. 4. 30.
김회례,맞아요 집에서 쉽게 해 먹을 수 있게 설명 최고 최고 역시 백종원님 찐찐찐 짱 입니다,2개,2020. 4. 30.
다금바리,거업나ㅁㅏ싯겠다ㅋㅋㅋㅋ소리보소ㅋㅋㅋㅋ  저거 맥주안주인데!!! 썸네일처럼 우아한거그런거모르지..ㅋㅋㅋ 따실때 허겁지겁 많이먹어야함...,1개,2020. 4. 30.
GGbae지지배,8:16 뭐야.. 멋있어...,1개,2020. 4. 30.
AB,내 인생은 백종원 전과 후로 나뉘어...,1개,2020. 4. 30.
ChangryeolEom,0:32 팩트 폭격 보소 ㅋㅋㅋㅋㅋ,0개,2020. 4. 30.
요주방yokitchen집에서요리하는한접시한끼요리,"브런치~^ .^ 
맛있게 먹을 수 있는 것 같아요.
기름에 튀기듯 구워주는게 포인트인듯요~♡♡
써럿~^^ .",2개,2020. 4. 30.
msk,너무 귀여우셔ㅜㅜㅜㅜㅜ🥰🥰🥰🥰,0개,2020. 4. 30.
saehee33,6:15 사람얼굴이다!,0개,2020. 4. 30.
요리하는방구석백수,가끔 딴생각하면 두껍께도 쓸려요~ 아시겠죠 이게 으려우 시면 채칼 쓰시믄 대요 채칼~,24개,2020. 4. 30.
