,youtube_id,comment,like_num
0,애주가TV참PD,"갑각류에미친남자 시리즈로 보기
https://www.youtube.com/playlist?list=PLXreh1-SDr_CJ7LGXqTz3dxBfN5_R1_RN

수입냉동이다보니 랜덤박스같은 느낌이 있으니 구매는 신중히 하시기 바랍니다. 그리고 냉동수입게는 판매처에서 as를 해주는지도 확인하고 구매하세요~",569개
1,Areehunter,4:02555555,7개
2,SunH,"우리 참피디님 갑각류 알러지 없는게 진짜 신의 축복이닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
저러케 행복해하시넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",864개
3,지혜정,"어제 와서 다리로 라면 끓여먹고 몸통은 찜쪄먹었어요,
두마리분량 다리로 10분정도 국물우려내서 라면넣어 끓여먹었지만 뭐 그냥 라면맛이였습니다 ㅎㅎ
게 손질은 미끌미끌한 느낌이 강해서 열심히 박박닦아야해요, 특유의 비린내가 좀 인상깊어서..웬만한 바닷비린내참는 저도 내장 한웅큼먹고 웩질했어욤; ㅋㅋㅋㅋ
내장을 너무너무 좋아해서 크랩에 든 내장을 보고 눈 뒤집어졌지만 비린내때문인지 한마리먹고 더이상 손이 안갑니당 ㅠ 

한시간 해동하고 소주와 된장넣고 비린내를 잡으려 했지만 여전한 특유 비린내때문에 맛있게 먹었다는 느낌은 못받았어요, 시각적으로 만족감은 크나 먹었을때 기대감이 커서 그런지 별로 손이 안가요. 이상 솔직 후기였숩니다!",131개
4,이땡땡,게가 디게 귀엽게 생겼게 ㅋㅋ,563개
5,모과나무,살보다 알이랑 내장이 더 많냐;; ㄷㄷ,303개
6,양갱,6:33 zzㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ도랏,26개
7,Black초코,5:52 박-제 저도 원합니다!,102개
8,7튜브,5:12초에 귤인줄ㅋㅋㅋㅋㅋㅋㅋㅋ,67개
9,오린이클립저장소,인트로 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,235개
10,평론가,근데3만원주고 저렇게  랜덤이면.....왜사...ㅋㅋㅋㅋ,80개
11,YJK1226,6:30초 팝콘 광고인줄ㅋㅋㅋㅋㅋㅋㅋ,4개
12,블랙백유안,저 게는 생긴것부터 ㄹㅇ밥도듁이네,58개
13,KyunghwaYeo,"와
복불복중에 복걸리면 대박이겠다",199개
14,PhANtomPAiN,5:35 게를 사과마냥 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
15,우기의텐션좋은일상VLOG,갑각류에 미친 남자가 어울리네욬ㅋㅋㅋ 진짜,11개
16,MealDrink밥술한잔,브라운 크랩은 창렬하고... 마몰라크랩은 복불복... 아..... 사먹자니 걸리고 안먹자니 먹고싶고..ㅋㅋㅋㅋ(아몰라~!),147개
