,youtube_id,comment,like_num
0,월리,그래그래....울트라는 모든게 너무 뇌절이였어,4개
1,민준,ㅋㅋㅋㅋㅋㅋㅋㅋ 기본노트20가격이 아이폰12시리즈중 가장비싼 아이폰프로맥스 가격이랄똑같넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ갤럭시유저지만 참..허ㅎㅎ 아이폰12프로로간다 ㅋㅋㅋㅋㅋ무조건,3개
2,천호역NO811Cheonhostn,"일반 모델은 6.32인치에서 6.42인치로 0.1인치 커질것으로 나타났고
19:9에서 19.4:9로 발전한다고 합니다",1개
3,TeddyJeon,아이폰 사야겠다,3개
4,jang2014,3빠,1개
5,BJJeon,0:28 노트20은 10번째죠.. 7은 올 리콜이었으니까 이것도 뺀다면 9번째,0개
6,코로나싫어,노트6 안 나와서 10번째 시리즈 아닌가???,1개
7,GREENSITSTUDIO,"노트 20.. 내가 알기론 10번짼데.? 노트 6가 없고 건너뛰어서..
글구 100배는 필요없지 않나?",1개
8,권빛날,"현직 노트8 사용자입니다. 
아주 만족스럽게 2년 6개월 넘게 사용중에 있습니다. 번인은 왔지만 고장이 안나요...
저는 이제 폴드로 가려고 마음을 정했지만 노트시리즈는 항상 잘됐으면 좋겠습니다.",1개
9,아름다운갤워치액티브,가격 생각보다 안올라게네 형,1개
