닉네임,댓글,좋아요수,날짜
MinsooGo,"하이하이! 짧고 굵게! 오늘은 10분 타바타로 체력증진과 체지방 감량에 도움되는 운동으로 준비! 다소 어려울수 있으니 쉬운 버전이 필요하신 분들은 아래 링크를 참고해 주세요 ♥️

초보자 타바타
https://youtu.be/IMDW0f_FFLQ

덤벨 케틀벨운동 모음
https://www.youtube.com/playlist?list=PLKKok_a9lTDxON5ytKRfKzCOk_7a9Tnrt

저의 신간 다이어트 동기부여 운동 에세이 ""일단 21일만 운동해보기로했습니다"" 가 드디어 나왔어요! 오래 기다려 주신 고팸님들 너무 감사합니다🙏 아래에 신간과 제 온라인 클래스 링크 걸어둘 게요. 
코로나가 한참인 요새, 다 함께 제대로 맘잡고 운동 해 봅시다!!  

▶ 다이어트 운동 동기부여 #운동에세이 : 일단 21일만 운동해보기로했습니다
https://bit.ly/39OcjHN

▶ 운동습관 만드는 #운동플래너 : 라인프렌즈와 함께하는 하루운동 플래너
https://bit.ly/3b2BUOr

▶ 고민수의 8주 온라인트레이닝 #GOHIIT 
http://bit.ly/2FZJx7Y

▶ 인스타그램@minsoogo
https://instagram.com/minsoogo

▶고민수블로그
https://blog.naver.com/minsoo_go

다이어트의 완성은 건강한 습관을 만드는 것! 대한민국 모두가 건강해 지는 그날까지!

다들 열운하세요 ♥
궁금한 점은 댓글로! 채널구독과 좋아요도 잊지 마세요  :)",2개,2020. 6. 1.
DakkaDakka,"https://youtu.be/lQh78nQeGJg
유튜브의 함께해요 영상에서 민수쌤이 나오는걸 보고 내심 반가웠습니다ㅎㅎ",3개,2020. 6. 1.
폐관수련,군시절 소대장 이름이 민수였는데,1개,2020. 6. 1.
meeseungkim,오늘도 한세트만했는데 땀이 비오듯 쏟아지네요. 중간에 어려운동작도 있었지만 천천히 해서 끝까지 했어요. 감사합니다!!^^,1개,2020. 6. 1.
경태염,민수고 ! 굿모닝~><,1개,2020. 6. 1.
ESTHERshomeKim,"와우~ 땀 장난 아닌데요!!!
화이팅 영상 감사합니다!! 👍👏💪😍💕",0개,2020. 6. 1.
이숙희,저질체력을 위한 아침 운동 저에게 맞게 따라 했습니다.  허리아픈 이들의 운동도 참고 해 주시면 고맙겠습니다.  큰 도움 되었어요💕👍👍 고맙습니다~^^*,0개,2020. 6. 1.
요정규리짱,오늘은 이 운동으로 하겠습니다,0개,2020. 6. 1.
김대영,굿모닝이예요,0개,2020. 6. 1.
WojciechStromski,💖👍💖👍💐🇵🇱,0개,2020. 6. 1.
zezeGo,강도가있다고해서 걱정했는데 점핑런지빼고 다했어요20초라서 따라한거같기도해요^^ 점핑런지 젤어려운듯ㅠ,0개,2020. 6. 1.
