,youtube_id,comment,like_num
0,도전100일헬창키우기,무천도사의 쿵푸팬더 각성 시키기,3개
1,jacobzeon,ㅋㅋㅋㅋ 조카랑 잘 놀아주는 착한 삼촌들 같아요 ㅋㅋㅋㅋㅋ 졸귀,456개
2,이장해,"9:20 도라에몽 펀치 개뿜었네ㅋㅋㅋㅋㅋㅋㅋ
         과거로 갈래? 미래로 갈래?",302개
3,YoungseokKim,정찬성 선수 말을 많이하는 건 아닌데 왤케 웃기지 ㅋㅋㅋㅋ,733개
4,피재,6:06 뭔 발차기하는데 총소리가 나 ㅋㅋㅋㅋ,112개
5,JeongSeopByeon,그 와중에 덩치부심있는거 진짜 실화냐 ㅋㅋㅋㅋㅋㅋㅋㅋ,104개
6,lol우린기태,정찬성순수 성격이 진국이네 ㅋㅋㅋ 느긋하니~,526개
7,이재민,11:10 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ장기 빼줄까 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ믿고보는 케미다 진짜,377개
8,DaysGood,15:11 거북이와 돼지의 교감,96개
9,임둘기,4:00 원투 맞는 거 까지가 한세트임?ㅋㅋㅋ,40개
10,50대몸짱TV,피티 코스가 너무 고급집니다~ 레전드도 만나고 부럽부럽ㅋ,146개
11,Essentialview,"날은 점점 더워지는데 빡형 옷 저렇게 입고 인내하는 게 더 신기하고 대단합니다
건강관리 잘하세요~
올여름 장난아니랩니다",450개
12,SangYo,7:24 본때를 보여 주랬더니... 본 배를 보여주는 공혁준님... 화이팅...,171개
13,서형,빡저씨 저 옷 진짜 마음에 들었나보다ㅋㅋㅋㅋㅋㅋ,103개
14,정환리일기장,13:48 배 때리고 당황하시는거 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴ,85개
15,PatrickKang,혁준이는 진짜 계란이랑 싸우면 1초만에 뻗겠다 ㅋㅋㅋ 말잘듣자 평소에,48개
16,신나는헬리,7:20 발차기가 귀여워보이긴 처음이다..,100개
17,남천,9:23 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,114개
18,핫포테이토,13:51 사이버돌쇠 ㅋㅋㅋㅋㅋㅋ 빡빡이 아죠씨 겟앰프드 왕년에 좀 하셨나보네,85개
19,이주영,계란님은 못하는 운동이 없으신가봐요ㅋㅋㅋ 계란킥 멋짐 ㅋㅋ,293개
20,박민환,8:50  He is ACE bed,89개
21,seokheekim,계란형님께서 애 많이 쓰시네 ㅠ (감동.. )혁준님께는 삶의 은인이네요 . 그리고 진심으로 많이 부럽다 혁준님. 주변에 계란형 같은 든든한 산같은 존재가 있어서 ..,44개
22,정현우,14:10 이분 왜이리 무섭게생김 ㅋㅋㅋㅋㅋㅋ 진짜 보스몬스터같네,39개
23,고준혁,4:07 왜 앞에 궁뎅이가 있누...,55개
24,jeorinebaetchew,오 굉장히 모시기 힘든 선수분이랑 스파링하셨네요,10개
25,김연태,"진짜 최고로 너무 웃기다 ㅋㅋㅋㅋ
억텐도 아니고 최고의 예능 프로그램 ㅋㅋㅋ",71개
26,유준서,"도라에몽 펀치 ㅋㅋㅋㅋㅋ
과거로 갈래, 미래로 갈래 ㅋㅋㅋㅋㅋ",38개
27,안성현,14:10 무에타이 리신 존똑 ㅋㅋ,65개
28,정용주,이번 편 진짜 레전드 나왓네 ㅋㅋㅋㅋㅋㅋ개웃기다,42개
