,youtube_id,comment,like_num
0,정은,"립 뭔가 바깥부분은 상대적으로 웜한데 안쪽은 더 푸른기있고 짙어서 엄청 예쁘구 신기해요! 근데 립 하나만 바른거였다니,,,",324개
1,수냥SUNYANG,이젠 놀랍지도 않다 너무 예뻐...,165개
2,Milktea,"When todos los comentarios están en coreano :v pero tú quieres hablar 

Quedó increíble lo voy a intentar 🤠✌🏻
Ahí después les cuento cómo me fue :v

Te amooo",132개
3,호두과자,언니처럼 엄청 좋은 피부로 바꼇스면 조켓서용용 ;3;,71개
4,YumiLee,언니 렌즈 정보 알려주세요ㅠㅠ!!,76개
5,,"뭘 발라도 피부가 챱 잘먹는 느낌,, 어우 너무 부러워욥 ㅠㅠㅠㅠㅠ",21개
6,박은지,희주님 어느덧 눈썹장인 되셨음 요새 눈썹 그리는 장면 보면 짜릿하기까지 함ㅋㅋ,12개
7,DenisseMiller,"She really looks like a doll, to pretty 🥺💓",53개
8,jiminPark,누가 렌즈 정보 좀ㅜㅠㅠㅠ,24개
9,우연경,언니는 쿨톤도 웜톤도 아닌 희주톤.. 사랑해여...❤️,57개
10,HS,어쩜 저리 인형같이 생겼지..💖🥺,45개
11,TryingtoFood,how does it feel when your beautiful and look in the mirror,20개
12,IreneBernal,Eres demasiado preciosa :'( pareces un angelito ✨,11개
13,무민요,"토니모리 와 진짜 광고 희주언니로 선택 탁월했다...
진짜 립 , 마스카라 꼭 살거야ㅠㅠ",22개
14,행보카쟈,언뉘 ....립 찰떡이야 진짜 ..넘 예뻐 ...사랑해 ..💛,35개
15,ArantzaFranco,"Necesito maquillaje de corea en mi vida. Es lo único que me falta para ser feliz :') 
Por cierto linda, el maquillaje te quedó divino ♡♡.",8개
16,YamiletSoler,"Me encanta!!! Esas mascaras se ve ven muy lindas, parecen lipstick cuando están cerradas, cuando acabe toda esta cuarentena, o antes si es posible, deberías hacer un giveaway para los necesitados, osea los que no podemos comprar tanto maquillaje lindo😂😂😂 bendiciones ❤",34개
17,caritae,"Justo ahora tenía maratón de tus vídeos y ¡PUM! video nuevo, amo amo amo. 💗🥺",24개
18,사랑해요,언니 제품 소개해주실 때 가격도 써주시면 더 좋을 것 같아요💖,7개
19,처돌이,내가 저 얼굴이였으면 쌩얼로다닌다ㅠㅜㅠㅠㅠ존예,4개
20,왕고구마,언니 이거 립 박제해요 너무 예뻐요 진짜 사랑해요..하아 너무 예뻐 어떡하지,4개
21,희주님0호팬지은,꺅😵너무 예쁘신 거 아니냐구여ㅠㅠㅠㅠ매일매일이 리즈...❤️❤️,11개
22,박지은,아 진짜 언니 사랑ㅎ요 ㅠ ㅠ  언니 못 본지 첫 플리마켓 이후로  한참 지났다 ㅠ  보고싶어용  코로나 조심해요 항상 💙❤️💜,9개
23,soberry,언니 진짜 오늘 메컵 너무 예쁘다 나도 이거 따라해볼게오 오늘도 좋은하루 보내요 !!,3개
24,지은,언니 귀걸이 정보 알려주세욤ㅠㅠ 오늘도 레전드!! 완전 이뻐여❤️❤️,5개
25,jimmy,렌즈정보 너무 궁그매여❤️,3개
26,YarethParkByun,"Aaah ya esperaba un vídeo tuyo, eres tan hermosa te amoo❤️🤧
Dame un corazón :c",9개
27,정어진,"알바 끝나구 바로 볼 거야,,,🖤",5개
28,ariCervantes,"I don't understand a word but I love this, thank's for do this videos, I learn a lot.♡",2개
29,맞닿음,4:18 이 마스카라랑 페리페라 잉크 볼륨 마스카라(핫핑크 뚜껑) 중에 뭐가 더 좋나요?!,1개
30,김효진,2초전이라니ㅠㅜㅡㅜㅜㅠ사랑해요 언니 오늘도 행복하쎄효 💜,4개
31,LuisaFernanda,Yo mo entiendo nada de lo que dice pero es preciosaaa 💕💕💕,8개
32,유멍멍,진짜 매 영상마다 리즈 갱신🤭 언니 사랑해 평생 영상 올려줘여ㅠㅜㅜㅜ💗,3개
33,콩콩이,이 온니 진짜 웜톤 여신이다..,2개
34,손스타일SONSTYLE,와 인트로 뭐야 cf인줄.. 피부 진짜좋다,1개
35,박은비,와 항상 느끼지만 언니 입술 너무 이뻐요ㅠㅠ 립 찰떡❤️❤️,2개
36,andrealeon,DROP THE SKINCARE ROUTINE OMGG im in luuuuv<33333,1개
37,Karenjae18,언니 ㅠㅠㅠ 정말 언니 메이크업 영상들 보면 뭔가에 홀린것 처럼 처음부터 끝까지 보게 돼요 🤤🤤🥰🥰 오늘도 너무 이뻐요💕 영상 잘 봤어요! 건강 잘 챙기시고 화이팅 하세용 🙏,1개
38,abrilrios,"Ahora que estoy en cuarentena y no tengo mucho que hacer, me pondré a practicar mi maquillaje para cuando volvamos a clases. Lindo video UwU",9개
39,정진아,일어나자마자 행복해••• 예뻐••• 다 살 거야 울 언니 사랑해 ❤️,3개
40,진서,"💟립 보고 들어왔어요ㅠㅠㅠㅠ진짜ㅠㅠ
안쪽에 보라빛 🦄도는 게 너무 예뻐서 들어왔는데 어쩜 저래 색감이.. 저게 하나만 바른 거였다뇨..🤭ღღ ღ",3개
41,lynYei,당신은 메이크업에 대한 자세한 것을 가르쳐 줄 수 있습니다 ... 사랑 하는 비디오 감사,3개
42,내인생임,아니 진짜 언니 왜이렇게 썸넬마다 안들어오면 후회 할것같이 만들었나요 진짜 미치겠네...ㅠㅠ 근데 저 여름에 쿠션 사려고 하는데 클리오나 다른 제품보다 토니모리가 더 매트하고 괜찮을까요? 잡티가 많아서욥,3개
43,전지은,와우 아침부터..희주님 영상으로 시작하는건가요...?🤍🤍 영상 보기전 댓글부터 달고 보려는데 영상 너무기대되용✨✨ 아 그리고 희주님의 스킨케어 아님 나이트루틴이 궁금합니다!!,5개
