닉네임,댓글,좋아요수,날짜
문복희EatwithBoki,"자막은 설정에서 활성화 해주세요 💗

안녕하세요 복희예요 🥰
오늘은 굽네치킨의 고추바사삭 순살, 시카고피자, 볼케이노 치즈치밥, 바게트볼 이렇게 가져왔습니다 ! 
평소에도 고추바사삭 (순살 러빗,,❤️) & 시카고피자 정말 좋아해서 자주 먹는데 (시카고피자는 시식으로 처음 먹어봤어요) 굽네치킨에서 협찬을 해주셨어요 👏🏻
먹고싶은거 하나하나 다 준비하다보니 어느새 테이블에 자리가 없더라구요 ,, 🤭
거의 집들이 하는줄 ^^ 누가 올 줄 알고 기다리고 있었는데 아무도 안와서 그냥 제가 먹었어요 희희
고추바사삭 순살은 말해 뭐해ㅠ 그냥 진짜 겉바속촉 완전 제스타일 ,, 아니 만인의 스타일 🍗
시카고피자도 적당히 달달 고소하면서 담백한 맛이 굿뜨 ! 치즈도 5가지나 들어가고 끝에 도우가 엄청 바삭바삭했어요 👍🏻
바게트볼은 크림치즈랑 마늘향이 진하게 나서 맛있었더라구용
가격은 1개 3000원, 2개 사면 5000원이라 더 싸게 먹을 수 있다는거 ! 치킨이나 피자 시키면서 사이드로 하나씩 줍줍하기 딱 좋은 늬낌인거같아요🌝
오늘도 잘먹었습니당 🙏🏻💕

Hello everyone ! This is Boki 🥰
Today, I brought chicken, pizza, and spicy cheese chicken rice🍗🍕✨
I ate the new baguette ball together and it tasted like garlic and it was delicious !
The chicken is boneless, it is made of my favorite leg meat, so it was soft and nice 👍🏻
There were five kinds of cheese in pizza, so it was delicious and savory.
It was a happy meal because I ate everything I liked!
Enjoy your meal too 🙏🏻💕

🍎복희 daily instagram🍎 @_luvmun
🍒Mukbang instagram🍒 @eatwithboki",22개,2020. 4. 28.
고구마호박23년전,english 댓글e 너무 many해서 요새는 댓글 read 하는 맛이 없da.. 그na저na 굽네 볼케이no 순살은 really 맛있겠다.. 퍽퍽sal one도 없구.. 매콤ha구.. 특히 시카고 pizza 진짜 맛잇겟다.. Chi즈가 도우 안쪽에do 있고.. Sim지어 치즈 ga루까지 뿌려져있네.. 도우do 바ask ba삭 소리나는게 정말 mat깔나 bo인다..,33개,2020. 4. 28.
ToorFam,"The way you eat is so elegant and clean 
Your face doesn't bloat when you eat
Even though the food is tasty, you make it look even more tastier
Thats why your my favourite Mukbanger
And even after eating that much how can you keep ur weight stable??
I'm jealous and I need to know how you keep your weight stable because i keep saying to myself that i should diet but few hours later i eat like its the End of the world
I am just torturing myself by watching these yummy food-
I want pizza :(",21개,2020. 4. 28.
ninapancake,"she just ate my breakfast, lunch, snack, and my dinner.",352개,2020. 4. 28.
Naokochan,How can her mouth hold all that food in just one bite? I’m impressed 😳,7개,2020. 4. 28.
ParisDreamer,I'd be in food coma after eating all of those foods. I would just sit in defeat and stare in the abyss while i subconsciously reflect what i have just done in my life 😆 Love love Boki ♥️,20개,2020. 4. 28.
김도현,"이거 영국남자에서도 나왔는데 영어댓글은 좋아요 많이 안 받아도 한국어 댓글보다 위에 있게 만들었때.. 난 예전에 한국어로 가득찬 챗이 보고시펑 ㅜㅜ

밑에도 보면 2.3천 좋아요 댓이 50 좋아요 댓글보다 더 밑에 있냐 빡치넹....",38개,2020. 4. 28.
Justbrocoli,"My brother: Can I have a bite?
Me: Sure.
My brother:",418개,2020. 4. 28.
julialopes,"Boki: Eats a million calories in one sitting, exercises, and still looks the same in every video.
Me: Decides to eat more than 2 slices of pizza for the heck of it, exercises hella a lot, and gains two pounds in a week.
ahhhh how unfair life is.",483개,2020. 4. 28.
IreneGraciella,"And here I am eating instant noodles during quarantine while Boki is having a whole feast:(


Btw Boki is so pretty :o",79개,2020. 4. 28.
RegularCommentator,"0:55
Caption: ""A bite of the chili chicken""

Boki: Devours the whole chicken piece.",39개,2020. 4. 28.
보현,"언니 혹시 다음에 후드티입고 안경쓰고 독서실에 가면 한명쯤 있을법한 그런 컨셉으로 추억의 간식모음 해주실수있나용,, 왠지 뒷배경도 어둑어둑하니 독서실 배경이랑 잘어울릴것같아효 ..!!",32개,2020. 4. 28.
Recoshawberry,I will always have this question how could she take such huge bites and not get messy,206개,2020. 4. 28.
AnyHow,Y'all i know what her secret is.. She's been hiding a secret portal inside her mouth.,281개,2020. 4. 28.
AlynAyu,We have same style about dipping everything haha 😂,18개,2020. 4. 28.
UjwalaVinodSapkale,Who is watching this video during lock down and feeling like eating,60개,2020. 4. 28.
