닉네임,댓글,좋아요수,날짜
만능혁키,"*정보 추가  - 아쉬운점으로 각도 조절이 안된다고 했는데 앞에 다리를 돌리면!!!각도조절이 가능하답니다!!! 대박이네용...👍🏻
    Air TV님 알려주셔서 감사합니다!!",2개,2020. 4. 24.
테크룸,하.... 이거 있으면 더더욱 집 밖으로 나갈 생각이 사라지겠군여...;;ㅎㅎ,9개,2020. 4. 24.
청계산입구역CSIG,장수원드립ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ방심하다 당했다,5개,2020. 4. 24.
회사랑RawFishEater,0:09 킬링포인트ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어떻게 저런 생각을 하시지...★,4개,2020. 4. 24.
정민우,휴대할 수 있는거 말고는 같은 가격의 TV보다 좋은점은 뭐가 있나요?,7개,2020. 4. 24.
yeoeun,6:04 빔프로젝트 밤에 보는 거 진짜 미쳤다ㅠ👍🏻👍🏻,3개,2020. 4. 24.
다올,"엄청나네요 계획세워서 하나 구입해볼까해요 ㆍㆍ LG관계자분 만능혁키 
빔프로젝트 하나 주심 안되요??ㅋㅋ되요",3개,2020. 4. 24.
배고파,집에서 혼자본다고 ㅠㅜㅜ,3개,2020. 4. 24.
김미경,"만능혁키님~~♡
항상  응원합니다~♡홧팅♡♡",3개,2020. 4. 24.
김동민,"??? 수면을 포기하면 수면위로 떠




저걸로 밤새 영화나...아 맞다 190만원
형 우리집에 옥탑방 있는데...밥말고 그냥 놀러...COVID-18 (오타아님)",4개,2020. 4. 24.
yeon,슬기로운 집콕라이프 LG시네빔 🤙🏻,3개,2020. 4. 24.
원정대장TV,"와~~5만명 축하해요!
저도 축하영상 찍어볼게요!ㅋㅋㅋ",4개,2020. 4. 24.
주정이,거기 영화관 얼마인가여? 입금할게요 ㅋㅋㅋㅋㅋㅋㅋ,4개,2020. 4. 24.
DIDROD양갱,빔프로젝트는 LG가 압도적이긴 한데 너무 비싸 ㅠㅠㅠ,6개,2020. 4. 24.
한국스나,오늘도 좋은 소식과 제품리뷰 고맙습니다 항상 좋은소식 감사합니다 역시 만능혁키님 좋은 영상잘보고가요,4개,2020. 4. 24.
푸른하늘,09:00 LG 담당자님 거 만능혁키에게 하나 줍시다 이정도면 AD가 매우 훌륭하지 않읍니까?,10개,2020. 4. 24.
미키롱,업스케일링 기능이 있나요? 사실 4k 영상이 많이 없어 실용성이 있는지 궁금합ㄴ다,3개,2020. 4. 24.
동혀니,"자세한 설명 감사드립니다.
와 가격이...
공포영화 좋아하는데
보면 완전 몰입되겠네요.
시네빔 적금을 들어야 겠어요 ㅎ",2개,2020. 4. 24.
WoosIT우스아이티,"정말 가지고 싶어요 혁키님 엉덩 아, 빔 프로젝터.. 🙃",3개,2020. 4. 24.
yeonjaekim,영상 퀄리티가 보통이 아니네👍👍👍 따봉박고 간다😎,4개,2020. 4. 24.
엘런,만능혁키 훈남혁키,4개,2020. 4. 24.
jangyouwan쀍,형..썸넬 너무 요염....(부끄),5개,2020. 4. 24.
왕십리원숭이,너무 잘생겼어요ㅠ.ㅠ 왠만한 아이돌들은 그냥 바르고 남을 외모세요ㅠㅠㅠㅠㅠ 하앍 너무 조아ㅠㅠ,4개,2020. 4. 24.
유튭키,"잘 봤습니다. 스크린, 삼각대 구매정보 좀 알 수 있을까요?",3개,2020. 4. 24.
세탁설LaundrySSul,아 지리네요,3개,2020. 4. 24.
MinJaeKang,저걸로 겜하면..... 어우 말이 필요없다 ㅋㅋㅋ,3개,2020. 4. 24.
캠퍼레메,미쳤다리 👍🏻👍🏻👍🏻,3개,2020. 4. 24.
보라혜미,역시 믿고보는 영상입니당 화이팅💕,2개,2020. 4. 24.
,실제로 보면 별로 입니다 티비가 나을정도,2개,2020. 4. 24.
AirTv에어티비,저거 저도 처음샀을때 몰라서 혼란왔었는데 앞 다리를돌리면 각도조절이 가능하답니다,1개,2020. 4. 24.
홍성엄,대여받고나서 별로네요 ㅎ 하고 돌려주시면 어캐되나요?ㅋㅋㅋ,0개,2020. 4. 24.
영하,3:07 ?,2개,2020. 4. 24.
슈퍼사이어인,와....정말 꼼꼼꼼꼼꼼꼼꼼 하게 테스트 하셨네요. 완전 꼼꼼이.   근데 너무 개 비싸요. 깍아 주세요~,0개,2020. 4. 24.
jk,그냥 검색해서 들어왔는데 생각보다 엄청나게 자세한 리뷰라서 놀랐습니다;; 잘봣습니다,0개,2020. 4. 24.
SteveJ,디스플레이! 하면 엘쥐인데 역시 빔프로젝트도 엘쥐군요. 진짜 나중에 집사면 거실 벽면에 아무것도 없이 소파하나에 엘쥐 빔프로젝트만 뙇! 두고싶은 로망이 생겼습니다 ㅋㅋㅋㅋㅋㅋㅋㅋ,4개,2020. 4. 24.
SYS,"크 lg 광고팀과 비교해도 손색없을 정도의 퀄리티인데
그냥 줍시다!",4개,2020. 4. 24.
머찐Or찌,엘지는 200만원대 빔프로젝터도 자동초점이 없다는게 흠입니다. 수동으로  맞춰야 하다니 참 ......,0개,2020. 4. 24.
jangyouwan쀍,형 우리 외삼촌 LG다니시는데 말씀드려볼께(만능혁키 이 정도면 이거 하나정돈 줘야된다..진짜..),5개,2020. 4. 24.
빈들tv,1,2개,2020. 4. 24.
