닉네임,댓글,좋아요수,날짜
딴트공말방구실험실,"가격은 업로드 4월29일 기준 G마켓 할인적용시 59만9천원 입니다. 제품 정보 :http://bitly.kr/cVUzto3L1 제품 가격은 업체 사정에 따라 차후 달라 질 수 있습니다.
노트북도 말방규! 영상에서 다하지 못한 이야기는?  여기서 : https://in.naver.com/ddantgong",13개,2020. 4. 29.
임재형,"잘보고 갑니다.
다만, AMD 르누아르 CPU 노트북이 나오는 시점에.... 구매는
존버 하는게 답일듯 하네요",23개,2020. 4. 29.
음악지기ND,가격으로만 보면 싼 거 같아보이네요. 아이폰 SE랑 가격이 비슷해요. ㅎㅎㅎ,5개,2020. 4. 29.
얌얌잉,"확실히 영상까지 보고나니 갓성비는 갓성비네요ㅎㅎ 
역시 판매율1위답네요 
인트로 바뀐것도 재밌게보고갑니다!",6개,2020. 4. 29.
소월,s340에서 백라이트 없애고... 배터리용량줄고...c포트 없애고... 가격은 비싸고,2개,2020. 4. 29.
니라자고가내,갓성비도 말방규,6개,2020. 4. 29.
치킨,"- [아이디어패드] Slim3-15IIL 5D 그레이 Big Smile 최대 혜택가 45만원 5월 20일 기준 지마켓, 옥션 빅스마일 가격",1개,2020. 4. 29.
곽대현,인트로 진짜...ㅋㅋㅋ,2개,2020. 4. 29.
studioDEEN,흠.. 3500U의 가성비를 다시 한 번 확인했습니다.,21개,2020. 4. 29.
징짱,아이스레이크들어간게 60이 안되네ㅋㅋㅋ땅파서장사하네,1개,2020. 4. 29.
멋진도레형,"Hp도 그 가격에 i5 10세대는 있지만
단점이... 컨트롤 센터가 없는것...
근데 그거 빼곤 만족하고 쓰고 있슴ㅎㅎ",3개,2020. 4. 29.
테리로,"새로운 인트로 ㅋㅋㅋㅋㅋㅋㅋ
노트북도 말방규~~~",1개,2020. 4. 29.
참모작전,저 애니메이션 비싸게 제작을 했을거 같은데 ㅋㅋㅋ,9개,2020. 4. 29.
비갈TV,ㅋㅋㅋ우와ㅋ,2개,2020. 4. 29.
상남자,썸네일 뭐얔ㅋㅋㅋㅋㅋㅋㅋ,0개,2020. 4. 29.
나의V로그,"0:15 노트북도 말방구
이것이 새로운 인트로 인가보네요? 재미있게 보고 갑니다!😊",11개,2020. 4. 29.
굴곡인생,말방님 늘 좋은제품 소개해주셔서 감사합니다. 그 수고 잊지않고 항상 응원하겠습니다 화이팅!,1개,2020. 4. 29.
무속인,Amd 4세대 존버갑니다,1개,2020. 4. 29.
꾸이꾸이,석탄절도 말방구~ㅋㅋㅋㅋ,0개,2020. 4. 29.
현명,브로 인트로 보는맛으로 영상 올라오자마자 봅니다 오늘 인트로도 만족 물론 영상도~,1개,2020. 4. 29.
륜상,어디서 또 병맛 인트로를 만들엇습니까 ㅋㅋㅋㅋㅋ,0개,2020. 4. 29.
신태일,인트로 ㅋㅋㅋ,0개,2020. 4. 29.
효진,인트로 또 바꼈네용 ㅋㅋㅋㅋㅋㅋㅋㅋ 날씨 넘 건조하고 일교차도 심하네용 건강조심하세요 딴트공 아조시~!!!!!화이팅!!!!👍👍👍,0개,2020. 4. 29.
방민성,항상 콤퓨타 리뷰해줘서 땡큐~ 형이 이렇게 리뷰 하는거 보고 바로 샀지! ㅎㅎ,0개,2020. 4. 29.
KingFrog,난 제품 보여줄때 짜잔짠짠이 그렇게 좋더라,2개,2020. 4. 29.
램선생,인트로갑 말방구ㅋㅋㅋ,3개,2020. 4. 29.
김승원,ㅋㅋㅋㅋ 노트북도 말방구 인트로 재밌네요,0개,2020. 4. 29.
라미아뮤직,이 가격이면 사무용으론 진짜 최고의 가성비네요~!,1개,2020. 4. 29.
Tey,"ㅋㅋㅋㅋㅋㅋㅋ 오늘 주말같은 느낌으로 집에 왔는데,
주말 대신 노트북도 말방규우 군요",0개,2020. 4. 29.
한국스나,"인트로 시리즈인가요 ?
1번째 무인도 ㅋ2번째 수련 ㅋ? 하이튼 재미있어요 ㅋ
오늘도 좋은 소식과 제품리뷰 고맙습니다 항상 좋은소식 감사합니다 역시 평일에도 말방구님 좋은 영상 잘보고가요",2개,2020. 4. 29.
승표입니다,인트로는 말방구~,1개,2020. 4. 29.
새나라오린이,"머야머야 드디어 싸고 효과적인...





ㄴㅇㅅ!!",2개,2020. 4. 29.
YongJunYoon,브로 괜찬은데요 레노버는 노트북 잘만드는거 같아요^^,1개,2020. 4. 29.
한국인korean,오 새로운 인트로!!!!,1개,2020. 4. 29.
최우주,슬림한 노트북 슬림한 딴트공?,2개,2020. 4. 29.
박문현,"뒤에 본체위 초록색 불들어오는
장식품 뭔가요? ㅋㅋ",0개,2020. 4. 29.
HYEONMINYANG,가격보고 혹해도 레노버는 꺼려지는게 ㅠㅠ,0개,2020. 4. 29.
muron뮤론,괜찮다!!!,0개,2020. 4. 29.
루키햄생,슬리~이~이입,0개,2020. 4. 29.
LlLl,항상 잘보고 있어요,0개,2020. 4. 29.
BB,역시 노트북은 레노버,0개,2020. 4. 29.
A물병자리,띠옹? 규규!,0개,2020. 4. 29.
박준환,"i5 9세대 9400F
RTX2060
DDR4 8GB x2
이정도면 배그 무슨 옵션까지 돌아갈까요?",1개,2020. 4. 29.
PattayaJD,"방금 구매완료 ^^ 
성능이 좋아보이네요",0개,2020. 4. 29.
YongJunYoon,1빠 늦은 2빠였음 ㅋ,1개,2020. 4. 29.
LeoKang,무게 1.64kg 면 그램보다는 훨씬 무거운 편에 속하네요;; 이 가격에 무게만 1kg에 가까워 진다면 더 좋겠네요,0개,2020. 4. 29.
넷상에서는익명쓰,저 cpu가 60만원대 노트북에 달린다고?,2개,2020. 4. 29.
희소가치,아재 뒷배경이 더 전문가처럼 보여요 굿~,0개,2020. 4. 29.
1학년전기과1반권민준,뒷문 문제는 어떤가요?,2개,2020. 4. 29.
루키햄생,it유튜버 특:인트로 유튜버임.,0개,2020. 4. 29.
Ck7,내장형...; 59,0개,2020. 4. 29.
