,youtube_id,comment,like_num
0,나응,언니 저 꽃 이름 뭐에요? 이사배였나...??,11개
1,빈BIN1년메이크업도전,메이크업 계의 EBS +도덕책.. '이사배',480개
2,서린,잉 ㅠㅠ 언니 서단메이크업 해죠요 ㅠㅠㅠㅠㅠㅠㅠㅠ,180개
3,수연,"fairy sabae..🧚🏻‍♀️
개인적으로 사배님 광 나는 내츄럴 핑크 메이크업 할 때가 젤 예쁜 것 같아요🤍",281개
4,정윤지,"진짜 고민 많이 하신거 느껴져요ㅠㅠ 채널에 영상 쌓일수록 새 컨텐츠 고민 많으실텐데 이번 영상에서 특히 새로운 컨셉, 스킬 고민해서 더 상세히 설명하시려는 게 엄청 느껴지네요ㅜㅜㅜㅜ 항상 하나하나의 영상 퀄리티도 좋지만 채널 전체 방향성도 치열하게 구축하고 계신다는 게 여실히 느껴져서 더 챙겨보게 되는 것 같아요!
솔직히 화장 잘 안하는데 그림 안그리는 사람이 그림 그리는 과정 지켜보는 건 재밌듯이 진짜 재밌게 잘 보고 있습니다😲",132개
5,챈쓰,오늘 설명 왜이리 많아여??? 도란도란 이야기하는 늒낌이라 좋았어요~^^,122개
6,포푸리Potpourri,"예전엔 컨셉위주의 메이크업이라는 느낌을 많이받은거같은데 갈수록 “프로페셔널” 느낌이..👍 뭔가 설명할때도 그렇고.. 보는것도 보는건데 집중해서 듣게되는것도있어요, 공부하는거처럼👀",188개
7,lotus00,"언니를 알게 된 후로 날이 따뜻해지거나 꽃이 필 때가 아니라, 사배 언니 봄 메이크업 영상 올라오면 봄이구나 해요🌷❤🥰",197개
8,yoon,"사배 언니 진짜 요정이야🧚🏻‍♀️✨
꽃 사이사이 날아다닐 거 같아요ㅠㅠ💕",167개
9,집수니이윤정,"0:25 쌩얼로 넘어가는데 진짜 입틀막,,너무 완벽ㅠㅠㅠㅠㅠㅠ이 메이크업도 도즈언💛",64개
10,도라도라,"예전에 생방으로 메이크업 하던 시절과, 초반에 입장하면 어떻게 알고 이렇게 일찍왔냐고 반기던 순간들 생각나요😭물론 지금도 너무 좋아요.",22개
11,yunajung,"코로나때문에 계속 집콕이고 마스크 쓰니까 화장도 잘 안 하게 됐는데, 사배님의 글로우한 봄 화장 보니까 기분전환되네용ㅎㅎㅎ🌸💕",76개
12,이서연,올해는 광채 나고 글로시한 게 트렌드인가 글로우한 메이크업이 많이 올라오네 요즘 광고도 그렇고... 난 조왕 ㅎㅁㅎ!!! 글로시 쵝오~!~!~!!!!!,29개
13,승또인,12:17 언니 웃는거 너무 예뻐요 계속 보게됨 🌹💕,23개
14,금빛나,사배님 피부자체가 물광촉촉이ㅠ 넘 이쁘잖아유!! 피부과를 다닌들 전 가질 수 없는  피부겠지만..피부관리팁도 공유 부탁드려요!!!😭❤️,40개
15,경희,사배님 꼬막눈들을 위한 메이크업 꿀팁도 알려주세요🙈 꼬막눈이라 아이라인을 눈을 따라 그리면 답답해서 끝에만 그리는데 펜슬종류말고도 리퀴드펜슬로 눈꼬리 예쁘게 그리고싶어요ㅠㅠㅠㅠ,8개
16,김연,크으으므으으 진짜 사배님 미모로 완성하는 메이크업ㅠㅠㅠ,26개
