,youtube_id,comment,like_num
0,햇커피향기,"광고는 하겐다즈 방송은 베라
저렇게 큰통이 후식이라니
통큰햇님 ㅋㅋㅋ",41개
1,문혜정,"저도 아몬드봉봉이 최애인데 어제 이 생방보고 상심이 컸습니다.. 
꿈에서 베라에 갔는데 눈앞에 뻔히 있는 아몬드봉봉봉 안주고 다른거 시키라고 하고... 진상취급 당하는 꿈까지 꿨어요..",30개
2,심아영,처음 시작하실 땐 모르셨겠지.. 아몬드봉봉봉을 대신해서 초코가 왔다는 거슬.. !,27개
3,이윤희,"베스킨라빈스 아이스크림 맛있지요 ㅎㅎ
햇님님 먹는거 보고 요즘에 조금씩 더워지는데
더위가 조금이 나마 가시는거 같네요 😇🤗
햇님님 소통 하시는거 듣다보면 순수한 면이
있으신거 같아서 귀여우세요🥰",13개
4,희희,"하프갤런을 돼지바사먹듯이 사먹는 어른이 되어야지,,",79개
5,빠파용,배라 알바생인데용 초코아몬드 봉봉은 이달의 맛이 아니라서 저번시즌 아이스크림이 몇개 빠져야 판매디핑에 넣을 수 있어용 배달로 초코아몬드봉봉 드실분들은 가까운 매장에 전화문의 하시고 드세용~~,5개
6,문쫑쫑,헐ㅋㅋㅋㅋ저두 오늘 배라갓다가 아몬드봉봉봉 먹어봣는뎈ㅋㅋㅋ기존 아몬드봉봉이랑 똑같은데 아몬드가 더 많이 씹히는 느낌이엇어옄ㅋㅋㅋㅋㅋㅋㅋㅋ맛은 기존 아몬드봉봉이랑 같구! 같이 간 친구는 달고나 먹어서 한입 먹어봤는데 메가톤바 맛!!!이더라구요🤔🤔,21개
7,고구마사줘,"봉봉봉 다나가서 대체맛들만 온 듯ㅠㅠㅠㅠ
이거 뭐 거의 홍철없는 홍철팀 아니냐구요",145개
8,연우,저거 언니랑 한통 먹고 한달동안 베라를 먹지 않았어요...,10개
9,햇쏘리야,늦게 리뷰 하시는 건 많이 봤는데 신상이 없는 신상 방송은 첨 봄ㅋㅋㅋㅋㅋ,147개
10,춘삼이네가족,아몬드봉봉봉 없는 아몬드봉봉봉 먹방...⭐️,13개
11,김한나,아빠는 딸바봉 나의 최애인데 근처에 없어서 속상쓰ㅜㅜㅜ,9개
12,항문에마요네즈뚜껑을껴서별똥을싸보자,언니 아몬드봉봉봉 리뉴얼된거 먹어봤는데 기존의 아봉보다 초코랑 아몬드가 더 많이 들어간거고 그외엔 그냥 아봉이에여ㅋㅋㅋㅋㅋㅋ 우런니 아몬드봉봉봉 기대하셨는데 못드셨엉ㅠㅠㅜㅠㅜㅠㅠㅜㅠ,174개
13,하니튜브Hanitube,입맛을 돋우는 햇님시.. 🥺 햇님언니 영상은 꼭보고 자지만 아이스크림마저 맛있게 드셔서 또다시 배고파짐.....,7개
14,DrHongFreshTV,베스킨라빈스는 가격이 조금 있어서 그렇기 맛은 진짜 맛있어요,5개
15,SongByrdASMR,That is a big bucket of goodness!,2개
16,쓰영윤,언니 31일날 싸리원데이 때매 아봉이 다 팔려서 없었나봐여 저희동네도 어제 품절이더라고여... 아예 통이 텅텅 ㅠㅠ,4개
17,R,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아몬드 봉봉봉 먹으려고 배라 시켰는데 아몬드 봉봉봉이 없어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,88개
18,bellawoo,"참고로 이건 TMI...일수 있지만...ㅋㅋ
햇님언니가 찾아본 아빠는딸바봉사진은 이달의 맛 선택하고 500원추가하면 싱글레귤러(덩어리한개)를 더블주니어(작은덩어리2개) 로 바꾸어주는 행사를 나타낸 사진이에욤🙂
그래서 아빠는 딸바봉덩어리하나랑 다른덩어리하나가 같이 있는 사진이랍니다   
-이상 한때 베라매니저였던 애청자였습니다ㅋㅋㅋ",17개
19,CURAJang,사람들이 아몬드봉봉봉만 시키나봄니다,3개
20,밤형인간,나도 아이스크림 한 통 안아끼고 먹어보고 싶다..,4개
21,봉이네TV,안그래도 더워서 아이스크림 생각하고 있었는데 햇님이 아이스크림 드시는 거 보니 더 먹고 싶어졌어요 ㅠㅠ,4개
22,눈누,"00:12 한가지맛 다른맛으로 옴
24:20 그게 아몬드봉봉봉임을 발견
언제발견하나 계속봤는데ㅋㅋㅋㅋ너무웃겨ㅋㅋㅋ",58개
23,김너구리,아몬드 봉봉봉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이름 개귀엽다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5개
24,miso,29:36 갑분헨 갑자기 분위기 헨리,9개
25,따개병,신상옶는 신상리뷰라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 참신해서 호다닥 들어왔어요,6개
26,임민희,"와.. 나 베스킨일할때 하프14900원인가했는데  12년전이지만.. 맞나? ㅋㄷ이젠 기억도안나네-_-
그때 파인트가4900원 용량은 안바뀌고 가격만오르네",3개
27,한씽,아닠ㅋㅋㅋㅋㅋㅋㅋㅋ 새로나온 봉봉봉 기대하시고 시킨건데 그것만 대체로 오면 우짜냐고 우런니 광광우럭따..😭😭,66개
28,ChaewonLim,아니 어쩜 아이스크림도 이렇게 맛있게 드실수가 있어요ㅜㅜ 침고여요ㅠㅠㅠㅎㅎㅋㅋ,4개
29,젤리알리,와우 저 사이즈 다 먹는사람 처음봤어,3개
30,김하이,"ㅋㅋㅋㅋ근데 언니 볼때마다 신기한데 ㅋㅋㅋㅋ
아이스크림을 떡 씹어먹듯 엄청 잘 씹어드시네요 ㅋㅋㅋㅋㅋㅋ너무 찰져요 ㅎㅎ",32개
31,전투민족,486? 비밀번호486? 하루에 4번 사랑을 말하고? 근데 그게 아니라구요??? 막 삐삐 암혼가 뭔가 그거인가용??,2개
32,그옴TVGUOMTV맛있는먹방채널MUKBANG,첫입 0:51,5개
33,먹제쉬ASMR,"베라 넘 좋아하는데 케잌 한 판 혼자 먹어본 적은 있어도
저렇게 많은 양을.. 것도 후식^^;",1개
34,이준수,와 그래도 오늘은 후식 한번드셨네,2개
35,dhkim,생방 저만 안보이나요? ㅠㅜ,4개
36,miso,33:31 인스타 아이디의 뜻,24개
37,김김뽀시래기,"언니ㅋㅋㅋ이 안시려워요? 크 언니는 민초는 안좋아하세유,.?",3개
38,crushbomb,선 댓글 후 감상,3개
39,샤론의꽃,언니 폰케이스 핵귀 ㅠㅠㅠㅠ,3개
40,메타몽,판타스틱 트롤로 맛있어요 언니 ㅋㅋㅋㅋ 다음엔 꼭 신상을...,3개
41,YEONHOKIM,지금 생방 아직이죠???,2개
