닉네임,댓글,좋아요수,날짜
TaksiRiaApriliaWati,"She can do everything by herself, pony you are such a multi talented woman",239개,2020. 5. 24.
KarineCx,So talented I didn’t know she could do her hair by herself,204개,2020. 5. 24.
졔졔,ㅋㅋㅋㅋ진짜 이 언니는 메이크업 할 때는 세상 정확 프로느낌 뿜뿜 이러고 브이로그할 때는 허당미 뿜뿜 엄마미소짓게 된다 진짜 온도차 너무 기엽,264개,2020. 5. 24.
TaEAnDaKoOkiE,"imagine being pony omg, a makeup artist, graphic designer, model and a multitalented person... oof😭 i love her💗",133개,2020. 5. 24.
JamielyndelMundo,When the model is also the makeup artist and the hairstylist... You're so gorgeous and talented! ❤️❤️❤️,33개,2020. 5. 24.
,4:40 she's having a photoshoot but the behind the scenes itself looks like a movie- Imagine the pictures🥺,132개,2020. 5. 24.
이미현,"헤어메이크업 다직접ㄷㄷㄷ역시짱이셔,,다른사람들은 다옆에붙어서 해주시는것만봤는데  와우 이언닌 촬영하는데도 어떻게 맡기시지않고 혼자알아서척척ㄷㄷ 정말 수고많으셨어요!!!!!!오늘도 예쁨만남았다고한다😍",71개,2020. 5. 24.
ScarlettN,The model who does her own hair and makeup,9개,2020. 5. 24.
ISuedMinYoongi,The way she says her cat's names are so cute and heartwarming ❤️,91개,2020. 5. 24.
몽실맹구,와 헤어까지 직접 다 하시는데 퀄 대박이다... 뽀니릠 역시 완벽해,46개,2020. 5. 24.
lololololalallaala,8:58 dream glow xD,24개,2020. 5. 24.
ASMCLC,Damn why is she so pretty she is pretty in another way i feel like she is an angel sometimes 😐💙❤️❤️😍😍😍,74개,2020. 5. 24.
자말리Jamali,언니 헤어도 너무 잘하시는데 나중에 자세한 튜토리얼 올려주세요오..💜,52개,2020. 5. 24.
CamelleMagto,i was trying to forget about the fig-wasp thing :(,50개,2020. 5. 24.
MichelleEuterpe,Pony listening to Dream Glow whilst literally glowing 💫,21개,2020. 5. 24.
MehnazRahman,7:17 her hairs totally looks like mine and I always hated my hair shape but she looks so pretty 🙄❤️,3개,2020. 5. 24.
유경,와.. 사람인가 진짜 예쁘다,29개,2020. 5. 24.
모야앙,"참 손재주좋다
화장도잘하지만 머리도잘만지고 그림도잘그리고~~",17개,2020. 5. 24.
이윤지,진짜 셀럽의 정석같이 생기셨다...세상 존예로움,10개,2020. 5. 24.
NashmiyaMohtram,How does she look good in everything 😭😭😭❤️❤️,3개,2020. 5. 24.
KevinThai,Pony is too beautiful and gorgeous and pretty! She is perfect ❤️,37개,2020. 5. 24.
아린,"아니 이사람 모야....  이쁘고 헤어 메이크업 다 잘하고 메이크업 보여줄때마다  항상 다른 느낌으로 이쁘고 멋있고
사랑해요 진짜❤❤❤",25개,2020. 5. 24.
김개똥,진짜 그냥 너무 이뻐... 너무 이뻐..,11개,2020. 5. 24.
해외간호대생쏘잔ssojanSN,"I love how this video has a bit of everything!! Make up + GRWM + look book + vlog♥️ ahhh all the outfits suit you so perfectly🤭 
무슨 영상 하나에 메이크업 + 겟레디윗미 + 룩북 + 브이로그 다있어ㅠㅠㅠ 너무 좋아 으아아아🤭",19개,2020. 5. 24.
lestyL,허류ㅠ 저 아나스타샤 팔레트 포니님이 한번 사용하신거 보구 엄청 갖고싶어하던 중이였는데ㅠㅠ 비티에서 해주신다니ㅠㅠㅠㅠㅠㅠ반드시 얻고말거에요!,23개,2020. 5. 24.
로온,언니 영상 보면 다른 세계에 있는 기분이야 진짜 너무 예쁘고 매력도 엄청 나 사랑해,14개,2020. 5. 24.
몽실맹구,10:11 ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 언제 나오나 계속 기다렸어요,8개,2020. 5. 24.
유영주,언니 레드도 잘어울리는데 잘어울리지않다뇨 이쁜뎅 레드착장이 이뻐용❤️,14개,2020. 5. 24.
배재령,1:16 I would've never guessed than Pony listens to Doja Cat but then again she is gaining such a huge amount of popularity lately😳,42개,2020. 5. 24.
고민성,"헤메 혼자 하시는거 진짜 너무 멋있다,,,🤎",9개,2020. 5. 24.
박한승,아싸 ㅠㅠㅠㅠ  아 행복해 브이로그라니 ㅠㅠ  언니 진짜 사랑해,7개,2020. 5. 24.
StephanieArenga,"Never been this early, pretty 😍",9개,2020. 5. 24.
김효진,헐 머리도 언니가 세팅하세요??대박ㅠㅠ 언니진짜못하는게뭐세요ㅠㅠㅠㅠ👍🏻,8개,2020. 5. 24.
R,the photoshoot looks so easy to do but in reality its so hard and tiring stay safe pony,14개,2020. 5. 24.
MarinaS,3:20 What is that lipstick? It is so pretty!,4개,2020. 5. 24.
GGSY,진짜 누구는 연예인이라도 되는냥 헤메 다 받고 하던데 역시 뷰티유튜버계의 월클은 달라요,4개,2020. 5. 24.
Arallist,"Hello Pony, I have been following you since your cyworld days, ever since I was in high school! It has been ten years for me now haha, thank you for your content, please take care!",22개,2020. 5. 24.
보름달,4:28 카메라로 찍은 후면인데 너무 예쁘다... 오아.... 그리고 언니 셀카랑 카메라 전면 후면 다 똑같이 너무 예뻐요ㅠㅠ,7개,2020. 5. 24.
MYOH,"Wow! You're so beautiful! Pony, you're always on point with your great fashion, beauty, make-up, and hair! You make me feel good and smile!! Sending much love! Stay safe, gorgeous!!!",2개,2020. 5. 24.
Midnight,"I love these type of vlog so much, it really goes to show how you work with others + your humble & yet funny personality 🥰 the assistant learning to use the cam parts also makes the vlog hilariously relatable 🤗",1개,2020. 5. 24.
SyanaBeauty,She’s so pretty and her character is so funnnn. Omg 😭,5개,2020. 5. 24.
DanielynTiquia,Imagine Getting a heart from her 🥺💜,18개,2020. 5. 24.
134340plutooo,i love how this queen does her own makeup and hair by herself for shoot 💜,3개,2020. 5. 24.
dontletcoronabite,I like how she disses every outfit that she's supposed to advertise lmaoo,0개,2020. 5. 24.
플레요,"진짜 레전드,,! 포니님 미모 레전드..❤
이런 브이로그 많이 많이 올려주세요😭 갠적으로 포니님 브이로그 너무 좋아한다구요,,🙈",8개,2020. 5. 24.
김개똥,7:21 렌즈 정보 좀 알려주세여~!,3개,2020. 5. 24.
,I have been wondering for a long time about the meaning of pony's tattoo.,1개,2020. 5. 24.
istudyer,she lowkey looks like joy from rv omg so pretty<3,4개,2020. 5. 24.
KimHwaYoung,"ILOVE YOUR MAKEUP STYLE 🍼
ILOVE YOU PONY🍑",8개,2020. 5. 24.
cherish,포니님 너무 이쁘세요><,6개,2020. 5. 24.
NirwanaAyustira,"Hi, Park Hye Min, I am wana from Indonesia. I have long subscribed your youtube, and I like all the makeup you make especially when you help someone become prettier. I'm very curious about your product. can you send it??  sorry if my english is a mess🤭",1개,2020. 5. 24.
LimelightLemon,She looks like Kang Mi Rae minus the gangnam part.,3개,2020. 5. 24.
Sannii,"3:11 it's a german song from a ""rapper"" which was really famous here in Germany. :D",0개,2020. 5. 24.
missmia196,She has the most elegant hands... A living doll 😍,6개,2020. 5. 24.
bluem00n,"Sigh...if I look like Pony, I will probably stare at myself for hours. I dont even like looking at the mirror sometimes.",3개,2020. 5. 24.
YoujinJang,"the ending, i'm wheezing 😂",1개,2020. 5. 24.
달하나,3:08 나  이제 무화과 못먹어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ으어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2개,2020. 5. 24.
