,youtube_id,comment,like_num
0,GoAle,"댓글 이벤트 당첨자입니다! 저희가 대댓글에도 답글 남겨 드렸습니다!!
메일 주소 남겨주시면 따로 연락 드리도록 하겠습니다! 참여해 주신 모든 분들 진심으로 감사드립니다!!!:)


최원일  - 황의조 싸인 축구화 당첨자 - 메일 보내드렸습니다!
14일 의경 체육대회인데 코로나때문에 취소됬네요..축구하는것만 기다리고있었는데 유튜브 보다가 황의조 선수 축구하는거보고 힐링하니요😢😢
 
 
현꾸   - 황의조 싸인 유니폼 당첨자
황의조 선수 정말팬이에요😭😭😭😭😭축구 경기때마다 쫓아가서 직관하고 황의조 선수님 저희동네 카페 자주온다는 소리듣고 매번가구요 근데 아직 사인한장 제대로 받지도 못하고 직찍도 못해서 정말 아쉬워요....!! 
고알레 영상도 꾸준히 보다가 황의조 선수 나오는거보고 후다닥 들어와서 영상 여러번 돌려봤네요ㅎㅎㅎㅎ 
황의조 선수님 잠시 군입대 하셔서 아쉽지만 기다릴께용!! 정말 정말 정말로 팬이고 사랑해요❤️❤️❤️❤️❤️ 황의조 화이팅 고알레 화이팅 당첨되길 기대하는 저도 화이팅👍
 
 
신병철 - 중독팬츠 당첨자
황의조, 이승우선수 반가워요. 컨디션 잘 유지해서 비록 (방역)후진국이지만 돌아가셔서 시즌 잘 마무리 해주세요. 다치지 마시고요.
 
 
배정일 - 7부 팬츠 당첨자 - 메일 보내드렸습니다!
와 새내기듀오 새내기답지않게ㅋㅋㅋㅋ모든게 완벽하네요ㅋㅋㅋ그냥새내기가 아닌 유럽물먹은 새내기네요 앞으로 황의조 이승우 선수 앞으로 승승장구 하길바라겠습니다~~신형민 선수가 너무 조금 나와 아쉬웠습니다~",31개
1,JacobCheon,국가대표와 편하게 경기를 뛸수있다는게 얼마나 부러운지 모릅니다..👏🏻 무엇보다 고알레님의 채널을 통해 딱딱하기만 했던 국가대표를 매체를 통해 쉽게 접근할 수 있음에 좋았던것 같습니다..😊 개개인의 능력으로 제치고 만들수 있음에도 같이 만들어가려는 모습에 한번더 점검합니다:),22개
2,Ciaobello,국가대표다 국가대표... 고등학교 때까지 선출만 해도 조기축구회 가면 씹어먹는데 일부 모지리들 대한민국 국가대표 너무 무시하는 경향이 있다... 밥 먹고 축구만 한 사람들 중에 한국에서 제일 잘 한다는 사람들인데,178개
3,백영빈,정말 멋있는 분들 .. 자신의 꿈을 이룬다는 게 쉽지 않을 텐데 정말 응원합니다 !!,15개
4,정대성,8:18 아니 갑자기 메시빙의를..,36개
5,코주부,"와 진짜 확실히 국대는 다르네 ㄷㄷ.. 침투,호흡,마무리 까지 기가 막히네요 국가대표팀 화이팅!!",18개
6,CristianoRonaldo,그래도 여기서라도 이승우가 선발을 할수있는모습을 보니 좋다,141개
7,아아아,이승우 선수와 황의조 선수 지금도 항상 응원합니다 코로나 같이 극복합시다! 고알레 멤버들도 헝상 건강하시길 바랍니다 코로나 모두 이겨냅시다!,2개
8,Donquixote,와 상대팀은 무슨 영광이야 살면서 국대선출아재랑 해보기도힘든데 현역국대랑 공을차보네 ㅋㅋㅋㅋ부럽다..이승우선수한테 알한번먹어봤으면,130개
9,민꿀,옆 구장에 있는 사람들는 황의조랑 이승우 선수 온거 몰랐나...ㅋㅋㅋㅋ 나였으면 저날 경기 안뛰고 철망 뒤에 서서 계속 보고 사진찍었을듯,42개
10,최상구따리또,“진짜 미쳤다” 한 마디로 끝.,8개
11,최준혁,이승우 선수 너무 다른 사람들 의식하시지 말고 괜히 왈가왈부하는 사람들 때문에 힘들어 하지 마세요 누구보다 더 노력하고 있는 거 팬들은 다 아니 힘내시길 바랍니다 화이팅!!!,28개
12,WooKim,9:57  이승우 순두부 터치... 지렸다,18개
13,송민규,"코로나 때문에 축구도 못하고 ㅜㅜ
선수들은 얼마나 힘들겠어요
의조 선수 승우 선수 힘내세요!!
고알레도 화이팅!!!",17개
14,정민우,고알레 영상에 다른채널과는 다르게 국대 선수들이 여러번 나와서 그들의 플레이 스타일을 보고 따라 할수있어서 좋은것같아요,3개
15,CRINOtv,와 의조형....캉ㄹ안란ㅇㅀㄴㅇㄹ아....승우형 진짜 응원합니다. 와와왕!!!!!,10개
16,minjunGoo,역시 국대네 설렁설렁해도클라스가 다른게 보인다,25개
17,퉤,아무리 불백이니 뭐니 놀림감이라도 공 차는 수준부터가 다르구나;;;,13개
18,JunghoPark,축구경기가 없는 요즘 너무 재밋게 봤습니다 ㅠㅠ 역시 국대 클라스는 엄청나네요!! 황의조 이승우 선수 전부 리그경기 챙겨보고 있었는데 얼른 재개되서 밤에 잠못자게 해주세요!,1개
19,RiverJung,이승우 선수 언제나 응원합니다 GOD BLESS YOU,16개
20,동꾸준,황의조 선수 아시안게임에서 보여준 모습은 잊을 수가 없어요 최고의 선수,21개
21,애벌레,축구 따로 하러 가시는 분들은 아실거임... 볼트레핑 키핑 몸싸움 타이밍 패스까지... 쉬운거 하나도 없는데... 역시 축구선수들은 다르다... 국대선수님들 화이팅!!,14개
22,강승재,이승우 황의조선수 힘든시기 같이 이겨내고 소속팀에서나 대표팀에서나 좋은 모습 보여주셨으면 좋겠습니다 저는 이승우선수 팬이라 특히 더 파이팅하시구 행복하셨으면 좋겠어요ㅎㅎ,59개
23,YoungminCho,황의조 선수분과 이승우 선수 두분다 진심으로 존경합니다 진짜 두분다 저의 우상이십니다 호형님도 이 분들과 같이 하신다니 정말 존경스럽고 평생 응원하며 영상 꾸준히 보도록 하겠습니다 화이팅 하세요,4개
24,정민우,"호형이 엄청잘한다고 느껴졌었는데 지금은 이승우선수, 황의조 선수 플레이를 보니 역시 국대는 다르다라고 세삼 느낌니다.ㅋㅋ
호형 .. 저 팬츠 하나만 주시면 안될까요???아.. 장난이에욬ㅋ",19개
25,정동원,프로들은 진짜 여유랑 센스가 남다른거 같다. 특히 시야나 타이밍 터치가 진짜 예술이다,35개
26,김장회,"황의조 선수 풍생고때부터 팬입니다~ 아시안겜때도 믿고 1:100으로 네이버 댓글로 싸워왔습니다! 인증가능!성남 강등때도 떠나지 않고 승격위해 뛰어주어서 비록 승격은 못했어도 행복했었고, 일본 거쳐 보르도 가서도 여전히 1픽으로 응원합니다! 선물은 굳이 못받더라도 이 글 보고 의조선수 좀 더 힘냈으면 하네요!! 파이팅입니다 더더더 가진 재능을 다 보여줄 수있는 선수가 되어 주세여!!ㅎㅎ",5개
27,임용현,코로나로 인해 힘든와중에  호형이랑 축구하는 모습보니 좋네요.ㅎㅎㅎㅎㅎ 두분다 코로나 잘 극복하시구 유럽에서 한국축구의 힘을 보여주십시오. 황의조 이승우 투톱조합좋아보이는데 국대에서도 가능하겠죠?ㅎㅎㅎ 항상응원하겠습니다,6개
28,용용,8:44 안다치게 안다치게 라고 하시는게 좋네요ㅎㅎ,7개
29,호기로,유럽에서 외롭게 축구하시느라 고생많으십니다. 앞으로도 활동 안다치시고 잘 해주시고 좋은결과 있으시길 바래요 다들,21개
30,꿈을키우는한별이,이승우 선수 좋아합니다 이승우 선수 고알레 촬영 와주셔서 감사 합니다.~~~~~~~~~,6개
31,동꾸준,황의조 선수 호주전 골 이승우 선수 일본전 골이 제일 생각 나네요 ㅎㅎ 빨리 국대경기 시작했으면 좋겠네요,12개
32,ROKSON,"이승우선수 드뎌 선발로 뛰기 시작하셨는데...코로나 땜에ㅠㅜ

힘든시기 잘 이겨내시고 더 성장하셔서 더 큰 무대에서 뛰시길 항상 응원합니다☆",64개
33,한치한찬영,"코로나 때문에 축구 못보고 있는데 황의조, 이승우 선수 보니까 기분이 좋네요!! 이런 영살 많이 찍어주세요~!",4개
34,궐토,선수는 선수구나... 고알레 덕분에 국대선수들 경기 볼수있었네요 감사합니다ㅜㅜ,12개
35,하하하하핳,와...역시 국대.... 이길수가 없구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8개
36,왕초보영어Simon,"하루에 한경기장 한게임에서 두개의 컨텐츠를 만드는 고알레 역시 깨알 축구유투브 인정👍👍 언제나 응원합니다 
저는 풋살화가 너무 가지고 싶네요 개인적으로 성남에 있을때 부터 팬이었어요🤙 동갑내기 황의조 선수!! 역시 잘될줄 알았어요",2개
37,LevandofMATEO,"이렇게라도 선수들 축구하는거 봐서 너무 감사하다ㅠ 
근데도 빨리 축구가 보고싶다ㅠㅠㅠㅠ 코로나 제발 빨리...",38개
38,박건양,국가대표는 진짜 움직임부터 다르다,2개
39,reallife,"와 패스, 크로스의 질이 다르네요....
이승우 선수, 황의조 선수 열정적으로 임해주는 모습 보기 좋네요",5개
40,IdiotUltimate,이것이 바로 미친 섭외력...,3개
41,해춘이,"넋놓고 보게 되는 영상...
보면서도 실감 안나는 영상..
황의조 이승우 선수 화이팅 하세요~~!",2개
42,김경문,와 역시 고알레 대박이네 저 진짜 황의조 선수 팬입니다 !! 예전부터 자주 직관하고 많이 찾아봤는데 고알레 채널에서 벌써 3번째네용 이승우선수도 화이팅하시고 두분다 리그에서 빨리 봤으면 좋겠습니다!!,12개
43,석승민,진짜 프로는 프로구나 싶네요 ㅋㅋㅋㅋ 너무 잘하는데,1개
44,김민철,진짜 개잘한다.. ㄷㄷ,4개
45,채영,"저번에 이어서 이번에도 역시 고알레,, 황의조 선수 정말 팬인데 코로나때문에 경기도 못보고 있었는데 이렇게나마 볼 수 있어서 너무 좋네요! 얼른 코로나 끝나고 직접 경기도 보러가구싶어요😢",2개
46,난신,와..... 진짜 차원이 다르네;;; 저걸 막는 상대도 대단하네여 ㅋㅋㅋㅋㅋㅋㅋ,6개
47,원세연,"우선 선수님들을 볼 수 있도록 영상을 올려주셔서 감사합니다ㅠㅠㅠㅠㅠ😭 구독 꾸우우욱 눌렀습니다!!
황의조 선수님, 이승우 선수님은 정말.. 말로 표현 할 수 없이 열심히 경기하시는 모습 정말 멋있어요... 부상없이 항상 좋은경기에서 멋진 활약 앞으로도 많이 보여주세요!! 늘 응원하겠습니다 

✨🇰🇷대한민국을 빛내주셔서 감사합니다🇰🇷✨

GoAle 화이팅! 앞으로도 좋은 컨텐츠 부탁드려요🥰
국가대표 선수님들도 화이팅! 자랑스럽습니다🔥",10개
48,오유이,"대한민국 축구 화이팅 응원합니다 ^__^ 다들 건강 조심, 행복 가득한 하루 되세여 ~~~~~~~~ 😄",5개
49,강서구불헤어드라이기,0:58 오오미 기럭지 ㄷ ㄷ,4개
50,3812이동희,두 선수 모두 너무 잘하세요ㅠ 두분 시즌 다시 시작하면 평소처럼 좋은 모습 보여주기실 바라겠습니다ㅎㅎ,2개
51,배코리타,항상 응원합니다 선수분들도!!,1개
52,퐁당퐁당,와 국대선수분들이랑 한 번 공차보면 소원이 없겠네요 ㅠㅠ,1개
