,youtube_id,comment,like_num
0,범또유,아니 영상 퀄 실화?.. 청룡영화제 보는줄,330개
1,지오이,3:35 아찔한매력! 가을을 위한 몽환메이크업 이거 진짜 너무 예뻐서 예전에 캡쳐까지 해놨어요 ㅠㅠㅠ 저 머리랑 너무 찰떡이고 진짜 몽환적인 분위기 장난아니에요 예전부터 쭉 최애메이크업이랍니다...❤️,239개
2,이혜지,"2:47 청순한 느낌으로 눈이 크고 길어보이는 데일리 메잌크업!!!!!!!!!!!꺆!!!!!!!!!!!!!!!!!!!!!!!!!저 언니 유튜브 시작해서 영상 한두개 올리셨ㅇ르때부터 보던사람인데ㅠㅠㅠㅠ 이영상이 진짜 지금까지 본 메이크업중에 제일예쁘고 잘어울리세요......저 이영상 너무너무 사랑해요 진짜!!!!!!!!!!!!!!!!!!!!ㅠㅛㅠㅠㅠ
아니저거 저 ㅇ진짜 맨날 틀어놓고 따라하고 그리고 자기전에도 한번씩 보는데ㅠㅠ
하 진짜 너무사랑하는 영상이예요 너무예뻐요
언니 정말로 저영상 저메이크업이 진짜진짜 언니한테 찰떡이고 인생메컵이고 너무예쁘고 왠만한 연예인 저리가라고 진짜진짜 너무 예쁘단말이예요....
저때 저 메이크업.... 저 헤어..... 심지어 갖춰입은 옷이랑 귀걸이까지 저렁게 완벽할수가 없어요ㅠㅠㅠㅠ하...조회수로 밀리긴 했지만 청순부문에선 영상이 1위가 돼야해요..............진짜로.....내 모든 진심을 담아서.....ㅠㅛㅠㅠㅠㅠ",30개
3,배고파,"3:36 이건 진짜 역대급... 이때 영상 썸넬보고 진짜 너무  충격적이어서 10초간 멍때렸어요 ㅠㅠㅠ 람뀨언니 최고다최고 평생 유튜버 해주세요
그런데 진짜 이렇게 모아놓고 보니까 천의얼굴이시군녀 어떻게 이런 다양한 메이크업들이 찰떡일수있나여ㅠㅠ",68개
4,이희영,2:48 진짜 제 최애 메이크업 ㅜ.ㅜ 이런 스타일 너무 좋아요😻,67개
5,꾸잉쿠,"와.....저는 절대로 하나만 꼽질 못하겠어요....
시상식도 공동수상 많은데 저도 공동수상 택하겠습니다.......ㅎ
청순 2:48, 2:53
힙스터 3:24 3:33 3:35
러블리 5:48
커버 6:27 6:33 6:51
다 필요없고 2019년도 함께한 우리 나무꾼 언니 대상👏👏👏
언니 2020년도 좋은 영상 잘 부탁드리고 항상 좋은 일 가득하시길 바래요!!",8개
6,정연,3:31 이 메이크업으로 처음 라뮤끄님을 알았었는데ㅠㅠ 진짜 이런 몽환(?) 느낌있는 메이크업이 너무 잘어울려요ㅠㅠ 이때 BT21 제품으로 메이크업하셨었는데 상대적으로 저렴한 제품으로 저렇게 완벽한 퀄리티를!!!!!!! 진짜 이 메이크업은 레전드❤,79개
7,SEKIM,않이 이 영상 퀄리티 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ중간에 광고 진짠주알고 건너뛰기 누름 ㅋㅋㅋ,24개
8,슬,6:27 이거ㅠㅠㅜ진짜 제 최애ㅠㅠㅠ 제 마음 속엔 아직 라비서 언니가 살아요...,37개
9,린이,3:24 와...너무 머싯어....내 최애는 이거다..,9개
