,youtube_id,comment,like_num
0,노아,그래....나는 이 날 만을 기다렸어.....뷰티 유튜버가 자신이 가지고 있는 다양한 화장품들을 마구마구 부시는 영상....,4개
1,문혜민329,그냥 소모적인 화장품 부수기 컨텐츠가 아닌 화장품을 올바르게 버리는 법을 알려주는 회사원 당신은 도덕책...,2개
2,정주리,"매번 느끼는거지만, 꾸준히 뷰티라는 주제로 다양한 콘텐츠를 시도하고 만드시는게 멋있으세요:) 얼마전에 랜선 라이프에 출연하셨던 옛 영상을 보게되었는데 뷰티계의 무한도전이라는 수식어가 너무 잘 어울리시는것같습니다:)",28개
3,wolfBM,"저도 유통기한 많이 지난것은 
저렇게 부시고 갖고 놀다 버림 ㅎㅎ
버리기전에 아까워서 한번씩 발라보고
버리시는것 왠지 귀엽 ㅎㅎ",910개
4,급발진,06:25 원 다 그려줄줄 알았는데엑~!!,690개
5,행뀨,언니 유통기한 지난 화장품으로 그림그리는건 어떨까요?🤔🤔🤔,240개
6,일칠일삼,20:15 치킨시키면 딸려오지만 안먹는 샐러드..,889개
7,kh,가루네버다이 아닌가요? 울집화장품 유통기한 눈감아ㅠㅠㅋㅋㅋㅋㅋ,290개
8,아리,언니가 화장품을 부수니까 왠지...제품 이름이 무엇이고 사용감이 어떤지 알고싶어져...,717개
9,이하은,9:42 아니 이것은 팬톤 올해의 컬러 로즈쿼츠 세레니티 시절 팔레트ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ결국 별로 안쓰셨군욬ㅋㅋㅋㅋ,262개
10,화이,".. 중학생때 산 섀도우 아직도 쓰는데ㅋㅋㅋㅋㅋㅋㅋ(현 대학생) 가루류 유통기한은 평생 아닌가요 ......... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
잘보고가용",646개
11,나만없어동물의숲,나만 손톱 사이에 낄까봐 계속 손톱 쳐다보는거임????,464개
12,김효진,9:14 너무 집중해서 보다가 순간 나한테 튀는줄 알고 눈감아ㅛ답 ㅠ,320개
13,아로이로,"화장품 부수기 ASMR 대리만족 하려 왔는데 화장품 제대로 
버리는 방법도 알아가네요 ㅎㅎ",348개
14,이율,01:35 시각적 팅글 대박  ..,200개
15,조다희,팬톤 섀도우 팔레트가 벌써 유통기한이 다 지났다고요??? 당황스럽네요.... 시간이 이렇게 흘렀다니....,81개
16,윤주영,"💙타임라인 Timeline❤️
0:01 미리보기 Preview
0:16 시작 Opening remarks
1:05 하이라이터 Highlighter
1:43 파우더 Powder
4:26 블러셔 Blush
4:41 파운데이션 Foundation
5:46 쿠션 Cushion
6:39 쿠션 2 Cushion 2
7:50 쿠션 퍼프 Cushio puff
8:35 파우더 2 Powder 2
9:34 파우더 퍼프 Powder puff
9:40 아이섀도우 팔레트 Eyeshadow palette
11:48 하이라이터 2 Highlighter 2
13:39 립스틱 Lipstick
17:51 아이라이너 Eyeliner
18:24 아이라이너 2 Eyeliner 2
19:40 컬러코렉터 Color corrector

이어폰을 끼고 듣는 것을 추천드립니다.
Use headphones/earbuds for the best experience.",193개
17,이쁜년,7:54 아니 이것까지 자를 거라곤 생각 못 했는데 ㅋㅋㅋ,469개
18,,6:03 짜릿..,162개
19,한나,"그와중에 네일모양이 익숙한거보니 저 네일은..!!! 미아루체네일이다!!
2020년에도 계속되는 회사원님의 빤짝사랑",225개
20,감기땜에눈이감겨,4:44 개오지는 파데 소리,11개
21,,14:22 소시지 같이 생겼다..,374개
22,주먹불,가발빗으로 부수는 소리 전 갠적으로 별로네요....ㅠㅠ 쇳소리가 많이나요 흑...흑...,22개
23,말랑이,0:31 유통기한 지난 화장품 올바르게 버리는 법  = 화장품 버릴때 케이스랑 내용물 따로 분리해서 버려야함.액체타입 : 다 짜서 / 파우더 타입 : 다 파서 따로 일반쓰레기로 버려야함. 패키지가 보통 플라스틱인 경우가 많음 ➡️ 플라스틱 재활용 쓰레기로 버려야 함.,92개
24,옅은,17:30 머야 이거 넘 예뻐,19개
25,,12:50  더바디샵 풀메이크업 본게 엊그제같은데 벌써 몇년전이었어 ..,291개
26,castlemoon,10:29 취저... 겉표면이 좀 언 첫눈 밟는 소리 나요 ㅠㅠ서걱서걱,43개
27,도영,9:40 팬톤색들...? 넘예...짱예...,143개
28,새벽,너무너무 잘 하신다 asmr 전용 채널 새로 만드시는 것도 괜찮을 듯,15개
29,김민선,뷰티유투버가 하니까 너무 짜릿하다,92개
30,연지,소리는 너무 좋은데 손톱 사이에 낄까봐 마음졸이면서 봤어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠㅠ💕,118개
31,lyumaj,13:40 부터 팅글....립스틱 굴리는거 넘 조아요,47개
32,서현,13:23 육개장 라면스프 색같다 . .,51개
33,이율,19:45 에,22개
34,도영,7:40 왜이렇게 맛있어 보이지.....,115개
35,야옹,언니 기한지난 화장품 바르시면 피부에 안 좋은 거 아니에요?... 민감킹 울 언니 피부 아플까봐 걱정 ×⑨⑨⑨⑨⑨⑨⑨...,83개
36,Emerald,13:26나만 라면스프처럼 보이나,51개
37,AAZZANG아짱,"asmr이라구 소곤소곤말하는거봐ㅠㅠㅠㅠ
우리언니귀여워서어떡해ㅠㅠㅠㅠㅠㅠㅠㅠ",154개
38,JW,굉장히 현실적인 영상미 ㅋㅋㅋ,38개
39,쑨,12:00 ~ 12:50 전-율 짜릿해,30개
40,GugiH,유통기한 지나고 못쓰는거 아는데도 맴찟ㅠㅠ,40개
41,김이안,조금 조금 날카로운 사운드가 들려서 아쉬웟어여ㅠㅠ 그렇지만 시각적으로는 시원하고 좋네요👍,39개
42,아라시,단순히 화장품을 부수면서 대리만족을 느끼게 해주실줄 알았는데 올바르게 버리는 방법까지 알려주시다니...👍,43개
43,김혜빈,아..화장품 절반 버렸는데 저렇게 다 부시고..버릴껄..난 바보여써ㅠㅠ,41개
44,이은솔,언니...진짜 미안한데요....그거 알아요? 저는 소리보다 네일에 더 눈이가요...,25개
45,이채원,6:35 달고나 커피 같다,31개
46,내가돈이없지네오가없냐,듣는거엔 관심없고 화장품이 부서지는게 좋을뿐.....,28개
47,V세리,악 다른건 몰라도 구 아멜리팩트는 진짜 못보겠다ㅠㅠ 지금은 구하고 싶어도 구하기도 못하는ㅠㅠ,47개
48,JiwonJeong,"06:17 항상 해보고 싶던 거 제대로 대리만족ㅠㅠ 캐러멜 같아서 빵에 바르고 싶네요 뭔가,,",27개
49,관종,부수는 방법도 정말 다양하게 해주셔서 지루하지않고 소리도 다양하고 좋았어요 ㅎㅎ,73개
50,미대생A,화장품이 얼마나 많으면 편집한게 20분일까ㅋㅋㅋㅋㅋㅋ,3개
51,김소현,퍼프 자를 때 뽀잉뽀잉한 느낌 미쳤...,8개
52,DAISY0613,o(゜∇゜*o)(o*゜∇゜)o～♪,86개
53,익헌아미,8:01 아 배고프니까 이것도 맛있어보여 ㅅㅂㅠ,16개
54,배예슬,언니 그냥 asmr채널 하나파자 너무좋다구ㅠㅠ,26개
55,CocoMint,"그래요 언니 이거에요!!!!
쌓아있는 화장품을 보며 내가 한 오천이백칠십삼만번정도 생각했는데 가 생각이 언니한테 닿았어!!!ㅠㅠ 이건 기적이야!! 영상 진짜 소중하게 볼게요🥺 앞으로도 이런거 많이 만들어주세요ㅠㅠㅠㅠ",19개
56,이보구미,asmr인데 광고를 빼주셨음 좋겠어용 ㅠㅠ 크게 듣다가 갑자기 광고 나와 귀터지는 줄 ㅠㅠ,15개
57,injazz9020,asmr로만 20분이나 나오다니....도대체 화장품이 몇개..,3개
58,로블록스거지다은,5:36 왜 기한지난거를 얼굴에다가 ..,13개
59,릴리유HandmodelASMR,화장품 부수기 asmr이라니ㅠㅠ 회사원님의 asmr이라니ㅠㅠㅠ 대리만족 느끼고 갑니당,3개
60,꾹이두바샤랄라,"오늘은..마음아픈 주제군요ㅠㅜ 뿌셔뿌셔..
날짜가 지났으니 그나마..",3개
61,시은,"꺅 드디어 울 언니도 ASMR 시작하셨다아ㅏㅏㅏ❣️❣️❣️❣️
뷰티 관련된 여러 가지 콘텐츠 마니마니 만들어주시는
회사원님 체고🥰😘😘😘😘😘😘",14개
62,일급비밀,아나도 버릴 화장품들 저렇게 갖고 놀걸그랬다ㅜㅜ 그냥 버렸는데,4개
63,윤사라,15:18 춰컬릿같아..,3개
64,제이J,속닥속닥 말씀하실때 진짜 너무 귀여우시구 마구마구 뿌시는데 너무 힐링되요 한마디로 언니가 짱이에요❤,8개
65,중요한부분,저 퍼프까지 자르는제품 보타닉힐보 고체쿠션 나름괜찮아요.. 단점은 바를땐 퐉 매트한데 나중엔 기름좀올라오는거..? 제가 유분폭발이긴 한데 저런고체쿠션 쓰실분들은 ㄴ그럭저럭괜찮습니다 3.5정도 무난느낌,4개
66,탬이,0:54 뭔가 화장품을 부실 생각에 희열을 느끼는 표정같아요ㅋㅋㅋ짜릿하네요,13개
67,꺄륵,뭔가 영상에서 봤던 제품들 나오면 반갑구 그런데 벌써 그게 유통기한 다 지난거라하니까 내가 유통기한 지난 느낌이야....,6개
68,주기율표,14:15 웜톤들한텐 환장하는 예쁜 색인데 회사원님한텐 수레기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2개
69,전정복,와 만들었다가 다시 부시는거 진짜 맴찢이다ㅠㅠㅠ,2개
70,탬이,소리도 소리지만 회사원님 손톱에 자꾸 눈이가요...이쁘다..,6개
71,이혜인,19:47 뿤풐핔 뿌쥐ㅣ지지쥑쥑지찌지쥑 어우 소리갘ㅋㅋㅋㅋ🤣🤣,4개
