닉네임,댓글,좋아요수,날짜
헤이즐Heizle,"삶이 건강함을 느끼고 있는 요즘..! 여러분들과 함께 건강한 즐거움을 나누고 싶어요~^^🦋
제 작품이 여러분들께 힐링이길 바랍니당🙏💙

🦋신데렐라 유니버스전🦋
장소: k현대미술관
기간: 2020년 4월 30일~10월 25일

🦋티켓 구매 방법🦋
네이버에 ""k현대미술관"" 혹은 ""신데렐라 유니버스"" 라고 검색하시면 바로 예매 가능합니다~!
(현장 구매도 가능해용~!)

*K현대미술관 #신데렐라유니버스 전 🦋티켓 이벤트🦋 참여방법을 알려드릴께요!!*

1. 헤이즐 유튜브 구독과 인스타그램 @heizlemakeup 팔로우 해주세요~!
👉https://www.instagram.com/heizlemakeup/
2. 지금 보시는 영상과 인스타 이벤트 신청 피드에 참여 댓글을 남겨주세용~!
3.신청은 5월5일 화요일까지 입니다!
4.당첨자는 제 인스타그램에서 5월 8일 금요일에 발표합니당~!!

*🦋인스타그램 인증샷 이벤트🦋 참여방법!!*

제 작품에서 예쁘게 인생샷을 찍으신 뒤, 인스타에 
#izleart #헤이즐 #k현대미술관 #신데렐라유니버스 
그리고 인물태그 @izle_art 

요렇게 5개를 태그해주시면 제가 5분을 추첨해서 화장품 꾸러미를 선물로 보내드릴께요~!!
인증샷 이벤트 당첨자는 인스타에서 5월 31일에 발표하겠습니당~!!

마지막으로 가장 궁금해 하시는 만남의 자리는 6월 정도로 예상하고 있어요~!! 
많은 분들이 함께 해야하는 자리인 만큼 시기를 봐가며 좀 더 안전한 방법으로 진행하도록 하겠습니다!! 
요건 추후에 확정되는대로 바로 공지해드릴께요~!!

저는 정말 수시로 전시장에 방문할꺼구요~!! 우리 모두 K현대미술관에서 만나자구용~!!

항상 감사해요 여러분~!! Heizle, have fun~!!



*헤이즐 인스타그램
https://www.instagram.com/heizlemakeup/

*헤이즐 아트계정🎨_ 🦋이즐화실🦋 인스타그램
https://www.instagram.com/izle_art/

@heizlemakeup  @izle_art

팔로우미!! 자주자주 놀러와주세용~.~😘😍❤️

#이즐화실 #헤이즐전시 #k현대미술관",255개,2020. 5. 2.
클레어,헤이즐 언니!🦋🦋저 언니 작품활동 무지막지하게 응원중인 찐찐 헤이즐넛입니다! 언니 전시 여신다고 했을 때 무조건 가야겠다는 생각 뿐이었어요ㅠㅠ 엄마한테도 언니 전시작품 보여주면서 같이 가자고 약속도 했거든요! 꼭꼭 보러갈게요 요즘 이즐아트 유튭보느라 힐링도 되구 자극도 많이 받고있어요ㅠㅠ 언니 보면서 항상 힘낼게요 화이팅❤ 이벤트 참여합니당🥰,11개,2020. 5. 2.
Anshul,"We think, we feel those amazing moments when everything clicks together and the art just flows out of us : )",4개,2020. 5. 2.
주은Jueun,"넘나 멋져용😆😆 그래듀 이즐님 작품을 전시한다니 이즐님도 뿌듯하구 헤이즐넛두 뿌듯합니당!!🥰😍요즘 이 시리즈 힐링되서 좋아요ㅠㅠ☺️이즐님,헤이즐넛 모두 항상 몸 조심하세용!😊",17개,2020. 5. 2.
라엘리Raeli,"와 헤이즐언니 만남의 자리 6월 언제인지 꼭 5월안으로는 이야기해주세요‼️‼️ 언니 보게 휴무를 정해야하거등요 ㅎㅎㅎㅎ 꼭 알려주셔야해요 ㅠㅠㅠ 꼭 헤이즐언니를 만나리❤️👉❤️
+ 울 헤이즐언니 너무 멋지드아아아아아😍",16개,2020. 5. 2.
이름없음,작품이 겉으로만 봐도 너무 아름답고 예술적인데 의미가 진짜 감동적이네요.. 번데기 속 거울에 비친 모습이 보이고 불이 켜지면 과거의 내가 보이는 연출. 그리고 날아가는 듯한 나비 연출까지 비상이라는 주제를 잘 살리신 것 같아요. 과거의 모습(번데기)에서 현재의 자신(나비)로 날아가지만 과거의 자신과 현재의 자신 모두 '나'라는 걸 받아들이고 사랑하며 성장하려는 게 너무 멋있어요.. 겉으로 보이는 것 뿐 아니라 작품이 이어지는 것까지 생각해서 만드셨다니 대단하세요.. 헤이즐님은 진짜 예술가에용..👍👍,5개,2020. 5. 2.
seyeonArt,"🌷티켓이벤트 참여합니다🌷저는 언니 컨텐츠 중에서 이즐아트 컨텐츠를 정말동말 좋아해요. 왜냐하면 제가 약 3년동안 미술입시를 하면서 점점 내가 하고 싶은 미술은 뭔지, 저의 개성,취향 등이 묻히는 느낌이었는데 언니가 아크릴 물감으로 캔버스에 자유롭게 그리는 모습을 보고 “와,이거다 내가 하고싶은게 이거구나”라는 생각이 들더라고요 그래서 바로 재료 구입해서 신나게 제 작품을 만들어 나가고 있답니다 제 미술개성을 생각나게 해주셔서 너무 감사해요 전시회 가서 언니의 설치미술도 보고싶어요 영상에서 보고 설치미술의 매력도 느끼고 정말 신기했어요!! 당첨이 안되더라도 친구랑 가서 구경하고 싶어요💐🦋 @20._.seyeon",6개,2020. 5. 2.
나영,"우와... 이렇게 언니의 꿈을 이루시는 모습을 보면서 너무너무 행복해요
이렇게 힐링이 되는 영상이 또있을까 싶어요!! 전시회도 꼭 가고싶어요❤️❤️",15개,2020. 5. 2.
채연남,🦋가고 싶엉요 전시회 좋아하는데 헤이즐님이 설치미술 하신다고 하셔서 꼭 전시 해주셨으면 좋겠다고 생각했는데 그게 실제로 일어나버렸어요!!!! 그래서 꼭 가야만 겠다고 다짐했죵😍😍 당첨 안되도 저는 꼭 갈겁니다🦋,8개,2020. 5. 2.
은지,이즐화실 진쨔 사랑해 내 인생에 유튜브 보면서 힐링 될 날도 오나니!!!ㅠㅠㅠㅠ,14개,2020. 5. 2.
김지원,"티켓 이벤트 참여합니다❣️❣️
제가 전시회 진짜 자주 다니면서 사진도 엄청 찍는데 제가 좋아하던 이즐언니의 작품이라니  흑흑 더 감회가 새롭네욥 ㅠㅠㅠ 전시회는 사비들여서라도 꼭 갈게요 아직 사회로 나가기 전인 저는 아마 누에고치 상태가 아닐까 싶어요 나비만큼 성숙해지려면 제가 그 고통을 감내해야하는 것 임에도 자꾸 안주하려는 마음이 생기네요..이런 혼란스러운 와중에 비상이라는 작품을 보니까 저도 언젠가 화려한 나비가 되어 넒은 하늘로 날아갈 수 있을지도 모르겠다는 희망이 생긴것 같아요 언니 앞으로도 유튜버뿐만아니라 이즐작가님으로 꽃길걸으시길 바랄게요💚",4개,2020. 5. 2.
민서minseo,하 진짜 이즐화실 이 컨텐츠 넘넘 좋다........진쨔 힐링이야.......ㅠㅠ 막 몽글몽글해지는 고런 기분 ㅠㅠㅠㅠㅠ 전시회두 꼭 갈꺼에요❤️🥰,5개,2020. 5. 2.
불낙지,이 시리즈 너무 힐링이에염..❤️ 전시회는 못가지만 응원할게요!!,73개,2020. 5. 2.
현이현이현,"🌹티켓이벤트참여🌹이즐언니 정말 축하드려용🦋🦋🦋 오랜 팬으로써 언니의 이벤트가 당첨되지 않더라두 가볼게용 영상 항상 잘 보고 있어요 이제 20살이 된 저는 코로나 덕분에 학교에가지도 놀지도 정말 아무것도 할 수가 없었어요,,ㅠㅠ 그래도 온니 작품보면서  위안을 삼을게요..😻 정말 축하드려요오옹",4개,2020. 5. 2.
오리예나,"언니 저 진짜 전시장 많이 안가는데 언니꺼는 뭐랄까 너무 예쁘고 직접 가서 보고 싶어요 .. 너무 너무 예뻐요 
가서 인생샷 건질게요 언니 🥰
이벤트 신청 합니당",3개,2020. 5. 2.
김남준의동공,10줄을 써도 당첨이 안되는 똥손 이라서 그냥 입닫고 있어야겠다 ..,4개,2020. 5. 2.
욘두부,"🦋티켓 이벤트 참여 합니다🦋
헤이즐님의 작품세계관을 직접보고 느끼고싶어요💗",3개,2020. 5. 2.
MYOH,"Heizle, this is so beautiful!! Coreans, have the most creativity and vision like no other! I love the gray butterfly and how it's hoisted up in the air to have its enlarged shadow reflect onto the wall! I enjoyed this video! You're so pretty, fit to be a queen! Wow.",1개,2020. 5. 2.
ABCEn,"엄청 기대되는 한편, 전시가 끝나고 나면, 목표가 없어지면, 또 다른 헛헛함이 오진않을까 걱정도 돼요 
덕질공간 마무리하시고 진짜 헛헛해보이셨거든요

전시회를.. 정기적으로...?",40개,2020. 5. 2.
소딩,"언니....ㅠㅠ 진짜 커서 하고 싶은거 다 하면서 살고 전공을 활용해서 개인전시회도 열고 같은 미술전공이고 메이크업에 관심이 많은 저의 롤모델은 진짜 언니에요...
며칠전 화실 예중재학반에서 재미로 그리고 싶은 연예인을 가져오래요...언니 사진 뽑아갈려 했는데...언니한테 허락도 못 받았고 사진도 많이 못 찾아서 못 그렸어요.ㅠㅠㅠ
언니 정말 언니를 닮은 전시네요 나중에 기회되면 꼭 가서 보고 싶어요 사랑해요 😍❤",3개,2020. 5. 2.
김희정,"금손 헤이즐 언니 패션, 메이크업, 미술 진짜 못하는게 뭔가요? 저 전시회 보러다니는게 취미생활인데 꼭 당첨되어서 가고싶어요 🦋❤",3개,2020. 5. 2.
정혜원,엉니 전시회 너무 가고싶어요 🥰 참여완료입니다 🍒,4개,2020. 5. 2.
해인,진짜 너무 가고 싶은 전시회입니다ㅠㅠ 아는 언니랑 같이 갈려고 준비 중인데 이벤트 당첨되서 가면 너무 행복할 것 같아요!! 당첨 안되도 갈거지만 그래도 응모해봅니다!! 전시회 성공 하세용❤️,2개,2020. 5. 2.
권은성,🦋참여합니다🦋 헤이즐님 진짜 ...이렇게 전시까지 하시다니 이건 무조건 보러가야해요ㅠㅠㅠㅠㅠㅠㅠ멋진작품속에 담겨있는 의미도 너무 좋네요 헤이즐님만의 그 느낌이 엄청 수준높고 감동적인것같아요ㅠ꼭 가고싶네요✨❤️❤️,3개,2020. 5. 2.
루시,"헐헐 저 진짜 반드시 가고 싶어요 ! 
언니 진짜 항상 응원할께요❤️
이렇게 한걸음 한걸음 찬찬히 소중히 나아가는 건가요
앞으로도 화이팅 하세욤 💝💝",5개,2020. 5. 2.
Cherny체르니,참여합니다🦋🦋 언니가 꿈을 향해 비상하는 모습이 제 삶에 동기부여를 해줍니당!!!! 중국교환학생이 코로나 때문에 취소되어서 ㅠㅠ 전공에 대한 고민을 하고있는데 전시회에서 자아성찰을 할 기회를 갖게되면 좋을것같아요!! 이쁘게 사진도 찍고📷💖 그리고 정말로 축하드려요!! 덕후룸에서 우울해 하셨던 모습에서 비상해서 전시회로 날아오르고 더 날아오를 헤이즐을 응원해요! 💖💖,17개,2020. 5. 2.
리쥬리,"이벤트 참여합니다~~!!
전시를 이렇게 빨리 해내시다니!! 정말 하나도 힘든와중에 다양한 것들을 소화하시고 결과도 이루어내시는 것이 너무 대단하다고 느껴져요!! 정말 배운게 많은거같아요!!",2개,2020. 5. 2.
최단비,"티켓 이벤트 참여합니다🦋
몸과 마음 모두 지친 요새, 헤이즐님의 작품을 통해 과거의 나 그리고 현재의 나를 돌아보고 생각하는 시간을 갖고, 앞으로 나아가는 힘을 얻는 계기가 될 수 있을 것 같아 꼭 직관하고 싶어요!! 좋은 작품으로 전시해주셔서 감사해요🙏🏻💙",3개,2020. 5. 2.
최은영,아팠던 과거를 딛고 성장하여 나비가 되서 비상을 하는 모습이 나와 우리의 모습과 닮아있네요 🦋요새 취준 중이라 후회도 많이하면서 나자신을 사랑하지 않고 다독이지 못했어요 하지만 이런 나도 나인걸요..작가님의 말처럼 제 모든 것을 인정하고 사랑해야겠습니다!  괜히 눈물이 나네요 ㅠㅠㅠㅠ ㅠ 헤이즐님의 생각이 얼마나 깊은지 알것같아요! 좋은 작품 볼 수 있게 해주셔서 감사합니다☺️🙏🏻♥️,2개,2020. 5. 2.
박지현,"🦋티켓 이벤트 참여합니당🦋 이즐아트 영상 보면서 항산 감탄했는데 이렇게 전시까지 열어주시니 정말 감덩😂😂 헤이즐 작가님 작품 ""비상🦋""을 빨리 볼 수 있게 되서 넘나 기뻐요❤ 전시회 참가하게 된거 너무너무 축하드리구 이벤트 당첨되지 않아도 꼭 방문하고 싶어요😄😄 헤헿😆 헤이즐 작가님❤ 앞으로 비상하길 기원해영🦋",3개,2020. 5. 2.
jiniiee,이 이모티콘 언니랑 너무 잘 어울려요 🦋🦋🦋🦋,3개,2020. 5. 2.
hannayang,누가봐도 작품인데 밟고 지나가는 분들이 있으신가 봐요ㅠㅠㅠㅠ,21개,2020. 5. 2.
햇반의러브아이즈,울 언니 다잘해 그냥 짱머거!!,2개,2020. 5. 2.
김망고,요즘 언니 이즐아트 영상보면서 힐링하고 있었고 전시회도 평소에 많이보러다니는데 이건 꼭 가야겠어요ㅠㅠ 너무 축하드려요 작품 너무이뻐요💖💖 이벤트도 참여합니다 ㅎㅎ,4개,2020. 5. 2.
minjin,너무 너무 가고싶은데 해외에 있어서 가지 못해요 ㅜㅜㅜ 그리고 언니 너무 예뻐요❤❤❤,4개,2020. 5. 2.
정현숙,"작가님 되심을 축하드려용~~~
행복한 시간 보내시구요~~~~~",4개,2020. 5. 2.
리프,꺅ㅜㅜㅜㅜ이벤트 참여해요ㅠㅠㅠ 언니 전시회 꼭 보러가고싶어요ㅠㅜ 당첨안돼도 표사서 구경갈께요🥺❤❤,4개,2020. 5. 2.
김세은,다양한일을 열심히 하시는 모습 너무보기좋아욯ㅎㅎㅎㅎ,3개,2020. 5. 2.
