,youtube_id,comment,like_num
0,딴트공말방구실험실,"외계침공 itx 게이밍PC!!!!!!!! 여러분의 생각은 어떠세요?
다나와에서 말방구로 검색하면 이번 구성품을 손쉽게 찾을 수 있습니다.
제품구성 링크 :  https://bit.ly/36u6crZ  케이스 링크 : http://bitly.kr/VCUzu9sJ7a",7개
1,나의V로그,0:14 컴퓨터도 말방구! 재미있게 보고 갑니다. ㅎㅎㅎ,3개
2,얌얌잉,확실히  3300x 진짜 물건은 물건인것 같아요 회사 동생도 컴터 새로 맞추는데  저도 3300x를추천했어요ㅎㅎ,7개
3,영재하드웨어YJMOD,딴트공님 콜라보 한번 하시죠! 아니면 찬스 한번 써주세요!,6개
4,유브,이렇게 리뷰 해주시는거 감사합니닷!!^^ :),1개
5,송실장,아 리뷰 너무좋다 :),1개
6,묵묵,1등첨해바요.ㅋㅋ,3개
7,그림자케이,우와~~ 진짜 유니크해욧~~,0개
8,코리아요미로다,"오! 역시 말방구 실험실예요
이영상 제일보고 싶었는데 말방구 실험실이 보여주네요ㅋㅋ
너무재미 있고 앞으로도 화이팅 하세용!👍👍🖐",1개
9,제로키류,"우왕~~~~격하게 갖고 싶다...!!! ㅋㅋㅋㅋ
근데 저거 성능이 어마 무시 하겠네요
아 11년된 컴퓨터 버려야되나 ㅋㅋㅋ흠...!",0개
10,백류향,0:31 마이크로ITX가 아니라 Mini-ITX입니다,0개
11,두잇,3등!!ㅎㅎ 잘보겠습니다,0개
12,이민혁,와 이건 진짜 사고싶다~~,0개
13,최우주,또 왔어요~,1개
14,횡단보도,컴퓨터 비법 전수받으로 왔습니다 bro~,0개
15,효진,6월에도 말방규~~~~~5월 마무리 잘 하시구 6월에도 좋은 가성비 아이템 잘 부탁드리옵니다 말방구 아조시~~~😊👍👍👍👍👍,0개
16,용띠게임채널,용돈 모아서 사려면...엄...음...으윽..,0개
17,BlackCrow,크 갖고싶네요ㅎ,0개
18,클로버츄키,우오오오옹오오오오오오오ㅗ오ㅗ오ㅗㅇ,0개
19,박루나,인트로 너무 웃겨! >_<,0개
20,최현우,솔직히 11만원에 a320을 살꺼면 b450을 사는게...,2개
21,JohnLee,외관이 정말 독특하네요.. 갖고 싶네요ㅎ,0개
22,YoungshinChi,와...멋지네요. 👍👍👍 갖고 싶네요.🤭🤭,0개
23,명란젓,와 정말 멋지네요^^,0개
24,NBK,이번PC는 웰케 자동차 앤진같죠 ㅋㅋ,0개
25,음악지기ND,요즘 개방형 PC가 많은데요. 먼지 걱정은 없을까요? 아무래도 정전기때문에 먼지가 엄청 모일것 같은데요. 리뷰 잘 보고 갑니다.,4개
26,블링,케이스 탐나네요~~,0개
27,유이,140만원대면 저거보다 더 좋게할수있는데,0개
28,민재,140만원 크흠...,0개
29,로드준,저도 오픈 ITX미니피시를 조립했는데 저는 그래픽카드를 포기못해서 3펜짜리 2060으로 했더니 거대해졌어요 ㅠㅠㅠ,0개
30,,뭐야 예전에 모양 보고 m-atx일거니 하고 넘겼더니 itx였네,0개
31,winners,와우...,1개
32,오뤼궁댕,하일 하이드라!!!!! 4K 60fps 20분짜리 영상편집용으로도 쾌적할까요?,0개
33,편성훈,저도 3300x로 맞추니 성능 잘나오는것 같아요,0개
34,로머트TV,"오 빨리 왔다!
사고싶은데 돈이...",0개
35,쿠쿠,"오오오오 👍👍👍👍👍

이쁘넹",1개
36,YongJunYoon,"훔 금액은 부담가지만 한번쯤은 집에 두고 있어도 괜찬을꺼같은데요 ㅎㅎ 청소는 자주해줘야할듯해요~~^^
브로~~ 잘보고 가용~~!!",0개
37,맛나라,하.. 하일 하이드라!,0개
38,MatthewMoon,하아... 저 케이스 정말 이쁘네요,0개
39,ksb,스마트폰으로 해당링크 눌러도 다나와에서 제품이 안나오는 듯 그냥 이런저런 여러가지 부품들이 나옴,0개
40,한국인korean,쿨러가 참 특이하네요,1개
41,유트버it전자기기,2번째군,0개
42,래이츠,뭔가 컴퓨터가 아니라 모터를 보는거 같아요 ㅋㅋ,0개
43,한도운,CPU쿨러 장착된건 케이스 구성품인가요?,0개
44,곰,늦었다...,0개
45,안드로이드제로원,저 쿨러를 선택한게 신의 한수였던것 같습니다,0개
46,나가리,첫번째,0개
47,유리형Naver,"앵...? 케이스 외피도없이 이게 다예요?  걍 하드테스트용인가
최소...H타워, 쿠거 케이스도 아니고 그냥 외부오염 및 감전 노출하고 사용하라네~",0개
48,영재하드웨어YJMOD,최고의 오픈프레임 미니-itx케이스 Hydra-mini!,0개
49,해티,엔비디아로부터 지원을 받으셨다니.. 성ㅡ공하셨군요,0개
50,양쿡,저라면 케이스와 쿨러만은 다른걸 사용합니다,0개
51,김동유,형 컴퓨터 살건데 케이스가 안좋은데 괜찮지,0개
52,황재민,3300x를 넣었는데 140이라.....,0개
53,오이,6만원 짜리 초코파이 쿨러네,0개
54,쿠티,오홍 쥰내 간쥐,0개
55,뽑과장,하일 하이드라!,0개
56,GHB,11만원짜리 A320을 대체 왜 쓰는거지. A320 예찬론자들 보면 진짜 이해불가네,0개
57,졸린고양이,itx는 가성비는 저세상으로가는 세팅으로 유명하지요... 웬만한 가성비 게이밍pc 만들돈이면 사무용pc 한대가 나오니... 그래도 한번빠지면 나올수없는 아담한맛이있지요 ㅋㅋㅋ 그래서 커수를 해버린...,0개
58,해티,왕,0개
59,yd0218,케이블 나와있는게 보기 싫네...ㅎ,1개
60,홍성진,저기에다 유리관 씌우면 딱일것 같네,0개
61,테트리스,오,0개
62,앙추워,쿨러먼대,0개
63,메영tv,"사람들 저런가격들보면서 뭐가 가성비가 노트북보다 낫다는건지 맨날 뭐라뭐라 하면서 노트북만 나오면 욕들하는데;;;;;
이해가안됩니다..... 2070 요즘백만원내 노트북도 나오는시점이고
아니라고 하신다면 이댓글을 보는 당신이 안찾아보신겁니다 ㅡㅡ.... 그러니 어이가없는겁니다....;
비싸봐야 100만원 내외로 가능한데;;;대체 뭐가 데탑이 낫다는거죠?.... 저성능 저가격도 엉쳥저렴하시다고 꿀팁하라고 올려주신걸텐데.....
성능포기한채 구매하려고 하면 저렴하게 가능하겠지만 뭐가 나은거죠 그게??
노트북빠가 아니라 노트북사용하면서 불만없이 일년가까이 쓰고있는데 데탑보다 낫다는말 들을때마다 황당하네요^^
지금영상의 pc만봐도 피씨 메인보드 와 cpu가 라이젠용인데도 저가격인데 ㄷㄷ
제 스펙알려드리자면. rtx2070 최상용 노트북 가성비짱인 노트북 주연테크매장까지 가서 할인받고 저가격보다 저렴하게 하드만2개 추가까지해서 1.5테라로
구매해서 쓰고있는데 몬헌으로 말하자면 최저최극 최악에 그최적화에서 180이하로 내려가본적이없는데... 인텔에 i9인점도 있겠지만 아무튼
이렇게 쓰다보니 항상 황당합니다. 데스크탑 추구하시는분들 이제는 추세가 달라졌습니다. 최소화 최적화에 최상에 성능으로 뽑는세대가 온걸 인정하고들 살아가려
바꿔봅시다... 그런거 인정안할거면 핸드폰 최신 최상윗폰으로 사지들 마시고요^^. 성능 쓰레기인 초미니 it기기를 왜사요. 그냥 스마트용 폴더폰 쓰면되죠^^
안그래요?
그리고 아니라고 생각하는분들...
정말로 부디 좀 찾아보십쇼 찾아들좀 보고 이야기하시고,
요즘에는 노트북도 제작가능하게 신청해서 조립가능하도록 되있고 필요한 스펙만큼의 노트북을 뽕뽑아서 성능나오도록 구매가능합니다
분명 자기가 찾으려고들면 구매하려는 사람이 충분히 확실하게 뽕뽑아서 가능하고,
그걸떠나 애초에 rtx 그래픽카드로 백만원내외 있습니다. 찾아나 보십시오. 할인포함 해서 그걸하고 안하고를 떠나서, 일단 있습니다. 찾아나보십시오 제발좀
그러고 데탑충 되어서 욕을 해주세요^^
그냥 네이버에만 툭툭 쳐보고 에이없네 이거 미xx놈 이네 라고 욕하지말고 노트북사려는분들이 그렇게찾아요? ,ㅡㅡ... 좀생각하고 저를 욕해주세요^^
컴퓨터 전문매장만 전국에 수십,수백개인건 아세욬ㅋㅋㅋㅋㅋㅋㅋ??
물론 평범하게 지내시는분들도 계시지만 제댓글은 데탑충분들이 노트북 욕하시는걸 생각하기전에 제댓글을 읽어보셨으면 해서 써본 글입니다.
데스크탑을 쓰시는 모든분들을 비하하거나 욕하려던건 아닙니다",0개
64,QaQ,정말 하이엔드가 아니면 itx를 가면 안된다는걸 잘 보여주는 영상이다 케이스가 cpu랑 가격이 비벼지고 별 쓸모없는 쿨러는 달고 굳이 1테라 이상을 쓰고싶으면 mx500 500gb에 하드하나 달자 그게 더 싸다 140만원을 들여 만든 itx지만 성능은 가격대비 최악이다 3600에 2070슈퍼를 단 본체가 141만원이다 따라서 실질적으로 좋은 itx는 초 하이엔드에서만 쓸수있다,0개
